Inputs		Function-Values
-6.87		4.63671
-6.86		4.57935
-6.85		4.52171
-6.84		4.46378
-6.83		4.40557
-6.82		4.3471
-6.81		4.28836
-6.8		4.22937
-6.79		4.17013
-6.78		4.11064
-6.77		4.05092
-6.76		3.99097
-6.75		3.9308
-6.74		3.87042
-6.73		3.80983
-6.72		3.74904
-6.71		3.68805
-6.7		3.62688
-6.69		3.56553
-6.68		3.504
-6.67		3.44231
-6.66		3.38046
-6.65		3.31846
-6.64		3.25631
-6.63		3.19402
-6.62		3.13161
-6.61		3.06906
-6.6		3.00641
-6.59		2.94364
-6.58		2.88076
-6.57		2.81779
-6.56		2.75473
-6.55		2.69159
-6.54		2.62837
-6.53		2.56508
-6.52		2.50173
-6.51		2.43832
-6.5		2.37487
-6.49		2.31137
-6.48		2.24784
-6.47		2.18427
-6.46		2.12069
-6.45		2.05709
-6.44		1.99348
-6.43		1.92987
-6.42		1.86627
-6.41		1.80267
-6.4		1.7391
-6.39		1.67555
-6.38		1.61203
-6.37		1.54855
-6.36		1.48511
-6.35		1.42173
-6.34		1.3584
-6.33		1.29513
-6.32		1.23194
-6.31		1.16882
-6.3		1.10579
-6.29		1.04284
-6.28		0.979991
-6.27		0.917244
-6.26		0.854604
-6.25		0.792079
-6.24		0.729675
-6.23		0.667398
-6.22		0.605253
-6.21		0.543248
-6.2		0.481388
-6.19		0.419679
-6.18		0.358127
-6.17		0.296738
-6.16		0.235518
-6.15		0.174474
-6.14		0.11361
-6.13		0.0529323
-6.12		-0.00755273
-6.11		-0.0678397
-6.1		-0.127923
-6.09		-0.187797
-6.08		-0.247455
-6.07		-0.306893
-6.06		-0.366105
-6.05		-0.425085
-6.04		-0.483828
-6.03		-0.542329
-6.02		-0.600582
-6.01		-0.658582
-6		-0.716323
-5.99		-0.7738
-5.98		-0.831009
-5.97		-0.887944
-5.96		-0.944599
-5.95		-1.00097
-5.94		-1.05705
-5.93		-1.11284
-5.92		-1.16833
-5.91		-1.22352
-5.9		-1.27839
-5.89		-1.33296
-5.88		-1.3872
-5.87		-1.44113
-5.86		-1.49472
-5.85		-1.54799
-5.84		-1.60091
-5.83		-1.6535
-5.82		-1.70574
-5.81		-1.75763
-5.8		-1.80917
-5.79		-1.86035
-5.78		-1.91117
-5.77		-1.96162
-5.76		-2.01171
-5.75		-2.06141
-5.74		-2.11074
-5.73		-2.15969
-5.72		-2.20825
-5.71		-2.25642
-5.7		-2.30419
-5.69		-2.35157
-5.68		-2.39855
-5.67		-2.44513
-5.66		-2.49129
-5.65		-2.53705
-5.64		-2.58239
-5.63		-2.62731
-5.62		-2.67181
-5.61		-2.71588
-5.6		-2.75953
-5.59		-2.80274
-5.58		-2.84552
-5.57		-2.88787
-5.56		-2.92977
-5.55		-2.97123
-5.54		-3.01225
-5.53		-3.05282
-5.52		-3.09293
-5.51		-3.1326
-5.5		-3.1718
-5.49		-3.21055
-5.48		-3.24883
-5.47		-3.28666
-5.46		-3.32401
-5.45		-3.3609
-5.44		-3.39732
-5.43		-3.43326
