Inputs		Function-Values
3.81		-3.14601
3.82		-3.17583
3.83		-3.20549
3.84		-3.23498
3.85		-3.26431
3.86		-3.29345
3.87		-3.32242
3.88		-3.35121
3.89		-3.37981
3.9		-3.40822
3.91		-3.43643
3.92		-3.46445
3.93		-3.49226
3.94		-3.51986
3.95		-3.54724
3.96		-3.57442
3.97		-3.60137
3.98		-3.62809
3.99		-3.65459
4		-3.68085
4.01		-3.70688
4.02		-3.73266
4.03		-3.7582
4.04		-3.78349
4.05		-3.80853
4.06		-3.83331
4.07		-3.85782
4.08		-3.88207
4.09		-3.90605
4.1		-3.92976
4.11		-3.95319
4.12		-3.97633
4.13		-3.99919
4.14		-4.02176
4.15		-4.04404
4.16		-4.06602
4.17		-4.0877
4.18		-4.10907
4.19		-4.13013
4.2		-4.15088
4.21		-4.17131
4.22		-4.19142
4.23		-4.21121
4.24		-4.23067
4.25		-4.24979
4.26		-4.26858
4.27		-4.28703
4.28		-4.30514
4.29		-4.3229
4.3		-4.34031
4.31		-4.35737
4.32		-4.37407
4.33		-4.39041
4.34		-4.40638
4.35		-4.42199
4.36		-4.43722
4.37		-4.45208
4.38		-4.46657
4.39		-4.48067
4.4		-4.49438
4.41		-4.50771
4.42		-4.52065
4.43		-4.53319
4.44		-4.54533
4.45		-4.55708
4.46		-4.56842
4.47		-4.57935
4.48		-4.58988
4.49		-4.59999
4.5		-4.60968
4.51		-4.61896
4.52		-4.62781
4.53		-4.63624
4.54		-4.64424
4.55		-4.65182
4.56		-4.65896
4.57		-4.66566
4.58		-4.67192
4.59		-4.67775
4.6		-4.68313
4.61		-4.68807
4.62		-4.69255
4.63		-4.69659
4.64		-4.70017
4.65		-4.7033
4.66		-4.70597
4.67		-4.70818
4.68		-4.70993
4.69		-4.71121
4.7		-4.71203
4.71		-4.71238
4.72		-4.71225
4.73		-4.71166
4.74		-4.71059
4.75		-4.70904
4.76		-4.70701
4.77		-4.70451
4.78		-4.70152
4.79		-4.69805
4.8		-4.69409
4.81		-4.68965
4.82		-4.68472
4.83		-4.67929
4.84		-4.67338
4.85		-4.66697
4.86		-4.66007
4.87		-4.65268
4.88		-4.64478
4.89		-4.63639
4.9		-4.62751
4.91		-4.61812
4.92		-4.60823
4.93		-4.59783
4.94		-4.58694
4.95		-4.57554
4.96		-4.56363
4.97		-4.55123
4.98		-4.53831
4.99		-4.52489
5		-4.51096
5.01		-4.49652
5.02		-4.48158
5.03		-4.46612
5.04		-4.45016
5.05		-4.43369
5.06		-4.4167
5.07		-4.39921
5.08		-4.38121
5.09		-4.3627
5.1		-4.34368
5.11		-4.32415
5.12		-4.3041
5.13		-4.28355
5.14		-4.26249
5.15		-4.24092
5.16		-4.21884
5.17		-4.19626
5.18		-4.17316
5.19		-4.14956
5.2		-4.12545
5.21		-4.10083
5.22		-4.07571
5.23		-4.05008
5.24		-4.02395
5.25		-3.99732
5.26		-3.97019
5.27		-3.94255
5.28		-3.91441
5.29		-3.88578
5.3		-3.85664
5.31		-3.82701
5.32		-3.79689
5.33		-3.76627
5.34		-3.73516
5.35		-3.70356
5.36		-3.67146
5.37		-3.63888
5.38		-3.60582
5.39		-3.57227
5.4		-3.53824
5.41		-3.50372
5.42		-3.46873
5.43		-3.43326
5.44		-3.39732
5.45		-3.3609
5.46		-3.32401
5.47		-3.28666
5.48		-3.24883
5.49		-3.21055
5.5		-3.1718
5.51		-3.1326
5.52		-3.09293
5.53		-3.05282
5.54		-3.01225
5.55		-2.97123
5.56		-2.92977
5.57		-2.88787
5.58		-2.84552
5.59		-2.80274
5.6		-2.75953
5.61		-2.71588
5.62		-2.67181
5.63		-2.62731
5.64		-2.58239
5.65		-2.53705
5.66		-2.49129
5.67		-2.44513
5.68		-2.39855
5.69		-2.35157
5.7		-2.30419
5.71		-2.25642
5.72		-2.20825
5.73		-2.15969
5.74		-2.11074
5.75		-2.06141
5.76		-2.01171
5.77		-1.96162
5.78		-1.91117
5.79		-1.86035
5.8		-1.80917
5.81		-1.75763
5.82		-1.70574
5.83		-1.6535
5.84		-1.60091
5.85		-1.54799
5.86		-1.49472
5.87		-1.44113
5.88		-1.3872
5.89		-1.33296
5.9		-1.27839
5.91		-1.22352
5.92		-1.16833
5.93		-1.11284
5.94		-1.05705
5.95		-1.00097
5.96		-0.944599
5.97		-0.887944
5.98		-0.831009
5.99		-0.7738
6		-0.716323
6.01		-0.658582
6.02		-0.600582
6.03		-0.542329
6.04		-0.483828
6.05		-0.425085
6.06		-0.366105
6.07		-0.306893
6.08		-0.247455
6.09		-0.187797
6.1		-0.127923
6.11		-0.0678397
6.12		-0.00755273
6.13		0.0529323
6.14		0.11361
6.15		0.174474
6.16		0.235518
6.17		0.296738
6.18		0.358127
6.19		0.419679
6.2		0.481388
6.21		0.543248
6.22		0.605253
6.23		0.667398
6.24		0.729675
6.25		0.792079
6.26		0.854604
6.27		0.917244
6.28		0.979991
6.29		1.04284
6.3		1.10579
6.31		1.16882
6.32		1.23194
6.33		1.29513
6.34		1.3584
6.35		1.42173
6.36		1.48511
6.37		1.54855
6.38		1.61203
6.39		1.67555
6.4		1.7391
6.41		1.80267
6.42		1.86627
6.43		1.92987
6.44		1.99348
6.45		2.05709
6.46		2.12069
6.47		2.18427
6.48		2.24784
6.49		2.31137
6.5		2.37487
6.51		2.43832
6.52		2.50173
6.53		2.56508
6.54		2.62837
6.55		2.69159
6.56		2.75473
6.57		2.81779
6.58		2.88076
6.59		2.94364
6.6		3.00641
6.61		3.06906
6.62		3.13161
6.63		3.19402
6.64		3.25631
6.65		3.31846
6.66		3.38046
6.67		3.44231
6.68		3.504
6.69		3.56553
6.7		3.62688
6.71		3.68805
6.72		3.74904
6.73		3.80983
6.74		3.87042
6.75		3.9308
6.76		3.99097
6.77		4.05092
6.78		4.11064
6.79		4.17013
6.8		4.22937
6.81		4.28836
6.82		4.3471
6.83		4.40557
6.84		4.46378
6.85		4.52171
6.86		4.57935
6.87		4.63671
6.88		4.69376
6.89		4.75052
6.9		4.80696
6.91		4.86308
6.92		4.91889
6.93		4.97436
6.94		5.02949
6.95		5.08427
6.96		5.13871
6.97		5.19279
6.98		5.2465
6.99		5.29984
7		5.35281
7.01		5.40539
7.02		5.45758
7.03		5.50937
7.04		5.56076
7.05		5.61173
7.06		5.66229
7.07		5.71243
7.08		5.76213
7.09		5.8114
7.1		5.86023
7.11		5.9086
7.12		5.95653
7.13		6.00399
7.14		6.05098
7.15		6.0975
7.16		6.14353
7.17		6.18909
7.18		6.23414
7.19		6.2787
7.2		6.32276
7.21		6.3663
7.22		6.40933
7.23		6.45184
7.24		6.49382
7.25		6.53526
7.26		6.57616
7.27		6.61652
7.28		6.65633
7.29		6.69558
7.3		6.73426
7.31		6.77238
7.32		6.80993
7.33		6.84689
7.34		6.88328
7.35		6.91907
7.36		6.95426
7.37		6.98886
7.38		7.02285
7.39		7.05622
7.4		7.08899
7.41		7.12113
7.42		7.15264
7.43		7.18353
7.44		7.21377
7.45		7.24338
7.46		7.27234
7.47		7.30065
7.48		7.32831
7.49		7.3553
7.5		7.38164
7.51		7.4073
7.52		7.43229
7.53		7.4566
7.54		7.48023
7.55		7.50317
7.56		7.52542
7.57		7.54698
7.58		7.56784
7.59		7.588
7.6		7.60745
7.61		7.62619
7.62		7.64421
7.63		7.66152
7.64		7.67811
7.65		7.69397
7.66		7.7091
7.67		7.7235
7.68		7.73716
7.69		7.75009
7.7		7.76227
7.71		7.77371
7.72		7.78439
7.73		7.79433
7.74		7.80351
7.75		7.81193
7.76		7.8196
7.77		7.8265
7.78		7.83263
7.79		7.838
7.8		7.84259
7.81		7.84641
7.82		7.84946
7.83		7.85173
7.84		7.85321
7.85		7.85392
7.86		7.85384
7.87		7.85297
7.88		7.85132
7.89		7.84887
7.9		7.84563
7.91		7.8416
7.92		7.83678
7.93		7.83115
7.94		7.82473
7.95		7.81751
7.96		7.80949
7.97		7.80066
7.98		7.79104
7.99		7.7806
8		7.76937
8.01		7.75732
8.02		7.74447
8.03		7.73082
8.04		7.71635
8.05		7.70108
8.06		7.68499
8.07		7.6681
8.08		7.6504
8.09		7.63189
8.1		7.61256
8.11		7.59243
8.12		7.57149
8.13		7.54974
8.14		7.52718
8.15		7.50381
8.16		7.47963
8.17		7.45464
8.18		7.42885
8.19		7.40224
8.2		7.37484
8.21		7.34662
8.22		7.3176
8.23		7.28778
8.24		7.25716
8.25		7.22574
8.26		7.19351
8.27		7.16049
8.28		7.12667
8.29		7.09206
8.3		7.05665
8.31		7.02045
8.32		6.98346
8.33		6.94568
8.34		6.90712
8.35		6.86777
8.36		6.82764
8.37		6.78673
8.38		6.74504
8.39		6.70258
8.4		6.65934
8.41		6.61534
8.42		6.57057
8.43		6.52503
8.44		6.47873
8.45		6.43168
8.46		6.38386
8.47		6.3353
8.48		6.28599
8.49		6.23593
8.5		6.18513
8.51		6.13359
8.52		6.08131
8.53		6.02831
8.54		5.97457
8.55		5.92011
8.56		5.86493
8.57		5.80904
8.58		5.75243
8.59		5.69511
8.6		5.63709
8.61		5.57838
8.62		5.51896
8.63		5.45886
8.64		5.39807
8.65		5.3366
8.66		5.27445
8.67		5.21163
8.68		5.14814
8.69		5.08399
8.7		5.01919
8.71		4.95373
8.72		4.88762
8.73		4.82088
8.74		4.7535
8.75		4.68549
8.76		4.61685
8.77		4.5476
8.78		4.47773
8.79		4.40726
8.8		4.33618
8.81		4.26451
8.82		4.19224
8.83		4.1194
8.84		4.04597
8.85		3.97198
8.86		3.89742
8.87		3.8223
8.88		3.74662
8.89		3.67041
8.9		3.59365
8.91		3.51636
8.92		3.43855
8.93		3.36021
8.94		3.28137
8.95		3.20202
8.96		3.12217
8.97		3.04183
8.98		2.96101
8.99		2.87971
9		2.79794
9.01		2.7157
9.02		2.63302
9.03		2.54989
9.04		2.46631
9.05		2.38231
9.06		2.29788
9.07		2.21303
9.08		2.12778
9.09		2.04212
9.1		1.95607
9.11		1.86964
9.12		1.78283
9.13		1.69565
9.14		1.60811
9.15		1.52021
9.16		1.43198
9.17		1.3434
9.18		1.2545
9.19		1.16528
9.2		1.07574
9.21		0.985908
9.22		0.895779
9.23		0.805364
9.24		0.714672
9.25		0.623713
9.26		0.532494
9.27		0.441024
9.28		0.349313
9.29		0.257369
9.3		0.165201
9.31		0.0728179
9.32		-0.019771
9.33		-0.112557
9.34		-0.205531
9.35		-0.298683
9.36		-0.392005
9.37		-0.485487
9.38		-0.579121
9.39		-0.672896
9.4		-0.766804
9.41		-0.860835
9.42		-0.95498
9.43		-1.04923
9.44		-1.14357
9.45		-1.238
9.46		-1.33251
9.47		-1.42708
9.48		-1.52171
9.49		-1.61639
9.5		-1.71111
9.51		-1.80585
9.52		-1.90061
9.53		-1.99539
9.54		-2.09016
9.55		-2.18492
9.56		-2.27966
9.57		-2.37437
9.58		-2.46904
9.59		-2.56366
9.6		-2.65822
9.61		-2.75272
9.62		-2.84713
9.63		-2.94146
9.64		-3.03569
9.65		-3.12981
9.66		-3.22381
9.67		-3.31769
9.68		-3.41142
9.69		-3.50501
9.7		-3.59844
9.71		-3.69171
9.72		-3.78479
9.73		-3.87769
9.74		-3.9704
9.75		-4.06289
9.76		-4.15517
9.77		-4.24722
9.78		-4.33904
9.79		-4.43061
9.8		-4.52192
9.81		-4.61297
9.82		-4.70374
9.83		-4.79423
9.84		-4.88441
9.85		-4.9743
9.86		-5.06387
9.87		-5.15311
9.88		-5.24202
9.89		-5.33059
9.9		-5.4188
9.91		-5.50664
9.92		-5.59412
9.93		-5.6812
9.94		-5.7679
9.95		-5.85419
9.96		-5.94007
9.97		-6.02553
9.98		-6.11056
9.99		-6.19515
10		-6.27928
