x		Spherical-Bessel-Function
15.48			0.746693
15.49			0.746972
15.5			0.747238
15.51			0.747491
15.52			0.747732
15.53			0.747961
15.54			0.748177
15.55			0.74838
15.56			0.748571
15.57			0.748749
15.58			0.748915
15.59			0.749068
15.6			0.749208
15.61			0.749336
15.62			0.749451
15.63			0.749553
15.64			0.749643
15.65			0.74972
15.66			0.749784
15.67			0.749836
15.68			0.749876
15.69			0.749902
15.7			0.749916
15.71			0.749917
15.72			0.749906
15.73			0.749882
15.74			0.749846
15.75			0.749797
15.76			0.749735
15.77			0.749661
15.78			0.749574
15.79			0.749475
15.8			0.749363
15.81			0.749239
15.82			0.749102
15.83			0.748953
15.84			0.748791
15.85			0.748617
15.86			0.748431
15.87			0.748232
15.88			0.748021
15.89			0.747798
15.9			0.747562
15.91			0.747314
15.92			0.747054
15.93			0.746782
15.94			0.746498
15.95			0.746201
15.96			0.745893
15.97			0.745572
15.98			0.74524
15.99			0.744895
16			0.744539
16.01			0.74417
16.02			0.74379
16.03			0.743399
16.04			0.742995
16.05			0.74258
16.06			0.742153
16.07			0.741715
16.08			0.741265
16.09			0.740803
16.1			0.74033
16.11			0.739846
16.12			0.739351
16.13			0.738844
16.14			0.738326
16.15			0.737797
16.16			0.737257
16.17			0.736705
16.18			0.736143
16.19			0.73557
16.2			0.734986
16.21			0.734391
16.22			0.733786
16.23			0.73317
16.24			0.732543
16.25			0.731906
16.26			0.731259
16.27			0.730601
16.28			0.729933
16.29			0.729254
16.3			0.728566
16.31			0.727867
16.32			0.727159
16.33			0.72644
16.34			0.725712
16.35			0.724974
16.36			0.724226
16.37			0.723469
16.38			0.722702
16.39			0.721925
16.4			0.72114
16.41			0.720345
16.42			0.719541
16.43			0.718728
16.44			0.717905
16.45			0.717074
16.46			0.716234
16.47			0.715386
16.48			0.714528
16.49			0.713662
16.5			0.712788
16.51			0.711905
16.52			0.711014
16.53			0.710115
16.54			0.709207
16.55			0.708292
16.56			0.707369
16.57			0.706438
16.58			0.705499
16.59			0.704552
16.6			0.703598
16.61			0.702637
16.62			0.701668
16.63			0.700692
16.64			0.699709
16.65			0.698719
16.66			0.697723
16.67			0.696719
16.68			0.695708
16.69			0.694691
16.7			0.693668
16.71			0.692638
16.72			0.691602
16.73			0.690559
16.74			0.689511
16.75			0.688456
16.76			0.687396
16.77			0.68633
16.78			0.685259
16.79			0.684181
16.8			0.683099
16.81			0.682011
16.82			0.680918
16.83			0.67982
16.84			0.678717
16.85			0.677609
16.86			0.676496
16.87			0.675379
16.88			0.674257
16.89			0.673131
16.9			0.672001
16.91			0.670866
16.92			0.669727
16.93			0.668585
16.94			0.667438
16.95			0.666288
16.96			0.665135
16.97			0.663977
16.98			0.662817
16.99			0.661653
17			0.660486
17.01			0.659316
17.02			0.658144
17.03			0.656968
17.04			0.65579
17.05			0.65461
17.06			0.653426
17.07			0.652241
17.08			0.651054
17.09			0.649864
17.1			0.648673
17.11			0.647479
17.12			0.646285
17.13			0.645088
17.14			0.64389
17.15			0.642691
17.16			0.64149
17.17			0.640289
17.18			0.639086
17.19			0.637883
17.2			0.636679
17.21			0.635474
17.22			0.634269
17.23			0.633064
17.24			0.631858
17.25			0.630652
17.26			0.629446
17.27			0.62824
17.28			0.627035
17.29			0.62583
17.3			0.624625
17.31			0.623421
17.32			0.622218
17.33			0.621015
17.34			0.619814
17.35			0.618613
17.36			0.617414
17.37			0.616216
17.38			0.61502
17.39			0.613825
17.4			0.612631
17.41			0.61144
17.42			0.61025
17.43			0.609063
17.44			0.607877
17.45			0.606694
17.46			0.605513
17.47			0.604335
17.48			0.60316
17.49			0.601987
17.5			0.600817
17.51			0.599649
17.52			0.598485
17.53			0.597324
17.54			0.596167
17.55			0.595013
17.56			0.593862
17.57			0.592715
17.58			0.591572
17.59			0.590432
17.6			0.589297
17.61			0.588166
17.62			0.587038
17.63			0.585916
17.64			0.584797
17.65			0.583683
17.66			0.582574
17.67			0.581469
17.68			0.58037
17.69			0.579275
17.7			0.578185
17.71			0.577101
17.72			0.576021
17.73			0.574948
17.74			0.573879
17.75			0.572816
17.76			0.571759
17.77			0.570708
17.78			0.569662
17.79			0.568623
17.8			0.56759
17.81			0.566562
17.82			0.565542
17.83			0.564527
17.84			0.563519
17.85			0.562518
17.86			0.561523
17.87			0.560535
17.88			0.559554
17.89			0.55858
17.9			0.557612
17.91			0.556652
17.92			0.5557
17.93			0.554754
17.94			0.553816
17.95			0.552886
17.96			0.551963
17.97			0.551048
17.98			0.55014
17.99			0.549241
18			0.548349
18.01			0.547466
18.02			0.54659
18.03			0.545723
18.04			0.544864
18.05			0.544013
18.06			0.543171
18.07			0.542337
18.08			0.541512
18.09			0.540696
18.1			0.539888
18.11			0.539089
18.12			0.538299
18.13			0.537518
18.14			0.536746
18.15			0.535983
18.16			0.53523
18.17			0.534485
18.18			0.53375
18.19			0.533024
18.2			0.532308
18.21			0.531602
18.22			0.530904
18.23			0.530217
18.24			0.529539
18.25			0.528871
18.26			0.528213
18.27			0.527565
18.28			0.526927
18.29			0.526299
18.3			0.52568
18.31			0.525072
18.32			0.524475
18.33			0.523887
18.34			0.52331
18.35			0.522743
18.36			0.522186
18.37			0.52164
18.38			0.521105
18.39			0.52058
18.4			0.520065
18.41			0.519561
18.42			0.519068
18.43			0.518586
18.44			0.518114
18.45			0.517653
18.46			0.517203
18.47			0.516764
18.48			0.516336
18.49			0.515919
18.5			0.515512
18.51			0.515117
18.52			0.514733
18.53			0.51436
18.54			0.513998
18.55			0.513647
18.56			0.513308
18.57			0.512979
18.58			0.512662
18.59			0.512356
18.6			0.512062
18.61			0.511778
18.62			0.511506
18.63			0.511246
18.64			0.510997
18.65			0.510759
18.66			0.510532
18.67			0.510317
18.68			0.510114
18.69			0.509922
18.7			0.509741
18.71			0.509572
18.72			0.509414
18.73			0.509268
18.74			0.509133
18.75			0.50901
18.76			0.508899
18.77			0.508798
18.78			0.50871
18.79			0.508633
18.8			0.508567
18.81			0.508513
18.82			0.508471
18.83			0.50844
18.84			0.508421
18.85			0.508413
18.86			0.508416
18.87			0.508431
18.88			0.508458
18.89			0.508496
18.9			0.508546
18.91			0.508607
18.92			0.508679
18.93			0.508763
18.94			0.508859
18.95			0.508966
18.96			0.509084
18.97			0.509214
18.98			0.509355
18.99			0.509507
19			0.50967
19.01			0.509845
19.02			0.510032
19.03			0.510229
19.04			0.510438
19.05			0.510658
19.06			0.510889
19.07			0.511131
19.08			0.511384
19.09			0.511648
19.1			0.511924
19.11			0.51221
19.12			0.512507
19.13			0.512816
19.14			0.513135
19.15			0.513465
19.16			0.513806
19.17			0.514158
19.18			0.51452
19.19			0.514893
19.2			0.515277
19.21			0.515671
19.22			0.516076
19.23			0.516492
19.24			0.516918
19.25			0.517354
19.26			0.517801
19.27			0.518258
19.28			0.518725
19.29			0.519203
19.3			0.519691
19.31			0.520189
19.32			0.520696
19.33			0.521214
19.34			0.521742
19.35			0.52228
19.36			0.522828
19.37			0.523385
19.38			0.523952
19.39			0.524529
19.4			0.525115
19.41			0.525711
19.42			0.526317
19.43			0.526931
19.44			0.527555
19.45			0.528189
19.46			0.528831
19.47			0.529483
19.48			0.530143
19.49			0.530813
19.5			0.531491
19.51			0.532179
19.52			0.532875
19.53			0.53358
19.54			0.534293
19.55			0.535015
19.56			0.535746
19.57			0.536484
19.58			0.537231
19.59			0.537987
19.6			0.53875
19.61			0.539522
19.62			0.540301
19.63			0.541089
19.64			0.541884
19.65			0.542687
19.66			0.543497
19.67			0.544316
19.68			0.545141
19.69			0.545974
19.7			0.546815
19.71			0.547662
19.72			0.548517
19.73			0.549379
19.74			0.550247
19.75			0.551123
19.76			0.552005
19.77			0.552894
19.78			0.55379
19.79			0.554692
19.8			0.5556
19.81			0.556515
19.82			0.557436
19.83			0.558363
19.84			0.559296
19.85			0.560235
19.86			0.56118
19.87			0.56213
19.88			0.563086
19.89			0.564048
19.9			0.565015
19.91			0.565988
19.92			0.566965
19.93			0.567948
19.94			0.568936
19.95			0.569929
19.96			0.570926
19.97			0.571928
19.98			0.572935
19.99			0.573947
