x		Spherical-Bessel-Function
3.5			0.87728
3.51			0.87633
3.52			0.875356
3.53			0.874358
3.54			0.873338
3.55			0.872294
3.56			0.871228
3.57			0.870138
3.58			0.869027
3.59			0.867893
3.6			0.866736
3.61			0.865558
3.62			0.864358
3.63			0.863136
3.64			0.861893
3.65			0.860628
3.66			0.859343
3.67			0.858036
3.68			0.856709
3.69			0.855361
3.7			0.853993
3.71			0.852604
3.72			0.851196
3.73			0.849767
3.74			0.848319
3.75			0.846852
3.76			0.845366
3.77			0.84386
3.78			0.842336
3.79			0.840793
3.8			0.839231
3.81			0.837652
3.82			0.836054
3.83			0.834439
3.84			0.832805
3.85			0.831155
3.86			0.829487
3.87			0.827803
3.88			0.826101
3.89			0.824383
3.9			0.822649
3.91			0.820898
3.92			0.819132
3.93			0.817349
3.94			0.815552
3.95			0.813739
3.96			0.81191
3.97			0.810068
3.98			0.80821
3.99			0.806338
4			0.804452
4.01			0.802552
4.02			0.800638
4.03			0.79871
4.04			0.796769
4.05			0.794816
4.06			0.792849
4.07			0.790869
4.08			0.788878
4.09			0.786874
4.1			0.784858
4.11			0.78283
4.12			0.780791
4.13			0.778741
4.14			0.776679
4.15			0.774607
4.16			0.772524
4.17			0.770431
4.18			0.768327
4.19			0.766214
4.2			0.764091
4.21			0.761959
4.22			0.759817
4.23			0.757667
4.24			0.755507
4.25			0.75334
4.26			0.751164
4.27			0.74898
4.28			0.746788
4.29			0.744588
4.3			0.742382
4.31			0.740168
4.32			0.737947
4.33			0.73572
4.34			0.733486
4.35			0.731246
4.36			0.729
4.37			0.726749
4.38			0.724492
4.39			0.72223
4.4			0.719963
4.41			0.717691
4.42			0.715414
4.43			0.713134
4.44			0.710849
4.45			0.70856
4.46			0.706268
4.47			0.703973
4.48			0.701674
4.49			0.699373
4.5			0.697068
4.51			0.694762
4.52			0.692453
4.53			0.690143
4.54			0.68783
4.55			0.685516
4.56			0.683201
4.57			0.680885
4.58			0.678568
4.59			0.676251
4.6			0.673933
4.61			0.671615
4.62			0.669298
4.63			0.66698
4.64			0.664663
4.65			0.662347
4.66			0.660032
4.67			0.657719
4.68			0.655407
4.69			0.653096
4.7			0.650788
4.71			0.648481
4.72			0.646177
4.73			0.643876
4.74			0.641577
4.75			0.639282
4.76			0.63699
4.77			0.634701
4.78			0.632416
4.79			0.630135
4.8			0.627858
4.81			0.625586
4.82			0.623318
4.83			0.621055
4.84			0.618796
4.85			0.616543
4.86			0.614296
4.87			0.612054
4.88			0.609818
4.89			0.607588
4.9			0.605364
4.91			0.603147
4.92			0.600937
4.93			0.598733
4.94			0.596536
4.95			0.594347
4.96			0.592165
4.97			0.589991
4.98			0.587825
4.99			0.585667
5			0.583517
5.01			0.581376
5.02			0.579243
5.03			0.57712
5.04			0.575005
5.05			0.5729
5.06			0.570804
5.07			0.568717
5.08			0.566641
5.09			0.564574
5.1			0.562518
5.11			0.560472
5.12			0.558437
5.13			0.556412
5.14			0.554398
5.15			0.552396
5.16			0.550404
5.17			0.548424
5.18			0.546456
5.19			0.544499
5.2			0.542555
5.21			0.540623
5.22			0.538702
5.23			0.536795
5.24			0.5349
5.25			0.533018
5.26			0.531148
5.27			0.529292
5.28			0.527449
5.29			0.52562
5.3			0.523804
5.31			0.522002
5.32			0.520214
5.33			0.51844
5.34			0.51668
5.35			0.514934
5.36			0.513203
5.37			0.511487
5.38			0.509785
5.39			0.508098
5.4			0.506427
5.41			0.50477
5.42			0.503129
5.43			0.501503
5.44			0.499893
5.45			0.498299
5.46			0.49672
5.47			0.495158
5.48			0.493611
5.49			0.492081
5.5			0.490567
5.51			0.48907
5.52			0.487589
5.53			0.486125
5.54			0.484677
5.55			0.483247
5.56			0.481834
5.57			0.480438
5.58			0.479059
5.59			0.477697
5.6			0.476353
5.61			0.475027
5.62			0.473718
5.63			0.472427
5.64			0.471154
5.65			0.469899
5.66			0.468662
5.67			0.467443
5.68			0.466242
5.69			0.46506
5.7			0.463896
5.71			0.46275
5.72			0.461624
5.73			0.460515
5.74			0.459426
5.75			0.458355
5.76			0.457303
5.77			0.45627
5.78			0.455256
5.79			0.454262
5.8			0.453286
5.81			0.45233
5.82			0.451392
5.83			0.450475
5.84			0.449576
5.85			0.448697
5.86			0.447838
5.87			0.446998
5.88			0.446178
5.89			0.445377
5.9			0.444596
5.91			0.443835
5.92			0.443093
5.93			0.442372
5.94			0.44167
5.95			0.440988
5.96			0.440326
5.97			0.439684
5.98			0.439062
5.99			0.43846
6			0.437879
6.01			0.437317
6.02			0.436775
6.03			0.436253
6.04			0.435752
6.05			0.435271
6.06			0.43481
6.07			0.434369
6.08			0.433948
6.09			0.433547
6.1			0.433167
6.11			0.432807
6.12			0.432467
6.13			0.432147
6.14			0.431847
6.15			0.431568
6.16			0.431309
6.17			0.43107
6.18			0.430851
6.19			0.430653
6.2			0.430474
6.21			0.430316
6.22			0.430178
6.23			0.43006
6.24			0.429962
6.25			0.429884
6.26			0.429826
6.27			0.429788
6.28			0.42977
6.29			0.429772
6.3			0.429794
6.31			0.429836
6.32			0.429898
6.33			0.429979
6.34			0.430081
6.35			0.430202
6.36			0.430343
6.37			0.430503
6.38			0.430683
6.39			0.430883
6.4			0.431102
6.41			0.43134
6.42			0.431598
6.43			0.431876
6.44			0.432172
6.45			0.432488
6.46			0.432823
6.47			0.433177
6.48			0.43355
6.49			0.433942
6.5			0.434353
6.51			0.434782
6.52			0.435231
6.53			0.435698
6.54			0.436184
6.55			0.436688
6.56			0.437211
6.57			0.437752
6.58			0.438311
6.59			0.438889
6.6			0.439485
6.61			0.440099
6.62			0.44073
6.63			0.44138
6.64			0.442047
6.65			0.442732
6.66			0.443435
6.67			0.444155
6.68			0.444892
6.69			0.445647
6.7			0.446419
6.71			0.447208
6.72			0.448014
6.73			0.448837
6.74			0.449676
6.75			0.450533
6.76			0.451405
6.77			0.452295
6.78			0.4532
6.79			0.454122
6.8			0.45506
6.81			0.456013
6.82			0.456983
6.83			0.457968
6.84			0.458969
6.85			0.459986
6.86			0.461018
6.87			0.462065
6.88			0.463127
6.89			0.464204
6.9			0.465296
6.91			0.466403
6.92			0.467525
6.93			0.46866
6.94			0.469811
6.95			0.470975
6.96			0.472153
6.97			0.473346
6.98			0.474552
6.99			0.475772
7			0.477005
7.01			0.478252
7.02			0.479511
7.03			0.480784
7.04			0.48207
7.05			0.483369
7.06			0.48468
7.07			0.486004
7.08			0.48734
7.09			0.488688
7.1			0.490048
7.11			0.491421
7.12			0.492804
7.13			0.4942
7.14			0.495607
7.15			0.497025
7.16			0.498454
7.17			0.499895
7.18			0.501346
7.19			0.502807
7.2			0.504279
7.21			0.505762
7.22			0.507254
7.23			0.508757
7.24			0.510269
7.25			0.511791
7.26			0.513323
7.27			0.514863
7.28			0.516413
7.29			0.517972
7.3			0.51954
7.31			0.521117
7.32			0.522702
7.33			0.524295
7.34			0.525896
7.35			0.527506
7.36			0.529123
7.37			0.530748
7.38			0.53238
7.39			0.53402
7.4			0.535666
7.41			0.53732
7.42			0.53898
7.43			0.540647
7.44			0.542321
7.45			0.544
7.46			0.545686
7.47			0.547378
7.48			0.549075
7.49			0.550778
7.5			0.552486
7.51			0.5542
7.52			0.555918
7.53			0.557641
7.54			0.559369
7.55			0.561102
7.56			0.562839
7.57			0.564579
7.58			0.566324
7.59			0.568073
7.6			0.569825
7.61			0.57158
7.62			0.573339
7.63			0.575101
7.64			0.576865
7.65			0.578633
7.66			0.580402
7.67			0.582175
7.68			0.583949
7.69			0.585725
7.7			0.587503
7.71			0.589283
7.72			0.591064
7.73			0.592846
7.74			0.59463
7.75			0.596414
7.76			0.598199
7.77			0.599984
7.78			0.60177
7.79			0.603556
7.8			0.605342
7.81			0.607128
7.82			0.608914
7.83			0.610699
7.84			0.612483
7.85			0.614266
7.86			0.616048
7.87			0.61783
7.88			0.619609
7.89			0.621387
7.9			0.623163
7.91			0.624938
7.92			0.62671
7.93			0.62848
7.94			0.630247
7.95			0.632012
7.96			0.633774
7.97			0.635533
7.98			0.637289
7.99			0.639042
8			0.640791
8.01			0.642536
8.02			0.644278
8.03			0.646015
8.04			0.647748
8.05			0.649477
8.06			0.651202
8.07			0.652922
8.08			0.654637
8.09			0.656347
8.1			0.658052
8.11			0.659751
8.12			0.661445
8.13			0.663133
8.14			0.664816
8.15			0.666493
8.16			0.668163
8.17			0.669827
8.18			0.671485
8.19			0.673136
8.2			0.67478
8.21			0.676417
8.22			0.678048
8.23			0.679671
8.24			0.681286
8.25			0.682894
8.26			0.684495
8.27			0.686088
8.28			0.687672
8.29			0.689249
8.3			0.690817
8.31			0.692376
8.32			0.693928
8.33			0.69547
8.34			0.697004
8.35			0.698528
8.36			0.700044
8.37			0.70155
