Distance		Radiation
8.16		0.0120953
8.17		0.0120841
8.18		0.0120732
8.19		0.0120625
8.2		0.0120521
8.21		0.0120421
8.22		0.0120323
8.23		0.0120228
8.24		0.0120135
8.25		0.0120045
8.26		0.0119958
8.27		0.0119874
8.28		0.0119792
8.29		0.0119712
8.3		0.0119635
8.31		0.011956
8.32		0.0119488
8.33		0.0119418
8.34		0.011935
8.35		0.0119285
8.36		0.0119221
8.37		0.011916
8.38		0.0119101
8.39		0.0119044
8.4		0.0118989
8.41		0.0118936
8.42		0.0118885
8.43		0.0118836
8.44		0.0118789
8.45		0.0118743
8.46		0.01187
8.47		0.0118658
8.48		0.0118618
8.49		0.0118579
8.5		0.0118542
8.51		0.0118507
8.52		0.0118473
8.53		0.0118441
8.54		0.011841
8.55		0.0118381
8.56		0.0118353
8.57		0.0118326
8.58		0.0118301
8.59		0.0118277
8.6		0.0118254
8.61		0.0118232
8.62		0.0118212
8.63		0.0118193
8.64		0.0118175
8.65		0.0118157
8.66		0.0118141
8.67		0.0118126
8.68		0.0118112
8.69		0.0118099
8.7		0.0118087
8.71		0.0118075
8.72		0.0118065
8.73		0.0118055
8.74		0.0118046
8.75		0.0118038
8.76		0.011803
8.77		0.0118023
8.78		0.0118017
8.79		0.0118011
8.8		0.0118006
8.81		0.0118001
8.82		0.0117997
8.83		0.0117994
8.84		0.0117991
8.85		0.0117988
8.86		0.0117985
8.87		0.0117983
8.88		0.0117982
8.89		0.011798
8.9		0.0117979
8.91		0.0117978
8.92		0.0117978
8.93		0.0117977
8.94		0.0117977
8.95		0.0117976
8.96		0.0117976
8.97		0.0117976
8.98		0.0117976
8.99		0.0117976
9		0.0117976
9.01		0.0117976
9.02		0.0117976
9.03		0.0117976
9.04		0.0117976
9.05		0.0117975
9.06		0.0117975
9.07		0.0117974
9.08		0.0117973
9.09		0.0117971
9.1		0.011797
9.11		0.0117968
9.12		0.0117966
9.13		0.0117964
9.14		0.0117961
9.15		0.0117958
9.16		0.0117954
9.17		0.0117951
9.18		0.0117946
9.19		0.0117941
9.2		0.0117936
9.21		0.011793
9.22		0.0117924
9.23		0.0117917
9.24		0.011791
9.25		0.0117902
9.26		0.0117893
9.27		0.0117884
9.28		0.0117874
9.29		0.0117863
9.3		0.0117852
9.31		0.011784
9.32		0.0117828
9.33		0.0117814
9.34		0.01178
9.35		0.0117786
9.36		0.011777
9.37		0.0117754
9.38		0.0117736
9.39		0.0117718
9.4		0.0117699
9.41		0.011768
9.42		0.0117659
9.43		0.0117637
9.44		0.0117615
9.45		0.0117592
9.46		0.0117567
9.47		0.0117542
9.48		0.0117516
9.49		0.0117489
9.5		0.011746
9.51		0.0117431
9.52		0.0117401
9.53		0.011737
9.54		0.0117337
9.55		0.0117304
9.56		0.011727
9.57		0.0117234
9.58		0.0117198
9.59		0.011716
9.6		0.0117121
9.61		0.0117081
9.62		0.011704
9.63		0.0116998
9.64		0.0116955
9.65		0.011691
9.66		0.0116864
9.67		0.0116818
9.68		0.011677
9.69		0.011672
9.7		0.011667
9.71		0.0116618
9.72		0.0116565
9.73		0.0116511
9.74		0.0116456
9.75		0.0116399
9.76		0.0116341
9.77		0.0116282
9.78		0.0116221
9.79		0.011616
9.8		0.0116097
9.81		0.0116032
9.82		0.0115967
9.83		0.01159
9.84		0.0115832
9.85		0.0115762
9.86		0.0115691
9.87		0.0115619
9.88		0.0115546
9.89		0.0115471
9.9		0.0115395
9.91		0.0115317
9.92		0.0115238
9.93		0.0115158
9.94		0.0115076
9.95		0.0114994
9.96		0.0114909
9.97		0.0114824
9.98		0.0114737
9.99		0.0114648
10		0.0114559
10.01		0.0114467
10.02		0.0114375
10.03		0.0114281
10.04		0.0114186
10.05		0.0114089
10.06		0.0113991
10.07		0.0113892
10.08		0.0113791
10.09		0.0113689
10.1		0.0113586
10.11		0.0113481
10.12		0.0113374
10.13		0.0113267
10.14		0.0113158
10.15		0.0113047
10.16		0.0112935
10.17		0.0112822
