Time		Tempurature
12.93		0.165327
12.94		0.166016
12.95		0.166707
12.96		0.167399
12.97		0.168093
12.98		0.16879
12.99		0.169487
13		0.170187
13.01		0.170889
13.02		0.171592
13.03		0.172298
13.04		0.173005
13.05		0.173714
13.06		0.174425
13.07		0.175137
13.08		0.175852
13.09		0.176569
13.1		0.177287
13.11		0.178007
13.12		0.178729
13.13		0.179453
13.14		0.180179
13.15		0.180906
13.16		0.181636
13.17		0.182367
13.18		0.1831
13.19		0.183835
13.2		0.184572
13.21		0.185311
13.22		0.186052
13.23		0.186794
13.24		0.187539
13.25		0.188285
13.26		0.189033
13.27		0.189783
13.28		0.190535
13.29		0.191289
13.3		0.192045
13.31		0.192802
13.32		0.193562
13.33		0.194323
13.34		0.195086
13.35		0.195852
13.36		0.196619
13.37		0.197388
13.38		0.198158
13.39		0.198931
13.4		0.199706
13.41		0.200482
13.42		0.201261
13.43		0.202041
13.44		0.202823
13.45		0.203607
13.46		0.204393
13.47		0.205181
13.48		0.205971
13.49		0.206763
13.5		0.207556
13.51		0.208352
13.52		0.209149
13.53		0.209949
13.54		0.21075
13.55		0.211553
13.56		0.212358
13.57		0.213165
13.58		0.213974
13.59		0.214785
13.6		0.215598
13.61		0.216412
13.62		0.217229
13.63		0.218047
13.64		0.218868
13.65		0.21969
13.66		0.220515
13.67		0.221341
13.68		0.222169
13.69		0.222999
13.7		0.223831
13.71		0.224665
13.72		0.225501
13.73		0.226338
13.74		0.227178
13.75		0.22802
13.76		0.228863
13.77		0.229709
13.78		0.230556
13.79		0.231406
13.8		0.232257
13.81		0.23311
13.82		0.233965
13.83		0.234822
13.84		0.235681
13.85		0.236542
13.86		0.237405
13.87		0.23827
13.88		0.239137
13.89		0.240006
13.9		0.240877
13.91		0.241749
13.92		0.242624
13.93		0.2435
13.94		0.244379
13.95		0.245259
13.96		0.246142
13.97		0.247026
13.98		0.247912
13.99		0.248801
14		0.249691
14.01		0.250583
14.02		0.251477
14.03		0.252373
14.04		0.253271
14.05		0.254171
14.06		0.255073
14.07		0.255977
14.08		0.256883
14.09		0.257791
14.1		0.258701
14.11		0.259613
14.12		0.260526
14.13		0.261442
14.14		0.26236
14.15		0.263279
14.16		0.264201
14.17		0.265125
14.18		0.26605
14.19		0.266978
14.2		0.267907
14.21		0.268839
14.22		0.269772
14.23		0.270707
14.24		0.271645
14.25		0.272584
14.26		0.273525
14.27		0.274469
14.28		0.275414
14.29		0.276361
14.3		0.27731
14.31		0.278262
14.32		0.279215
14.33		0.28017
14.34		0.281127
14.35		0.282086
14.36		0.283047
14.37		0.28401
14.38		0.284975
14.39		0.285942
14.4		0.286911
14.41		0.287882
14.42		0.288855
14.43		0.28983
14.44		0.290807
14.45		0.291786
14.46		0.292767
14.47		0.29375
14.48		0.294735
14.49		0.295722
14.5		0.296711
14.51		0.297702
14.52		0.298694
14.53		0.299689
14.54		0.300686
14.55		0.301685
14.56		0.302686
14.57		0.303688
14.58		0.304693
14.59		0.3057
14.6		0.306709
14.61		0.30772
14.62		0.308732
14.63		0.309747
14.64		0.310764
14.65		0.311783
14.66		0.312804
14.67		0.313826
14.68		0.314851
14.69		0.315878
14.7		0.316907
14.71		0.317937
14.72		0.31897
14.73		0.320005
14.74		0.321042
14.75		0.32208
14.76		0.323121
14.77		0.324164
14.78		0.325209
14.79		0.326255
14.8		0.327304
14.81		0.328355
14.82		0.329408
14.83		0.330462
14.84		0.331519
14.85		0.332578
14.86		0.333639
14.87		0.334702
14.88		0.335766
14.89		0.336833
14.9		0.337902
14.91		0.338973
14.92		0.340046
14.93		0.34112
14.94		0.342197
14.95		0.343276
14.96		0.344357
14.97		0.34544
14.98		0.346525
14.99		0.347612
15		0.348701
15.01		0.349791
15.02		0.350884
15.03		0.351979
15.04		0.353076
15.05		0.354175
15.06		0.355276
15.07		0.356379
15.08		0.357484
15.09		0.358591
15.1		0.3597
15.11		0.360811
15.12		0.361924
15.13		0.363039
15.14		0.364156
15.15		0.365275
15.16		0.366397
15.17		0.36752
15.18		0.368645
15.19		0.369772
15.2		0.370901
15.21		0.372032
15.22		0.373165
15.23		0.374301
15.24		0.375438
15.25		0.376577
15.26		0.377718
15.27		0.378862
15.28		0.380007
15.29		0.381154
15.3		0.382304
15.31		0.383455
15.32		0.384608
15.33		0.385764
15.34		0.386921
15.35		0.38808
15.36		0.389242
15.37		0.390405
15.38		0.391571
15.39		0.392738
