x		Fresnel-Sin		Fresnel-Cos
2.23		0.485326		0.640678
2.24		0.495324		0.640753
2.25		0.505302		0.640125
2.26		0.515211		0.638793
2.27		0.525001		0.636762
2.28		0.53462		0.634039
2.29		0.544021		0.630634
2.3		0.553152		0.626562
2.31		0.561965		0.621842
2.32		0.570413		0.616495
2.33		0.578449		0.610547
2.34		0.586029		0.604027
2.35		0.593109		0.596969
2.36		0.599649		0.589407
2.37		0.605612		0.581382
2.38		0.61096		0.572935
2.39		0.615663		0.564112
2.4		0.619691		0.554962
2.41		0.623018		0.545534
2.42		0.625622		0.535881
2.43		0.627486		0.526059
2.44		0.628595		0.516123
2.45		0.62894		0.506131
2.46		0.628515		0.496143
2.47		0.627321		0.486217
2.48		0.625361		0.476413
2.49		0.622644		0.466792
2.5		0.619183		0.457413
2.51		0.614997		0.448334
2.52		0.610109		0.439613
2.53		0.604546		0.431306
2.54		0.598342		0.423467
2.55		0.591532		0.416147
2.56		0.584158		0.409396
2.57		0.576266		0.403259
2.58		0.567905		0.397778
2.59		0.559127		0.392993
2.6		0.54999		0.388936
2.61		0.540552		0.385639
2.62		0.530876		0.383126
2.63		0.521026		0.381417
2.64		0.511068		0.380527
2.65		0.501071		0.380464
2.66		0.491104		0.381233
2.67		0.481235		0.382832
2.68		0.471535		0.385251
2.69		0.462073		0.388478
2.7		0.452917		0.392492
2.71		0.444134		0.397267
2.72		0.435789		0.402772
2.73		0.427944		0.408969
2.74		0.420659		0.415815
2.75		0.413989		0.423262
2.76		0.407987		0.431257
2.77		0.4027		0.439742
2.78		0.39817		0.448653
2.79		0.394435		0.457926
2.8		0.391526		0.467491
2.81		0.389469		0.477274
2.82		0.388282		0.4872
2.83		0.387977		0.497192
2.84		0.388562		0.507172
2.85		0.390033		0.51706
2.86		0.392382		0.526777
2.87		0.395594		0.536244
2.88		0.399645		0.545383
2.89		0.404506		0.554119
2.9		0.410138		0.562378
2.91		0.416498		0.57009
2.92		0.423536		0.57719
2.93		0.431195		0.583615
2.94		0.439412		0.589309
2.95		0.448119		0.59422
2.96		0.457243		0.598305
2.97		0.466707		0.601525
2.98		0.47643		0.603849
2.99		0.486327		0.605254
3		0.496313		0.605725
3.01		0.506298		0.605253
3.02		0.516195		0.603841
3.03		0.525913		0.601498
3.04		0.535364		0.598242
3.05		0.544462		0.594099
3.06		0.553122		0.589105
3.07		0.561262		0.583303
3.08		0.568806		0.576744
3.09		0.57568		0.569486
3.1		0.58182		0.561597
3.11		0.587162		0.553148
3.12		0.591655		0.544218
3.13		0.595253		0.534892
3.14		0.597918		0.525257
3.15		0.599621		0.515407
3.16		0.600342		0.505436
3.17		0.600072		0.495443
3.18		0.598809		0.485527
3.19		0.596564		0.475786
3.2		0.593355		0.466319
3.21		0.589213		0.457221
3.22		0.584175		0.448587
3.23		0.578292		0.440505
3.24		0.57162		0.433061
3.25		0.564226		0.426334
3.26		0.556185		0.420395
3.27		0.547579		0.41531
3.28		0.538497		0.411133
3.29		0.529033		0.407913
3.3		0.519288		0.405687
3.31		0.509365		0.404481
3.32		0.49937		0.404312
3.33		0.489412		0.405184
3.34		0.479599		0.407092
3.35		0.47004		0.410016
3.36		0.460842		0.413929
3.37		0.452106		0.418789
3.38		0.443933		0.424544
3.39		0.436417		0.431134
3.4		0.429643		0.438485
3.41		0.423691		0.446517
3.42		0.418633		0.455139
3.43		0.414528		0.464253
3.44		0.411427		0.473756
3.45		0.40937		0.483538
3.46		0.408382		0.493486
3.47		0.40848		0.503481
3.48		0.409665		0.513407
3.49		0.411925		0.523144
3.5		0.415237		0.532576
3.51		0.419564		0.541587
3.52		0.424857		0.550067
3.53		0.431053		0.557911
3.54		0.438079		0.565022
3.55		0.445851		0.571308
3.56		0.454275		0.576691
3.57		0.463246		0.5811
3.58		0.472654		0.584477
3.59		0.482382		0.586777
3.6		0.492308		0.587967
3.61		0.502304		0.58803
3.62		0.512242		0.586961
3.63		0.521996		0.584771
3.64		0.531437		0.581485
3.65		0.540441		0.577144
3.66		0.54889		0.571801
3.67		0.556669		0.565524
3.68		0.563675		0.558393
3.69		0.569812		0.550502
3.7		0.574995		0.541955
3.71		0.579151		0.532863
3.72		0.582222		0.52335
3.73		0.584163		0.513544
3.74		0.584944		0.503579
3.75		0.584552		0.49359
3.76		0.582988		0.483717
3.77		0.580271		0.474096
3.78		0.576437		0.464865
3.79		0.571536		0.456152
3.8		0.565635		0.448083
3.81		0.558815		0.440775
3.82		0.551171		0.434333
3.83		0.542811		0.428852
3.84		0.533853		0.424415
3.85		0.524426		0.421088
3.86		0.514667		0.418922
3.87		0.504718		0.417953
3.88		0.494724		0.418198
3.89		0.484834		0.419656
3.9		0.475196		0.422309
3.91		0.465954		0.42612
3.92		0.457249		0.431035
3.93		0.449213		0.436982
3.94		0.441971		0.443873
3.95		0.435635		0.451605
3.96		0.430305		0.460063
3.97		0.426065		0.469116
3.98		0.422985		0.478626
3.99		0.421115		0.488447
4		0.420487		0.498424
4.01		0.421114		0.508402
4.02		0.42299		0.518221
4.03		0.426088		0.527726
4.04		0.430362		0.536764
4.05		0.435745		0.545188
4.06		0.442153		0.552861
4.07		0.449486		0.559657
4.08		0.457625		0.565462
4.09		0.46644		0.570179
4.1		0.475786		0.573728
4.11		0.485511		0.576047
4.12		0.495453		0.577095
4.13		0.505448		0.57685
4.14		0.515327		0.575314
4.15		0.524924		0.57251
4.16		0.534074		0.568483
4.17		0.542622		0.563297
4.18		0.550419		0.557038
4.19		0.55733		0.549813
4.2		0.563232		0.541743
4.21		0.568022		0.532967
4.22		0.571612		0.523636
4.23		0.573938		0.513912
4.24		0.574954		0.503965
4.25		0.574641		0.493971
4.26		0.573		0.484108
4.27		0.570057		0.474552
4.28		0.565863		0.465476
4.29		0.56049		0.457043
4.3		0.554033		0.449409
4.31		0.546606		0.442714
4.32		0.538343		0.437083
4.33		0.529395		0.432621
4.34		0.519924		0.429414
4.35		0.510105		0.427525
4.36		0.50012		0.42699
4.37		0.490155		0.427824
4.38		0.480398		0.430014
4.39		0.471033		0.433521
4.4		0.46224		0.438283
4.41		0.454186		0.444211
4.42		0.447028		0.451194
4.43		0.440906		0.459101
4.44		0.435939		0.467781
4.45		0.432228		0.477067
4.46		0.429847		0.48678
4.47		0.428845		0.49673
4.48		0.429246		0.506723
4.49		0.431045		0.516561
4.5		0.434209		0.526048
4.51		0.438679		0.534996
4.52		0.444367		0.543222
4.53		0.451162		0.550561
4.54		0.458929		0.556861
4.55		0.467514		0.561994
4.56		0.476742		0.565852
4.57		0.486426		0.568353
4.58		0.496369		0.569442
4.59		0.506365		0.569095
4.6		0.516208		0.567314
4.61		0.525692		0.564135
4.62		0.534618		0.55962
4.63		0.542798		0.553862
4.64		0.550056		0.546979
4.65		0.556238		0.539114
4.66		0.561209		0.530433
4.67		0.564861		0.521119
4.68		0.567112		0.511372
4.69		0.567911		0.5014
4.7		0.567238		0.491418
4.71		0.565103		0.481644
4.72		0.56155		0.472291
4.73		0.556655		0.463565
4.74		0.550521		0.455661
4.75		0.543283		0.448753
4.76		0.535098		0.442998
4.77		0.526146		0.438527
4.78		0.516628		0.435442
4.79		0.506754		0.433816
4.8		0.496749		0.433689
4.81		0.486837		0.435066
4.82		0.477245		0.437919
4.83		0.468194		0.442187
4.84		0.459891		0.447774
4.85		0.45253		0.454554
4.86		0.446283		0.462373
4.87		0.441298		0.471052
4.88		0.437693		0.480389
4.89		0.435557		0.490167
4.9		0.434942		0.500157
4.91		0.435866		0.510124
4.92		0.438311		0.51983
4.93		0.44222		0.529045
4.94		0.447505		0.537547
4.95		0.45404		0.54513
4.96		0.461671		0.55161
4.97		0.470216		0.556827
4.98		0.479468		0.560651
4.99		0.489204		0.562988
5		0.499185		0.563776
