Angle		Time-Period
0.86708			1.04849
0.870221			1.04886
0.873363			1.04924
0.876504			1.04961
0.879646			1.04999
0.882788			1.05037
0.885929			1.05075
0.889071			1.05113
0.892212			1.05152
0.895354			1.0519
0.898495			1.05229
0.901637			1.05268
0.904779			1.05307
0.90792			1.05346
0.911062			1.05386
0.914203			1.05425
0.917345			1.05465
0.920487			1.05505
0.923628			1.05545
0.92677			1.05585
0.929911			1.05625
0.933053			1.05666
0.936195			1.05707
0.939336			1.05747
0.942478			1.05788
0.945619			1.0583
0.948761			1.05871
0.951903			1.05913
0.955044			1.05954
0.958186			1.05996
0.961327			1.06038
0.964469			1.0608
0.967611			1.06123
0.970752			1.06165
0.973894			1.06208
0.977035			1.06251
0.980177			1.06294
0.983319			1.06337
0.98646			1.06381
0.989602			1.06424
0.992743			1.06468
0.995885			1.06512
0.999026			1.06556
1.00217			1.066
1.00531			1.06645
1.00845			1.06689
1.01159			1.06734
1.01473			1.06779
1.01788			1.06824
1.02102			1.06869
1.02416			1.06915
1.0273			1.06961
1.03044			1.07006
1.03358			1.07053
1.03673			1.07099
1.03987			1.07145
1.04301			1.07192
1.04615			1.07238
1.04929			1.07285
1.05243			1.07332
1.05558			1.0738
1.05872			1.07427
1.06186			1.07475
1.065			1.07523
1.06814			1.07571
1.07128			1.07619
1.07442			1.07667
1.07757			1.07716
1.08071			1.07764
1.08385			1.07813
1.08699			1.07862
1.09013			1.07912
1.09327			1.07961
1.09642			1.08011
1.09956			1.08061
1.1027			1.08111
1.10584			1.08161
1.10898			1.08211
1.11212			1.08262
1.11527			1.08313
1.11841			1.08364
1.12155			1.08415
1.12469			1.08466
1.12783			1.08518
1.13097			1.0857
1.13411			1.08621
1.13726			1.08674
1.1404			1.08726
1.14354			1.08778
1.14668			1.08831
1.14982			1.08884
1.15296			1.08937
1.15611			1.0899
1.15925			1.09044
1.16239			1.09097
1.16553			1.09151
1.16867			1.09205
1.17181			1.0926
1.17496			1.09314
1.1781			1.09369
1.18124			1.09424
1.18438			1.09479
1.18752			1.09534
1.19066			1.09589
1.19381			1.09645
1.19695			1.09701
1.20009			1.09757
1.20323			1.09813
1.20637			1.0987
1.20951			1.09926
1.21265			1.09983
1.2158			1.1004
1.21894			1.10097
1.22208			1.10155
1.22522			1.10213
1.22836			1.10271
1.2315			1.10329
1.23465			1.10387
1.23779			1.10445
1.24093			1.10504
1.24407			1.10563
1.24721			1.10622
1.25035			1.10682
1.2535			1.10741
1.25664			1.10801
1.25978			1.10861
1.26292			1.10921
1.26606			1.10982
1.2692			1.11042
1.27235			1.11103
1.27549			1.11164
1.27863			1.11225
1.28177			1.11287
1.28491			1.11349
1.28805			1.11411
1.29119			1.11473
1.29434			1.11535
1.29748			1.11598
1.30062			1.1166
1.30376			1.11723
1.3069			1.11787
1.31004			1.1185
1.31319			1.11914
1.31633			1.11978
1.31947			1.12042
1.32261			1.12106
1.32575			1.12171
1.32889			1.12236
1.33204			1.12301
1.33518			1.12366
1.33832			1.12431
1.34146			1.12497
1.3446			1.12563
1.34774			1.12629
1.35088			1.12696
1.35403			1.12762
1.35717			1.12829
1.36031			1.12896
1.36345			1.12964
1.36659			1.13031
1.36973			1.13099
1.37288			1.13167
1.37602			1.13235
1.37916			1.13304
1.3823			1.13373
1.38544			1.13442
1.38858			1.13511
1.39173			1.1358
1.39487			1.1365
1.39801			1.1372
1.40115			1.1379
1.40429			1.13861
1.40743			1.13931
1.41058			1.14002
1.41372			1.14074
1.41686			1.14145
1.42			1.14217
1.42314			1.14289
1.42628			1.14361
1.42942			1.14433
1.43257			1.14506
1.43571			1.14579
1.43885			1.14652
1.44199			1.14725
1.44513			1.14799
1.44827			1.14873
1.45142			1.14947
1.45456			1.15022
1.4577			1.15096
1.46084			1.15171
1.46398			1.15246
1.46712			1.15322
1.47027			1.15398
1.47341			1.15474
1.47655			1.1555
1.47969			1.15626
1.48283			1.15703
1.48597			1.1578
1.48911			1.15857
1.49226			1.15935
1.4954			1.16013
1.49854			1.16091
1.50168			1.16169
1.50482			1.16248
1.50796			1.16327
1.51111			1.16406
1.51425			1.16486
1.51739			1.16565
1.52053			1.16645
1.52367			1.16726
1.52681			1.16806
1.52996			1.16887
1.5331			1.16968
1.53624			1.17049
1.53938			1.17131
1.54252			1.17213
1.54566			1.17295
1.54881			1.17378
1.55195			1.17461
1.55509			1.17544
1.55823			1.17627
1.56137			1.17711
1.56451			1.17795
1.56765			1.17879
