z		n=0			n=1			n=2		n=3		n=4		n=5		
0.63		0.93515		0.201782		0.0257181		0.00232936		0.000163713		9.40247e-006		
0.64		0.933118		0.204722		0.0265168		0.00244032		0.000174257		1.01678e-005		
0.65		0.931056		0.20765		0.0273265		0.00255467		0.000185297		1.09819e-005		
0.66		0.928965		0.210565		0.0281473		0.00267245		0.000196848		1.18471e-005		
0.67		0.926845		0.213467		0.028979		0.0027937		0.000208926		1.27656e-005		
0.68		0.924696		0.216357		0.0298215		0.00291847		0.000221544		1.374e-005		
0.69		0.922518		0.219234		0.0306748		0.00304679		0.00023472		1.47727e-005		
0.7		0.920311		0.222098		0.0315388		0.00317872		0.000248468		1.58661e-005		
0.71		0.918076		0.224949		0.0324134		0.0033143		0.000262804		1.7023e-005		
0.72		0.915812		0.227787		0.0332986		0.00345356		0.000277745		1.8246e-005		
0.73		0.91352		0.23061		0.0341942		0.00359656		0.000293305		1.95378e-005		
0.74		0.9112		0.233421		0.0351003		0.00374332		0.000309503		2.09013e-005		
0.75		0.908852		0.236217		0.0360166		0.00389389		0.000326353		2.23394e-005		
0.76		0.906476		0.238999		0.0369433		0.00404832		0.000343872		2.38551e-005		
0.77		0.904072		0.241768		0.03788		0.00420663		0.000362078		2.54513e-005		
0.78		0.90164		0.244521		0.0388269		0.00436888		0.000380987		2.71313e-005		
0.79		0.899181		0.247261		0.0397838		0.00453509		0.000400617		2.88981e-005		
0.8		0.896695		0.249985		0.0407505		0.00470532		0.000420984		3.07551e-005		
0.81		0.894182		0.252695		0.0417271		0.00487958		0.000442106		3.27057e-005		
0.82		0.891641		0.25539		0.0427135		0.00505794		0.000464001		3.47531e-005		
0.83		0.889074		0.25807		0.0437095		0.00524041		0.000486685		3.6901e-005		
0.84		0.88648		0.260735		0.0447152		0.00542704		0.000510178		3.91529e-005		
0.85		0.883859		0.263384		0.0457303		0.00561786		0.000534497		4.15125e-005		
0.86		0.881212		0.266017		0.0467548		0.00581292		0.000559659		4.39835e-005		
0.87		0.878539		0.268635		0.0477886		0.00601224		0.000585684		4.65698e-005		
0.88		0.87584		0.271237		0.0488317		0.00621585		0.00061259		4.92751e-005		
