a	Error-Function
-3.681		0.999768
-3.68		0.999767
-3.679		0.999766
-3.678		0.999765
-3.677		0.999764
-3.676		0.999763
-3.675		0.999762
-3.674		0.999761
-3.673		0.99976
-3.672		0.999759
-3.671		0.999758
-3.67		0.999757
-3.669		0.999756
-3.668		0.999756
-3.667		0.999755
-3.666		0.999754
-3.665		0.999753
-3.664		0.999752
-3.663		0.999751
-3.662		0.99975
-3.661		0.999749
-3.66		0.999748
-3.659		0.999747
-3.658		0.999746
-3.657		0.999745
-3.656		0.999744
-3.655		0.999743
-3.654		0.999742
-3.653		0.999741
-3.652		0.99974
-3.651		0.999739
-3.65		0.999738
-3.649		0.999737
-3.648		0.999736
-3.647		0.999735
-3.646		0.999734
-3.645		0.999733
-3.644		0.999732
-3.643		0.999731
-3.642		0.999729
-3.641		0.999728
-3.64		0.999727
-3.639		0.999726
-3.638		0.999725
-3.637		0.999724
-3.636		0.999723
-3.635		0.999722
-3.634		0.999721
-3.633		0.99972
-3.632		0.999719
-3.631		0.999718
-3.63		0.999717
-3.629		0.999715
-3.628		0.999714
-3.627		0.999713
-3.626		0.999712
-3.625		0.999711
-3.624		0.99971
-3.623		0.999709
-3.622		0.999708
-3.621		0.999707
-3.62		0.999705
-3.619		0.999704
-3.618		0.999703
-3.617		0.999702
-3.616		0.999701
-3.615		0.9997
-3.614		0.999698
-3.613		0.999697
-3.612		0.999696
-3.611		0.999695
-3.61		0.999694
-3.609		0.999693
-3.608		0.999691
-3.607		0.99969
-3.606		0.999689
-3.605		0.999688
-3.604		0.999687
-3.603		0.999685
-3.602		0.999684
-3.601		0.999683
-3.6		0.999682
-3.599		0.999681
-3.598		0.999679
-3.597		0.999678
-3.596		0.999677
-3.595		0.999676
-3.594		0.999674
-3.593		0.999673
-3.592		0.999672
-3.591		0.999671
-3.59		0.999669
-3.589		0.999668
-3.588		0.999667
-3.587		0.999665
-3.586		0.999664
-3.585		0.999663
-3.584		0.999662
-3.583		0.99966
-3.582		0.999659
-3.581		0.999658
-3.58		0.999656
-3.579		0.999655
-3.578		0.999654
-3.577		0.999652
-3.576		0.999651
-3.575		0.99965
-3.574		0.999648
-3.573		0.999647
-3.572		0.999646
-3.571		0.999644
-3.57		0.999643
-3.569		0.999642
-3.568		0.99964
-3.567		0.999639
-3.566		0.999638
-3.565		0.999636
-3.564		0.999635
-3.563		0.999633
-3.562		0.999632
-3.561		0.999631
-3.56		0.999629
-3.559		0.999628
-3.558		0.999626
-3.557		0.999625
-3.556		0.999623
-3.555		0.999622
-3.554		0.999621
-3.553		0.999619
-3.552		0.999618
-3.551		0.999616
-3.55		0.999615
-3.549		0.999613
-3.548		0.999612
-3.547		0.99961
-3.546		0.999609
-3.545		0.999607
-3.544		0.999606
-3.543		0.999604
-3.542		0.999603
-3.541		0.999601
-3.54		0.9996
-3.539		0.999598
-3.538		0.999597
-3.537		0.999595
-3.536		0.999594
-3.535		0.999592
-3.534		0.999591
-3.533		0.999589
-3.532		0.999588
-3.531		0.999586
-3.53		0.999584
-3.529		0.999583
-3.528		0.999581
-3.527		0.99958
-3.526		0.999578
-3.525		0.999577
-3.524		0.999575
-3.523		0.999573
-3.522		0.999572
-3.521		0.99957
-3.52		0.999568
-3.519		0.999567
-3.518		0.999565
-3.517		0.999564
-3.516		0.999562
-3.515		0.99956
-3.514		0.999559
-3.513		0.999557
-3.512		0.999555
-3.511		0.999554
-3.51		0.999552
-3.509		0.99955
-3.508		0.999549
-3.507		0.999547
-3.506		0.999545
-3.505		0.999543
-3.504		0.999542
-3.503		0.99954
-3.502		0.999538
-3.501		0.999536
-3.5		0.999535
-3.499		0.999533
-3.498		0.999531
-3.497		0.999529
-3.496		0.999528
-3.495		0.999526
-3.494		0.999524
-3.493		0.999522
-3.492		0.999521
-3.491		0.999519
-3.49		0.999517
-3.489		0.999515
-3.488		0.999513
-3.487		0.999512
-3.486		0.99951
-3.485		0.999508
-3.484		0.999506
-3.483		0.999504
-3.482		0.999502
-3.481		0.9995
-3.48		0.999499
-3.479		0.999497
-3.478		0.999495
-3.477		0.999493
-3.476		0.999491
-3.475		0.999489
-3.474		0.999487
-3.473		0.999485
-3.472		0.999483
-3.471		0.999481
-3.47		0.99948
-3.469		0.999478
-3.468		0.999476
-3.467		0.999474
-3.466		0.999472
-3.465		0.99947
-3.464		0.999468
-3.463		0.999466
-3.462		0.999464
-3.461		0.999462
-3.46		0.99946
-3.459		0.999458
-3.458		0.999456
-3.457		0.999454
-3.456		0.999452
-3.455		0.99945
-3.454		0.999448
-3.453		0.999446
-3.452		0.999444
-3.451		0.999441
-3.45		0.999439
-3.449		0.999437
-3.448		0.999435
-3.447		0.999433
-3.446		0.999431
-3.445		0.999429
-3.444		0.999427
-3.443		0.999425
-3.442		0.999423
-3.441		0.99942
-3.44		0.999418
-3.439		0.999416
-3.438		0.999414
-3.437		0.999412
-3.436		0.99941
-3.435		0.999407
-3.434		0.999405
-3.433		0.999403
-3.432		0.999401
-3.431		0.999399
-3.43		0.999396
-3.429		0.999394
-3.428		0.999392
-3.427		0.99939
-3.426		0.999387
-3.425		0.999385
-3.424		0.999383
-3.423		0.999381
-3.422		0.999378
-3.421		0.999376
-3.42		0.999374
-3.419		0.999371
-3.418		0.999369
-3.417		0.999367
-3.416		0.999365
-3.415		0.999362
-3.414		0.99936
-3.413		0.999357
-3.412		0.999355
-3.411		0.999353
-3.41		0.99935
-3.409		0.999348
-3.408		0.999346
-3.407		0.999343
-3.406		0.999341
-3.405		0.999338
-3.404		0.999336
-3.403		0.999333
-3.402		0.999331
-3.401		0.999329
-3.4		0.999326
-3.399		0.999324
-3.398		0.999321
-3.397		0.999319
-3.396		0.999316
-3.395		0.999314
-3.394		0.999311
-3.393		0.999309
-3.392		0.999306
-3.391		0.999304
-3.39		0.999301
-3.389		0.999299
-3.388		0.999296
-3.387		0.999293
-3.386		0.999291
-3.385		0.999288
-3.384		0.999286
-3.383		0.999283
-3.382		0.99928
-3.381		0.999278
-3.38		0.999275
-3.379		0.999272
-3.378		0.99927
-3.377		0.999267
-3.376		0.999265
-3.375		0.999262
-3.374		0.999259
-3.373		0.999256
-3.372		0.999254
-3.371		0.999251
-3.37		0.999248
-3.369		0.999246
-3.368		0.999243
-3.367		0.99924
-3.366		0.999237
-3.365		0.999235
-3.364		0.999232
-3.363		0.999229
-3.362		0.999226
-3.361		0.999223
-3.36		0.999221
-3.359		0.999218
-3.358		0.999215
-3.357		0.999212
-3.356		0.999209
-3.355		0.999206
-3.354		0.999203
-3.353		0.999201
-3.352		0.999198
-3.351		0.999195
-3.35		0.999192
-3.349		0.999189
-3.348		0.999186
-3.347		0.999183
-3.346		0.99918
-3.345		0.999177
-3.344		0.999174
-3.343		0.999171
-3.342		0.999168
-3.341		0.999165
-3.34		0.999162
-3.339		0.999159
-3.338		0.999156
-3.337		0.999153
-3.336		0.99915
-3.335		0.999147
-3.334		0.999144
-3.333		0.999141
-3.332		0.999138
-3.331		0.999135
-3.33		0.999132
-3.329		0.999128
-3.328		0.999125
-3.327		0.999122
-3.326		0.999119
-3.325		0.999116
-3.324		0.999113
-3.323		0.999109
-3.322		0.999106
-3.321		0.999103
-3.32		0.9991
-3.319		0.999097
-3.318		0.999093
-3.317		0.99909
-3.316		0.999087
-3.315		0.999084
-3.314		0.99908
-3.313		0.999077
-3.312		0.999074
-3.311		0.99907
-3.31		0.999067
-3.309		0.999064
-3.308		0.99906
-3.307		0.999057
-3.306		0.999054
-3.305		0.99905
-3.304		0.999047
-3.303		0.999043
-3.302		0.99904
-3.301		0.999037
-3.3		0.999033
-3.299		0.99903
-3.298		0.999026
-3.297		0.999023
-3.296		0.999019
-3.295		0.999016
-3.294		0.999012
-3.293		0.999009
-3.292		0.999005
-3.291		0.999002
-3.29		0.998998
-3.289		0.998995
-3.288		0.998991
-3.287		0.998987
-3.286		0.998984
-3.285		0.99898
-3.284		0.998977
-3.283		0.998973
-3.282		0.998969
-3.281		0.998966
-3.28		0.998962
-3.279		0.998958
-3.278		0.998955
-3.277		0.998951
-3.276		0.998947
-3.275		0.998943
-3.274		0.99894
-3.273		0.998936
-3.272		0.998932
-3.271		0.998928
-3.27		0.998925
-3.269		0.998921
-3.268		0.998917
-3.267		0.998913
-3.266		0.998909
-3.265		0.998905
-3.264		0.998901
-3.263		0.998898
-3.262		0.998894
-3.261		0.99889
-3.26		0.998886
-3.259		0.998882
-3.258		0.998878
-3.257		0.998874
-3.256		0.99887
-3.255		0.998866
-3.254		0.998862
-3.253		0.998858
-3.252		0.998854
-3.251		0.99885
-3.25		0.998846
-3.249		0.998842
-3.248		0.998838
-3.247		0.998834
-3.246		0.99883
-3.245		0.998825
-3.244		0.998821
-3.243		0.998817
-3.242		0.998813
-3.241		0.998809
-3.24		0.998805
-3.239		0.9988
-3.238		0.998796
-3.237		0.998792
-3.236		0.998788
-3.235		0.998784
-3.234		0.998779
-3.233		0.998775
-3.232		0.998771
-3.231		0.998766
-3.23		0.998762
-3.229		0.998758
-3.228		0.998753
-3.227		0.998749
-3.226		0.998745
-3.225		0.99874
-3.224		0.998736
-3.223		0.998731
-3.222		0.998727
-3.221		0.998723
-3.22		0.998718
-3.219		0.998714
-3.218		0.998709
-3.217		0.998705
-3.216		0.9987
-3.215		0.998696
-3.214		0.998691
-3.213		0.998686
-3.212		0.998682
-3.211		0.998677
-3.21		0.998673
-3.209		0.998668
-3.208		0.998663
-3.207		0.998659
-3.206		0.998654
-3.205		0.998649
-3.204		0.998645
-3.203		0.99864
-3.202		0.998635
-3.201		0.99863
-3.2		0.998626
-3.199		0.998621
-3.198		0.998616
-3.197		0.998611
-3.196		0.998607
-3.195		0.998602
-3.194		0.998597
-3.193		0.998592
-3.192		0.998587
-3.191		0.998582
-3.19		0.998577
-3.189		0.998572
-3.188		0.998567
-3.187		0.998562
-3.186		0.998557
-3.185		0.998552
-3.184		0.998547
-3.183		0.998542
-3.182		0.998537
-3.181		0.998532
-3.18		0.998527
-3.179		0.998522
-3.178		0.998517
-3.177		0.998512
-3.176		0.998507
-3.175		0.998502
-3.174		0.998496
-3.173		0.998491
-3.172		0.998486
-3.171		0.998481
-3.17		0.998476
-3.169		0.99847
-3.168		0.998465
-3.167		0.99846
-3.166		0.998454
-3.165		0.998449
-3.164		0.998444
-3.163		0.998438
-3.162		0.998433
-3.161		0.998428
-3.16		0.998422
-3.159		0.998417
-3.158		0.998411
-3.157		0.998406
-3.156		0.998401
-3.155		0.998395
-3.154		0.998389
-3.153		0.998384
-3.152		0.998378
-3.151		0.998373
-3.15		0.998367
-3.149		0.998362
-3.148		0.998356
-3.147		0.99835
-3.146		0.998345
-3.145		0.998339
-3.144		0.998333
-3.143		0.998328
-3.142		0.998322
-3.141		0.998316
-3.14		0.998311
-3.139		0.998305
-3.138		0.998299
-3.137		0.998293
-3.136		0.998287
-3.135		0.998281
-3.134		0.998276
-3.133		0.99827
-3.132		0.998264
-3.131		0.998258
-3.13		0.998252
-3.129		0.998246
-3.128		0.99824
-3.127		0.998234
-3.126		0.998228
-3.125		0.998222
-3.124		0.998216
-3.123		0.99821
-3.122		0.998204
-3.121		0.998198
-3.12		0.998191
-3.119		0.998185
-3.118		0.998179
-3.117		0.998173
-3.116		0.998167
-3.115		0.998161
-3.114		0.998154
-3.113		0.998148
-3.112		0.998142
-3.111		0.998135
-3.11		0.998129
-3.109		0.998123
-3.108		0.998116
-3.107		0.99811
-3.106		0.998104
-3.105		0.998097
-3.104		0.998091
-3.103		0.998084
-3.102		0.998078
-3.101		0.998071
-3.1		0.998065
-3.099		0.998058
-3.098		0.998052
-3.097		0.998045
-3.096		0.998038
-3.095		0.998032
-3.094		0.998025
-3.093		0.998019
-3.092		0.998012
-3.091		0.998005
-3.09		0.997998
-3.089		0.997992
-3.088		0.997985
-3.087		0.997978
-3.086		0.997971
-3.085		0.997964
-3.084		0.997958
-3.083		0.997951
-3.082		0.997944
-3.081		0.997937
-3.08		0.99793
-3.079		0.997923
-3.078		0.997916
-3.077		0.997909
-3.076		0.997902
-3.075		0.997895
-3.074		0.997888
-3.073		0.997881
-3.072		0.997874
-3.071		0.997867
-3.07		0.997859
-3.069		0.997852
-3.068		0.997845
-3.067		0.997838
-3.066		0.997831
-3.065		0.997823
-3.064		0.997816
-3.063		0.997809
-3.062		0.997801
-3.061		0.997794
-3.06		0.997787
-3.059		0.997779
-3.058		0.997772
-3.057		0.997764
-3.056		0.997757
-3.055		0.997749
-3.054		0.997742
-3.053		0.997734
-3.052		0.997727
-3.051		0.997719
-3.05		0.997712
-3.049		0.997704
-3.048		0.997696
-3.047		0.997689
-3.046		0.997681
-3.045		0.997673
-3.044		0.997665
-3.043		0.997658
-3.042		0.99765
-3.041		0.997642
-3.04		0.997634
-3.039		0.997626
-3.038		0.997618
-3.037		0.997611
-3.036		0.997603
-3.035		0.997595
-3.034		0.997587
-3.033		0.997579
-3.032		0.997571
-3.031		0.997563
-3.03		0.997554
-3.029		0.997546
-3.028		0.997538
-3.027		0.99753
-3.026		0.997522
-3.025		0.997514
-3.024		0.997505
-3.023		0.997497
-3.022		0.997489
-3.021		0.997481
-3.02		0.997472
-3.019		0.997464
-3.018		0.997455
-3.017		0.997447
-3.016		0.997439
-3.015		0.99743
-3.014		0.997422
-3.013		0.997413
-3.012		0.997405
-3.011		0.997396
-3.01		0.997388
-3.009		0.997379
-3.008		0.99737
-3.007		0.997362
-3.006		0.997353
-3.005		0.997344
-3.004		0.997335
-3.003		0.997327
-3.002		0.997318
-3.001		0.997309
-3		0.9973
-2.999		0.997291
-2.998		0.997282
-2.997		0.997273
-2.996		0.997265
-2.995		0.997256
-2.994		0.997247
-2.993		0.997237
-2.992		0.997228
-2.991		0.997219
-2.99		0.99721
-2.989		0.997201
-2.988		0.997192
