x		C(u)		S(u)
-0.94		-0.704348		-0
-0.93		-0.699372		-0
-0.92		-0.694271		-0
-0.91		-0.689049		-0
-0.9		-0.683707		-0
-0.89		-0.678251		-0
-0.88		-0.672681		-0
-0.87		-0.667003		-0
-0.86		-0.661219		-0
-0.85		-0.655332		-0
-0.84		-0.649346		-0
-0.83		-0.643262		-0
-0.82		-0.637085		-0
-0.81		-0.630817		-0
-0.8		-0.624461		-0
-0.79		-0.61802		-0
-0.78		-0.611497		-0
-0.77		-0.604895		-0
-0.76		-0.598216		-0
-0.75		-0.591463		-0
-0.74		-0.584639		-0
-0.73		-0.577746		-0
-0.72		-0.570787		-0
-0.71		-0.563765		-0
-0.7		-0.556681		-0
-0.69		-0.549539		-0
-0.68		-0.54234		-0
-0.67		-0.535087		-0
-0.66		-0.527782		-0
-0.65		-0.520427		-0
-0.64		-0.513025		-0
-0.63		-0.505577		-0
-0.62		-0.498086		-0
-0.61		-0.490553		-0
-0.6		-0.482981		-0
-0.59		-0.475371		-0
-0.58		-0.467725		-0
-0.57		-0.460044		-0
-0.56		-0.452331		-0
-0.55		-0.444588		-0
-0.54		-0.436815		-0
-0.53		-0.429014		-0
-0.52		-0.421187		-0
-0.51		-0.413335		-0
-0.5		-0.405459		-0
-0.49		-0.397561		-0
-0.48		-0.389643		-0
-0.47		-0.381705		-0
-0.46		-0.373748		-0
-0.45		-0.365775		-0
-0.44		-0.357785		-0
-0.43		-0.34978		-0
-0.42		-0.34176		-0
-0.41		-0.333728		-0
-0.4		-0.325683		-0
-0.39		-0.317627		-0
-0.38		-0.30956		-0
-0.37		-0.301483		-0
-0.36		-0.293398		-0
-0.35		-0.285304		-0
-0.34		-0.277202		-0
-0.33		-0.269094		-0
-0.32		-0.260979		-0
-0.31		-0.252858		-0
-0.3		-0.244731		-0
-0.29		-0.2366		-0
-0.28		-0.228465		-0
-0.27		-0.220326		-0
-0.26		-0.212183		-0
-0.25		-0.204037		-0
-0.24		-0.195888		-0
-0.23		-0.187737		-0
-0.22		-0.179583		-0
-0.21		-0.171428		-0
-0.2		-0.163271		-0
-0.19		-0.155112		-0
-0.18		-0.146952		-0
-0.17		-0.138792		-0
-0.16		-0.13063		-0
-0.15		-0.122468		-0
-0.14		-0.114305		-0
-0.13		-0.106141		-0
-0.12		-0.0979774		-0
-0.11		-0.0898132		-0
-0.1		-0.0816488		-0
-0.09		-0.0734842		-0
