Mass-Number			Cosine-of-Scattering-Angle
4.9			-0.000608469
4.91			-0.000603399
4.92			-0.000598383
4.93			-0.000593418
4.94			-0.000588506
4.95			-0.000583644
4.96			-0.000578833
4.97			-0.000574071
4.98			-0.000569358
4.99			-0.000564694
5			-0.000560078
5.01			-0.000555509
5.02			-0.000550987
5.03			-0.000546511
5.04			-0.000542081
5.05			-0.000537696
5.06			-0.000533355
5.07			-0.000529058
5.08			-0.000524804
5.09			-0.000520594
5.1			-0.000516425
5.11			-0.000512299
5.12			-0.000508213
5.13			-0.000504169
5.14			-0.000500165
5.15			-0.000496201
5.16			-0.000492276
5.17			-0.00048839
5.18			-0.000484543
5.19			-0.000480733
5.2			-0.000476962
5.21			-0.000473227
5.22			-0.000469529
5.23			-0.000465867
5.24			-0.00046224
5.25			-0.00045865
5.26			-0.000455094
5.27			-0.000451573
5.28			-0.000448085
5.29			-0.000444632
5.3			-0.000441212
5.31			-0.000437825
5.32			-0.00043447
5.33			-0.000431148
5.34			-0.000427858
5.35			-0.000424599
5.36			-0.000421371
5.37			-0.000418174
5.38			-0.000415007
5.39			-0.00041187
5.4			-0.000408763
5.41			-0.000405685
5.42			-0.000402637
5.43			-0.000399617
5.44			-0.000396625
5.45			-0.000393662
5.46			-0.000390726
5.47			-0.000387818
5.48			-0.000384937
5.49			-0.000382082
5.5			-0.000379255
5.51			-0.000376453
5.52			-0.000373677
5.53			-0.000370927
5.54			-0.000368202
5.55			-0.000365503
5.56			-0.000362828
5.57			-0.000360178
5.58			-0.000357552
5.59			-0.00035495
5.6			-0.000352371
5.61			-0.000349816
5.62			-0.000347285
5.63			-0.000344776
5.64			-0.00034229
5.65			-0.000339826
5.66			-0.000337385
5.67			-0.000334965
5.68			-0.000332568
5.69			-0.000330192
5.7			-0.000327837
5.71			-0.000325503
5.72			-0.00032319
5.73			-0.000320897
5.74			-0.000318625
5.75			-0.000316373
5.76			-0.000314141
5.77			-0.000311929
5.78			-0.000309736
5.79			-0.000307562
5.8			-0.000305408
5.81			-0.000303273
5.82			-0.000301156
5.83			-0.000299057
5.84			-0.000296977
5.85			-0.000294916
5.86			-0.000292872
5.87			-0.000290845
5.88			-0.000288837
5.89			-0.000286846
5.9			-0.000284871
5.91			-0.000282914
5.92			-0.000280974
5.93			-0.000279051
5.94			-0.000277143
5.95			-0.000275253
5.96			-0.000273378
5.97			-0.000271519
5.98			-0.000269677
5.99			-0.00026785
6			-0.000266038
6.01			-0.000264242
6.02			-0.00026246
6.03			-0.000260694
6.04			-0.000258943
6.05			-0.000257207
6.06			-0.000255485
6.07			-0.000253777
6.08			-0.000252084
6.09			-0.000250405
6.1			-0.00024874
6.11			-0.000247089
6.12			-0.000245452
6.13			-0.000243828
6.14			-0.000242217
6.15			-0.00024062
6.16			-0.000239036
6.17			-0.000237466
6.18			-0.000235908
6.19			-0.000234362
6.2			-0.00023283
6.21			-0.00023131
6.22			-0.000229803
6.23			-0.000228307
6.24			-0.000226824
6.25			-0.000225353
6.26			-0.000223894
6.27			-0.000222447
6.28			-0.000221012
6.29			-0.000219588
6.3			-0.000218175
6.31			-0.000216774
6.32			-0.000215385
6.33			-0.000214006
6.34			-0.000212639
6.35			-0.000211282
6.36			-0.000209936
6.37			-0.000208601
6.38			-0.000207277
6.39			-0.000205963
6.4			-0.000204659
6.41			-0.000203366
6.42			-0.000202083
6.43			-0.00020081
6.44			-0.000199548
6.45			-0.000198295
6.46			-0.000197052
6.47			-0.000195819
6.48			-0.000194595
6.49			-0.000193381
6.5			-0.000192177
6.51			-0.000190981
6.52			-0.000189796
6.53			-0.000188619
6.54			-0.000187451
6.55			-0.000186293
6.56			-0.000185144
6.57			-0.000184003
6.58			-0.000182871
6.59			-0.000181748
6.6			-0.000180634
6.61			-0.000179528
6.62			-0.00017843
6.63			-0.000177341
6.64			-0.000176261
6.65			-0.000175188
6.66			-0.000174124
6.67			-0.000173068
6.68			-0.000172019
6.69			-0.000170979
6.7			-0.000169947
6.71			-0.000168922
6.72			-0.000167905
6.73			-0.000166896
6.74			-0.000165895
6.75			-0.000164901
6.76			-0.000163914
6.77			-0.000162935
6.78			-0.000161963
6.79			-0.000160998
6.8			-0.000160041
6.81			-0.00015909
6.82			-0.000158147
6.83			-0.000157211
6.84			-0.000156281
6.85			-0.000155359
6.86			-0.000154443
6.87			-0.000153534
6.88			-0.000152632
6.89			-0.000151737
6.9			-0.000150848
6.91			-0.000149965
6.92			-0.000149089
6.93			-0.00014822
6.94			-0.000147356
6.95			-0.000146499
6.96			-0.000145649
6.97			-0.000144804
6.98			-0.000143966
6.99			-0.000143133
7			-0.000142307
7.01			-0.000141487
7.02			-0.000140672
7.03			-0.000139864
7.04			-0.000139061
7.05			-0.000138264
7.06			-0.000137473
7.07			-0.000136687
7.08			-0.000135907
7.09			-0.000135133
7.1			-0.000134364
7.11			-0.0001336
7.12			-0.000132842
7.13			-0.00013209
7.14			-0.000131342
7.15			-0.0001306
7.16			-0.000129864
7.17			-0.000129132
7.18			-0.000128406
7.19			-0.000127684
7.2			-0.000126968
7.21			-0.000126257
7.22			-0.000125551
7.23			-0.000124849
7.24			-0.000124153
7.25			-0.000123462
7.26			-0.000122775
7.27			-0.000122093
7.28			-0.000121416
7.29			-0.000120743
7.3			-0.000120076
7.31			-0.000119412
7.32			-0.000118754
7.33			-0.0001181
7.34			-0.00011745
7.35			-0.000116805
7.36			-0.000116164
7.37			-0.000115528
7.38			-0.000114896
7.39			-0.000114269
7.4			-0.000113645
7.41			-0.000113026
7.42			-0.000112412
7.43			-0.000111801
7.44			-0.000111195
7.45			-0.000110592
7.46			-0.000109994
7.47			-0.0001094
7.48			-0.000108809
7.49			-0.000108223
7.5			-0.000107641
7.51			-0.000107063
7.52			-0.000106488
7.53			-0.000105917
7.54			-0.000105351
7.55			-0.000104788
7.56			-0.000104228
7.57			-0.000103673
7.58			-0.000103121
7.59			-0.000102573
7.6			-0.000102029
7.61			-0.000101488
7.62			-0.00010095
7.63			-0.000100417
7.64			-9.98865e-005
7.65			-9.93599e-005
7.66			-9.88366e-005
7.67			-9.83169e-005
7.68			-9.78005e-005
7.69			-9.72876e-005
7.7			-9.6778e-005
7.71			-9.62717e-005
7.72			-9.57688e-005
7.73			-9.52692e-005
7.74			-9.47728e-005
7.75			-9.42796e-005
7.76			-9.37897e-005
7.77			-9.33029e-005
7.78			-9.28193e-005
7.79			-9.23389e-005
7.8			-9.18615e-005
7.81			-9.13873e-005
7.82			-9.09161e-005
7.83			-9.04479e-005
7.84			-8.99827e-005
7.85			-8.95206e-005
7.86			-8.90614e-005
7.87			-8.86052e-005
7.88			-8.81518e-005
7.89			-8.77014e-005
7.9			-8.72539e-005
7.91			-8.68092e-005
7.92			-8.63674e-005
7.93			-8.59283e-005
7.94			-8.54921e-005
7.95			-8.50586e-005
7.96			-8.46279e-005
7.97			-8.41999e-005
7.98			-8.37746e-005
7.99			-8.3352e-005
8			-8.29321e-005
8.01			-8.25148e-005
8.02			-8.21001e-005
8.03			-8.16881e-005
8.04			-8.12786e-005
8.05			-8.08717e-005
8.06			-8.04674e-005
8.07			-8.00656e-005
8.08			-7.96662e-005
8.09			-7.92694e-005
8.1			-7.88751e-005
8.11			-7.84832e-005
8.12			-7.80937e-005
8.13			-7.77067e-005
8.14			-7.7322e-005
8.15			-7.69398e-005
8.16			-7.65599e-005
8.17			-7.61823e-005
8.18			-7.58071e-005
8.19			-7.54342e-005
8.2			-7.50635e-005
8.21			-7.46952e-005
8.22			-7.43291e-005
8.23			-7.39653e-005
8.24			-7.36037e-005
8.25			-7.32443e-005
8.26			-7.28871e-005
8.27			-7.2532e-005
8.28			-7.21792e-005
8.29			-7.18285e-005
8.3			-7.14799e-005
8.31			-7.11334e-005
8.32			-7.07891e-005
8.33			-7.04468e-005
8.34			-7.01066e-005
8.35			-6.97684e-005
8.36			-6.94323e-005
8.37			-6.90982e-005
8.38			-6.87661e-005
8.39			-6.8436e-005
8.4			-6.81079e-005
8.41			-6.77818e-005
8.42			-6.74576e-005
8.43			-6.71353e-005
8.44			-6.6815e-005
8.45			-6.64966e-005
8.46			-6.61801e-005
8.47			-6.58655e-005
8.48			-6.55527e-005
8.49			-6.52418e-005
8.5			-6.49328e-005
8.51			-6.46255e-005
8.52			-6.43201e-005
8.53			-6.40165e-005
8.54			-6.37147e-005
8.55			-6.34147e-005
8.56			-6.31164e-005
8.57			-6.28199e-005
8.58			-6.25252e-005
8.59			-6.22321e-005
8.6			-6.19408e-005
8.61			-6.16512e-005
8.62			-6.13633e-005
8.63			-6.1077e-005
8.64			-6.07925e-005
8.65			-6.05096e-005
8.66			-6.02283e-005
8.67			-5.99487e-005
8.68			-5.96707e-005
8.69			-5.93943e-005
8.7			-5.91195e-005
8.71			-5.88463e-005
8.72			-5.85746e-005
8.73			-5.83046e-005
8.74			-5.80361e-005
8.75			-5.77691e-005
8.76			-5.75037e-005
8.77			-5.72398e-005
8.78			-5.69775e-005
8.79			-5.67166e-005
8.8			-5.64572e-005
8.81			-5.61993e-005
8.82			-5.59429e-005
8.83			-5.56879e-005
8.84			-5.54344e-005
8.85			-5.51824e-005
8.86			-5.49317e-005
8.87			-5.46825e-005
8.88			-5.44347e-005
8.89			-5.41883e-005
8.9			-5.39433e-005
8.91			-5.36997e-005
8.92			-5.34575e-005
8.93			-5.32166e-005
8.94			-5.29771e-005
8.95			-5.2739e-005
8.96			-5.25021e-005
8.97			-5.22666e-005
8.98			-5.20325e-005
8.99			-5.17996e-005
9			-5.1568e-005
