Mass-Number			Cosine-of-Scattering-Angle
13.46			-1.02231e-005
13.47			-1.01927e-005
13.48			-1.01624e-005
13.49			-1.01322e-005
13.5			-1.01021e-005
13.51			-1.00721e-005
13.52			-1.00422e-005
13.53			-1.00125e-005
13.54			-9.98284e-006
13.55			-9.95331e-006
13.56			-9.92389e-006
13.57			-9.89457e-006
13.58			-9.86536e-006
13.59			-9.83626e-006
13.6			-9.80727e-006
13.61			-9.77839e-006
13.62			-9.74961e-006
13.63			-9.72093e-006
13.64			-9.69236e-006
13.65			-9.6639e-006
13.66			-9.63554e-006
13.67			-9.60729e-006
13.68			-9.57914e-006
13.69			-9.55109e-006
13.7			-9.52314e-006
13.71			-9.4953e-006
13.72			-9.46756e-006
13.73			-9.43992e-006
13.74			-9.41238e-006
13.75			-9.38494e-006
13.76			-9.3576e-006
13.77			-9.33036e-006
13.78			-9.30322e-006
13.79			-9.27618e-006
13.8			-9.24924e-006
13.81			-9.22239e-006
13.82			-9.19564e-006
13.83			-9.16899e-006
13.84			-9.14244e-006
13.85			-9.11598e-006
13.86			-9.08962e-006
13.87			-9.06335e-006
13.88			-9.03718e-006
13.89			-9.0111e-006
13.9			-8.98512e-006
13.91			-8.95923e-006
13.92			-8.93343e-006
13.93			-8.90772e-006
13.94			-8.88211e-006
13.95			-8.85659e-006
13.96			-8.83116e-006
13.97			-8.80583e-006
13.98			-8.78058e-006
13.99			-8.75543e-006
14			-8.73036e-006
14.01			-8.70538e-006
14.02			-8.6805e-006
14.03			-8.6557e-006
14.04			-8.63099e-006
14.05			-8.60637e-006
14.06			-8.58184e-006
14.07			-8.55739e-006
14.08			-8.53303e-006
14.09			-8.50876e-006
14.1			-8.48458e-006
14.11			-8.46048e-006
14.12			-8.43646e-006
14.13			-8.41253e-006
14.14			-8.38869e-006
14.15			-8.36493e-006
14.16			-8.34125e-006
14.17			-8.31766e-006
14.18			-8.29415e-006
14.19			-8.27073e-006
14.2			-8.24738e-006
14.21			-8.22412e-006
14.22			-8.20094e-006
14.23			-8.17785e-006
14.24			-8.15483e-006
14.25			-8.1319e-006
14.26			-8.10904e-006
14.27			-8.08627e-006
14.28			-8.06358e-006
14.29			-8.04096e-006
14.3			-8.01843e-006
14.31			-7.99597e-006
14.32			-7.97359e-006
14.33			-7.9513e-006
14.34			-7.92907e-006
14.35			-7.90693e-006
14.36			-7.88487e-006
14.37			-7.86288e-006
14.38			-7.84096e-006
14.39			-7.81913e-006
14.4			-7.79737e-006
14.41			-7.77568e-006
14.42			-7.75407e-006
14.43			-7.73254e-006
14.44			-7.71108e-006
14.45			-7.6897e-006
14.46			-7.66838e-006
14.47			-7.64715e-006
14.48			-7.62598e-006
14.49			-7.60489e-006
14.5			-7.58388e-006
14.51			-7.56293e-006
14.52			-7.54206e-006
14.53			-7.52126e-006
14.54			-7.50053e-006
14.55			-7.47987e-006
14.56			-7.45929e-006
14.57			-7.43877e-006
14.58			-7.41833e-006
14.59			-7.39795e-006
14.6			-7.37765e-006
14.61			-7.35741e-006
14.62			-7.33725e-006
14.63			-7.31715e-006
14.64			-7.29712e-006
14.65			-7.27716e-006
14.66			-7.25727e-006
14.67			-7.23745e-006
14.68			-7.21769e-006
14.69			-7.198e-006
14.7			-7.17838e-006
14.71			-7.15883e-006
14.72			-7.13934e-006
14.73			-7.11992e-006
14.74			-7.10056e-006
14.75			-7.08128e-006
14.76			-7.06205e-006
14.77			-7.04289e-006
14.78			-7.0238e-006
14.79			-7.00477e-006
14.8			-6.98581e-006
14.81			-6.9669e-006
14.82			-6.94807e-006
14.83			-6.9293e-006
14.84			-6.91059e-006
14.85			-6.89194e-006
14.86			-6.87336e-006
14.87			-6.85484e-006
14.88			-6.83638e-006
14.89			-6.81798e-006
14.9			-6.79965e-006
14.91			-6.78137e-006
14.92			-6.76316e-006
14.93			-6.74501e-006
14.94			-6.72692e-006
14.95			-6.70889e-006
14.96			-6.69092e-006
14.97			-6.67302e-006
14.98			-6.65517e-006
14.99			-6.63738e-006
15			-6.61965e-006
15.01			-6.60198e-006
15.02			-6.58437e-006
15.03			-6.56682e-006
15.04			-6.54932e-006
15.05			-6.53189e-006
15.06			-6.51451e-006
15.07			-6.49719e-006
15.08			-6.47993e-006
15.09			-6.46272e-006
15.1			-6.44557e-006
15.11			-6.42848e-006
15.12			-6.41145e-006
15.13			-6.39447e-006
15.14			-6.37755e-006
15.15			-6.36068e-006
15.16			-6.34387e-006
15.17			-6.32712e-006
15.18			-6.31042e-006
15.19			-6.29377e-006
15.2			-6.27718e-006
15.21			-6.26065e-006
15.22			-6.24417e-006
15.23			-6.22774e-006
15.24			-6.21137e-006
15.25			-6.19505e-006
15.26			-6.17879e-006
15.27			-6.16258e-006
15.28			-6.14642e-006
15.29			-6.13031e-006
15.3			-6.11426e-006
15.31			-6.09826e-006
15.32			-6.08231e-006
15.33			-6.06642e-006
15.34			-6.05058e-006
15.35			-6.03478e-006
15.36			-6.01904e-006
15.37			-6.00335e-006
15.38			-5.98772e-006
15.39			-5.97213e-006
15.4			-5.95659e-006
15.41			-5.94111e-006
15.42			-5.92567e-006
15.43			-5.91029e-006
15.44			-5.89495e-006
15.45			-5.87967e-006
15.46			-5.86443e-006
15.47			-5.84924e-006
15.48			-5.8341e-006
15.49			-5.81902e-006
15.5			-5.80398e-006
15.51			-5.78899e-006
15.52			-5.77404e-006
15.53			-5.75915e-006
15.54			-5.7443e-006
15.55			-5.7295e-006
15.56			-5.71475e-006
15.57			-5.70005e-006
15.58			-5.68539e-006
15.59			-5.67078e-006
15.6			-5.65622e-006
15.61			-5.6417e-006
15.62			-5.62723e-006
15.63			-5.61281e-006
15.64			-5.59843e-006
15.65			-5.5841e-006
15.66			-5.56982e-006
15.67			-5.55558e-006
15.68			-5.54139e-006
15.69			-5.52724e-006
15.7			-5.51314e-006
15.71			-5.49908e-006
15.72			-5.48506e-006
15.73			-5.4711e-006
15.74			-5.45717e-006
15.75			-5.44329e-006
15.76			-5.42946e-006
15.77			-5.41566e-006
15.78			-5.40192e-006
15.79			-5.38821e-006
15.8			-5.37455e-006
15.81			-5.36093e-006
15.82			-5.34736e-006
15.83			-5.33383e-006
15.84			-5.32034e-006
15.85			-5.30689e-006
15.86			-5.29349e-006
15.87			-5.28013e-006
15.88			-5.26681e-006
15.89			-5.25353e-006
15.9			-5.2403e-006
15.91			-5.2271e-006
15.92			-5.21395e-006
15.93			-5.20084e-006
15.94			-5.18777e-006
15.95			-5.17474e-006
15.96			-5.16175e-006
15.97			-5.14881e-006
15.98			-5.1359e-006
15.99			-5.12303e-006
16			-5.11021e-006
16.01			-5.09742e-006
16.02			-5.08468e-006
16.03			-5.07197e-006
16.04			-5.0593e-006
16.05			-5.04668e-006
16.06			-5.03409e-006
16.07			-5.02154e-006
16.08			-5.00903e-006
16.09			-4.99656e-006
16.1			-4.98413e-006
16.11			-4.97174e-006
16.12			-4.95939e-006
16.13			-4.94707e-006
16.14			-4.93479e-006
16.15			-4.92255e-006
16.16			-4.91035e-006
16.17			-4.89819e-006
16.18			-4.88606e-006
16.19			-4.87398e-006
16.2			-4.86193e-006
16.21			-4.84991e-006
16.22			-4.83793e-006
16.23			-4.826e-006
16.24			-4.81409e-006
16.25			-4.80223e-006
16.26			-4.7904e-006
16.27			-4.7786e-006
16.28			-4.76685e-006
16.29			-4.75513e-006
16.3			-4.74344e-006
16.31			-4.73179e-006
16.32			-4.72018e-006
16.33			-4.7086e-006
16.34			-4.69706e-006
16.35			-4.68555e-006
16.36			-4.67408e-006
16.37			-4.66265e-006
16.38			-4.65124e-006
16.39			-4.63988e-006
16.4			-4.62855e-006
16.41			-4.61725e-006
16.42			-4.60599e-006
16.43			-4.59476e-006
16.44			-4.58356e-006
16.45			-4.5724e-006
16.46			-4.56128e-006
16.47			-4.55019e-006
16.48			-4.53913e-006
16.49			-4.5281e-006
16.5			-4.51711e-006
16.51			-4.50615e-006
16.52			-4.49523e-006
16.53			-4.48434e-006
16.54			-4.47348e-006
16.55			-4.46265e-006
16.56			-4.45186e-006
16.57			-4.4411e-006
16.58			-4.43037e-006
16.59			-4.41967e-006
16.6			-4.40901e-006
16.61			-4.39838e-006
16.62			-4.38778e-006
16.63			-4.37721e-006
16.64			-4.36668e-006
16.65			-4.35617e-006
16.66			-4.3457e-006
16.67			-4.33526e-006
16.68			-4.32485e-006
16.69			-4.31447e-006
16.7			-4.30413e-006
16.71			-4.29381e-006
16.72			-4.28352e-006
16.73			-4.27327e-006
16.74			-4.26305e-006
16.75			-4.25285e-006
16.76			-4.24269e-006
16.77			-4.23256e-006
16.78			-4.22246e-006
16.79			-4.21238e-006
16.8			-4.20234e-006
16.81			-4.19233e-006
16.82			-4.18235e-006
16.83			-4.1724e-006
16.84			-4.16247e-006
16.85			-4.15258e-006
16.86			-4.14272e-006
16.87			-4.13288e-006
16.88			-4.12307e-006
16.89			-4.1133e-006
16.9			-4.10355e-006
16.91			-4.09383e-006
16.92			-4.08414e-006
16.93			-4.07448e-006
16.94			-4.06485e-006
16.95			-4.05524e-006
16.96			-4.04567e-006
16.97			-4.03612e-006
16.98			-4.0266e-006
16.99			-4.01711e-006
17			-4.00765e-006
17.01			-3.99821e-006
17.02			-3.9888e-006
17.03			-3.97942e-006
17.04			-3.97007e-006
17.05			-3.96075e-006
17.06			-3.95145e-006
17.07			-3.94218e-006
17.08			-3.93294e-006
17.09			-3.92372e-006
17.1			-3.91453e-006
17.11			-3.90537e-006
17.12			-3.89623e-006
17.13			-3.88712e-006
17.14			-3.87804e-006
17.15			-3.86899e-006
17.16			-3.85996e-006
17.17			-3.85095e-006
17.18			-3.84198e-006
17.19			-3.83303e-006
17.2			-3.8241e-006
17.21			-3.8152e-006
17.22			-3.80633e-006
17.23			-3.79749e-006
17.24			-3.78866e-006
17.25			-3.77987e-006
17.26			-3.7711e-006
17.27			-3.76235e-006
17.28			-3.75364e-006
17.29			-3.74494e-006
17.3			-3.73627e-006
17.31			-3.72763e-006
17.32			-3.71901e-006
17.33			-3.71042e-006
17.34			-3.70185e-006
17.35			-3.6933e-006
17.36			-3.68478e-006
17.37			-3.67629e-006
17.38			-3.66782e-006
17.39			-3.65937e-006
17.4			-3.65095e-006
17.41			-3.64255e-006
17.42			-3.63418e-006
17.43			-3.62583e-006
17.44			-3.6175e-006
17.45			-3.6092e-006
17.46			-3.60093e-006
17.47			-3.59267e-006
17.48			-3.58444e-006
17.49			-3.57623e-006
17.5			-3.56805e-006
17.51			-3.55989e-006
17.52			-3.55175e-006
17.53			-3.54364e-006
17.54			-3.53555e-006
17.55			-3.52748e-006
17.56			-3.51944e-006
17.57			-3.51142e-006
17.58			-3.50342e-006
17.59			-3.49545e-006
17.6			-3.48749e-006
17.61			-3.47956e-006
17.62			-3.47165e-006
17.63			-3.46377e-006
17.64			-3.45591e-006
17.65			-3.44807e-006
17.66			-3.44025e-006
17.67			-3.43245e-006
17.68			-3.42468e-006
17.69			-3.41693e-006
17.7			-3.4092e-006
17.71			-3.40149e-006
17.72			-3.3938e-006
17.73			-3.38614e-006
17.74			-3.37849e-006
17.75			-3.37087e-006
17.76			-3.36327e-006
17.77			-3.35569e-006
17.78			-3.34813e-006
17.79			-3.3406e-006
17.8			-3.33308e-006
17.81			-3.32559e-006
17.82			-3.31812e-006
17.83			-3.31067e-006
17.84			-3.30323e-006
17.85			-3.29582e-006
17.86			-3.28844e-006
17.87			-3.28107e-006
17.88			-3.27372e-006
17.89			-3.26639e-006
17.9			-3.25909e-006
17.91			-3.2518e-006
17.92			-3.24453e-006
17.93			-3.23729e-006
17.94			-3.23006e-006
17.95			-3.22286e-006
17.96			-3.21567e-006
17.97			-3.20851e-006
17.98			-3.20136e-006
17.99			-3.19424e-006
18			-3.18713e-006
18.01			-3.18004e-006
18.02			-3.17298e-006
18.03			-3.16593e-006
18.04			-3.1589e-006
18.05			-3.1519e-006
18.06			-3.14491e-006
18.07			-3.13794e-006
18.08			-3.13099e-006
18.09			-3.12406e-006
18.1			-3.11715e-006
18.11			-3.11026e-006
18.12			-3.10339e-006
18.13			-3.09653e-006
18.14			-3.0897e-006
18.15			-3.08288e-006
18.16			-3.07608e-006
18.17			-3.0693e-006
18.18			-3.06255e-006
18.19			-3.0558e-006
18.2			-3.04908e-006
18.21			-3.04238e-006
18.22			-3.03569e-006
18.23			-3.02902e-006
18.24			-3.02237e-006
18.25			-3.01574e-006
18.26			-3.00913e-006
18.27			-3.00254e-006
18.28			-2.99596e-006
18.29			-2.9894e-006
18.3			-2.98286e-006
18.31			-2.97634e-006
18.32			-2.96983e-006
18.33			-2.96335e-006
18.34			-2.95688e-006
18.35			-2.95042e-006
18.36			-2.94399e-006
18.37			-2.93757e-006
18.38			-2.93117e-006
18.39			-2.92479e-006
18.4			-2.91843e-006
18.41			-2.91208e-006
18.42			-2.90575e-006
18.43			-2.89944e-006
18.44			-2.89314e-006
18.45			-2.88687e-006
18.46			-2.8806e-006
18.47			-2.87436e-006
18.48			-2.86813e-006
18.49			-2.86192e-006
18.5			-2.85573e-006
18.51			-2.84955e-006
18.52			-2.84339e-006
18.53			-2.83725e-006
18.54			-2.83112e-006
18.55			-2.82501e-006
18.56			-2.81892e-006
18.57			-2.81284e-006
18.58			-2.80678e-006
18.59			-2.80073e-006
18.6			-2.7947e-006
18.61			-2.78869e-006
18.62			-2.78269e-006
18.63			-2.77671e-006
18.64			-2.77075e-006
18.65			-2.7648e-006
18.66			-2.75887e-006
18.67			-2.75295e-006
18.68			-2.74705e-006
18.69			-2.74117e-006
18.7			-2.7353e-006
18.71			-2.72945e-006
18.72			-2.72361e-006
18.73			-2.71779e-006
18.74			-2.71198e-006
18.75			-2.70619e-006
18.76			-2.70041e-006
18.77			-2.69465e-006
18.78			-2.68891e-006
18.79			-2.68318e-006
18.8			-2.67747e-006
18.81			-2.67177e-006
18.82			-2.66608e-006
18.83			-2.66042e-006
18.84			-2.65476e-006
18.85			-2.64912e-006
18.86			-2.6435e-006
18.87			-2.63789e-006
18.88			-2.6323e-006
18.89			-2.62672e-006
18.9			-2.62115e-006
18.91			-2.61561e-006
18.92			-2.61007e-006
18.93			-2.60455e-006
18.94			-2.59904e-006
18.95			-2.59355e-006
18.96			-2.58808e-006
18.97			-2.58262e-006
18.98			-2.57717e-006
18.99			-2.57173e-006
19			-2.56632e-006
19.01			-2.56091e-006
19.02			-2.55552e-006
19.03			-2.55014e-006
19.04			-2.54478e-006
19.05			-2.53943e-006
19.06			-2.5341e-006
19.07			-2.52878e-006
19.08			-2.52347e-006
19.09			-2.51818e-006
19.1			-2.5129e-006
19.11			-2.50764e-006
19.12			-2.50239e-006
19.13			-2.49715e-006
19.14			-2.49193e-006
19.15			-2.48672e-006
19.16			-2.48152e-006
19.17			-2.47634e-006
19.18			-2.47117e-006
19.19			-2.46602e-006
19.2			-2.46088e-006
19.21			-2.45575e-006
19.22			-2.45063e-006
19.23			-2.44553e-006
19.24			-2.44044e-006
19.25			-2.43537e-006
19.26			-2.4303e-006
19.27			-2.42525e-006
19.28			-2.42022e-006
19.29			-2.4152e-006
19.3			-2.41019e-006
19.31			-2.40519e-006
19.32			-2.40021e-006
19.33			-2.39523e-006
19.34			-2.39028e-006
19.35			-2.38533e-006
19.36			-2.3804e-006
19.37			-2.37548e-006
19.38			-2.37057e-006
19.39			-2.36568e-006
19.4			-2.3608e-006
19.41			-2.35593e-006
19.42			-2.35107e-006
19.43			-2.34623e-006
19.44			-2.34139e-006
19.45			-2.33658e-006
19.46			-2.33177e-006
19.47			-2.32697e-006
19.48			-2.32219e-006
19.49			-2.31742e-006
19.5			-2.31267e-006
19.51			-2.30792e-006
19.52			-2.30319e-006
19.53			-2.29847e-006
19.54			-2.29376e-006
19.55			-2.28906e-006
19.56			-2.28437e-006
19.57			-2.2797e-006
19.58			-2.27504e-006
19.59			-2.27039e-006
19.6			-2.26575e-006
19.61			-2.26113e-006
19.62			-2.25652e-006
19.63			-2.25191e-006
19.64			-2.24732e-006
19.65			-2.24275e-006
19.66			-2.23818e-006
19.67			-2.23362e-006
19.68			-2.22908e-006
19.69			-2.22455e-006
19.7			-2.22003e-006
19.71			-2.21552e-006
19.72			-2.21102e-006
19.73			-2.20654e-006
19.74			-2.20206e-006
19.75			-2.1976e-006
19.76			-2.19315e-006
19.77			-2.18871e-006
19.78			-2.18428e-006
19.79			-2.17986e-006
19.8			-2.17545e-006
19.81			-2.17105e-006
19.82			-2.16667e-006
19.83			-2.1623e-006
19.84			-2.15793e-006
19.85			-2.15358e-006
19.86			-2.14924e-006
19.87			-2.14491e-006
19.88			-2.14059e-006
19.89			-2.13628e-006
19.9			-2.13199e-006
19.91			-2.1277e-006
19.92			-2.12342e-006
19.93			-2.11916e-006
19.94			-2.1149e-006
19.95			-2.11066e-006
19.96			-2.10643e-006
19.97			-2.1022e-006
19.98			-2.09799e-006
19.99			-2.09379e-006
