x		n=2			n=3			n=4			n=5			n=6			n=7			n=8			
-0.321593		-0.0324086			-0.580357			-0.100445			-0.500169			-0.188058			-0.410158			-0.275492			
-0.311593		-0.0295253			-0.565837			-0.0919198			-0.491887			-0.173319			-0.407447			-0.256379			
-0.301593		-0.0268142			-0.551006			-0.0838418			-0.483053			-0.159175			-0.404183			-0.23768			
-0.291593		-0.0242705			-0.535871			-0.076207			-0.473663			-0.145642			-0.40033			-0.219456			
-0.281593		-0.0218896			-0.520439			-0.0690099			-0.463719			-0.132733			-0.395854			-0.201767			
-0.271593		-0.0196667			-0.504716			-0.0622442			-0.453219			-0.120461			-0.390726			-0.184667			
-0.261593		-0.0175968			-0.488709			-0.0559031			-0.442166			-0.108833			-0.384919			-0.168206			
-0.251593		-0.0156751			-0.472426			-0.0499784			-0.430565			-0.0978562			-0.37841			-0.152429			
-0.241593		-0.0138965			-0.455876			-0.0444617			-0.41842			-0.0875332			-0.371181			-0.137378			
-0.231593		-0.0122558			-0.439066			-0.0393433			-0.405738			-0.0778648			-0.363217			-0.123088			
-0.221593		-0.010748			-0.422004			-0.0346131			-0.39253			-0.0688488			-0.354508			-0.109588			
-0.211593		-0.00936775			-0.4047			-0.0302602			-0.378803			-0.0604803			-0.345047			-0.0969038			
-0.201593		-0.00810975			-0.387163			-0.0262727			-0.364571			-0.0527517			-0.334833			-0.0850526			
-0.191593		-0.00696863			-0.369401			-0.0226384			-0.349847			-0.0456529			-0.323866			-0.0740473			
-0.181593		-0.00593898			-0.351424			-0.0193441			-0.334645			-0.0391711			-0.312154			-0.0638942			
-0.171593		-0.0050153			-0.333243			-0.0163761			-0.318981			-0.0332909			-0.299706			-0.0545937			
-0.161593		-0.00419206			-0.314867			-0.0137201			-0.302873			-0.0279945			-0.286538			-0.04614			
-0.151593		-0.00346368			-0.296306			-0.0113611			-0.286339			-0.0232616			-0.272666			-0.0385212			
-0.141593		-0.00282452			-0.27757			-0.00928372			-0.269399			-0.0190698			-0.258114			-0.0317196			
-0.131593		-0.00226889			-0.258671			-0.00747177			-0.252074			-0.0153942			-0.242908			-0.0257116			
-0.121593		-0.00179108			-0.239619			-0.00590877			-0.234388			-0.012208			-0.227076			-0.0204679			
-0.111593		-0.00138533			-0.220425			-0.00457767			-0.216361			-0.00948218			-0.210652			-0.0159538			
-0.101593		-0.00104584			-0.2011			-0.00346103			-0.198021			-0.00718603			-0.193673			-0.0121294			
-0.0915927		-0.00076678			-0.181656			-0.00254096			-0.17939			-0.00528697			-0.176177			-0.00894989			
-0.0815927		-0.000542288			-0.162103			-0.00179922			-0.160495			-0.00375078			-0.158208			-0.00636595			
-0.0715927		-0.000366479			-0.142453			-0.00121722			-0.141364			-0.00254178			-0.139808			-0.00432394			
-0.0615927		-0.00023344			-0.122719			-0.000776068			-0.122023			-0.00162295			-0.121027			-0.00276641			
-0.0515927		-0.000137238			-0.102911			-0.000456609			-0.102501			-0.000956074			-0.101913			-0.00163245			
-0.0415927		-7.1922e-005			-0.0830415			-0.00023945			-0.0828264			-0.000501889			-0.0825169			-0.000858151			
-0.0315927		-3.15246e-005			-0.0631223			-0.000105009			-0.0630279			-0.000220276			-0.0628918			-0.000377051			
-0.0215927		-1.00662e-005			-0.0431652			-3.35432e-005			-0.043135			-7.04046e-005			-0.0430915			-0.000120609			
-0.0115927		-1.55788e-006			-0.0231822			-5.19244e-006			-0.0231775			-1.09025e-005			-0.0231708			-1.86863e-005			
-0.00159265		-4.03984e-009			-0.0031853			-1.34661e-008			-0.00318529			-2.82787e-008			-0.00318527			-4.84776e-008			
0.00840735		5.9425e-007			0.0168135			1.98074e-006			0.0168117			4.15922e-006			0.0168091			7.12934e-006			
0.0184073		6.23644e-006			0.0368022			2.07832e-005			0.0367835			4.36285e-005			0.0367565			7.47536e-005			
0.0284073		2.29195e-005			0.0567689			7.63551e-005			0.0567002			0.000160203			0.0566012			0.000274302			
0.0384073		5.66347e-005			0.0767015			0.000188588			0.076532			0.000395392			0.076288			0.000676316			
0.0484073		0.000113365			0.0965881			0.000377264			0.0962495			0.000790215			0.0957628			0.0013499			
0.0584073		0.000199082			0.116417			0.000662024			0.115823			0.00138504			0.114972			0.00236223			
0.0684073		0.000319742			0.136176			0.00106232			0.135225			0.00221942			0.133865			0.00377808			
0.0784073		0.000481285			0.155854			0.00159739			0.154426			0.0033319			0.152391			0.00565936			
0.0884073		0.00068963			0.175439			0.00228622			0.173399			0.00475993			0.170503			0.00806466			
0.0984073		0.000950672			0.194919			0.00314749			0.192116			0.00653963			0.188154			0.0110489			
0.108407		0.00127028			0.214283			0.00419956			0.210552			0.00870567			0.205302			0.0146628			
0.118407		0.0016543			0.23352			0.00546043			0.228681			0.0112912			0.221907			0.0189526			
0.128407		0.00210852			0.252618			0.00694769			0.246479			0.0143275			0.237931			0.0239599			
0.138407		0.00263874			0.271567			0.00867852			0.263921			0.0178442			0.25334			0.0297211			
0.148407		0.00325068			0.290356			0.0106696			0.280986			0.0218688			0.268104			0.036267			
0.158407		0.00395002			0.308974			0.0129372			0.297651			0.0264268			0.282195			0.0436233			
0.168407		0.00474244			0.32741			0.0154969			0.313897			0.0315414			0.295589			0.0518095			
0.178407		0.00563352			0.345655			0.0183639			0.329705			0.0372336			0.308268			0.0608393			
0.188407		0.00662882			0.363698			0.0215528			0.345056			0.043522			0.320216			0.0707206			
0.198407		0.00773384			0.381529			0.0250774			0.359934			0.0504228			0.331421			0.0814548			
0.208407		0.00895402			0.399139			0.028951			0.374324			0.0579495			0.341875			0.0930376			
0.218407		0.0102948			0.416518			0.0331862			0.388213			0.0661132			0.351576			0.105458			
0.228407		0.0117614			0.433658			0.037795			0.401588			0.0749223			0.360524			0.118701			
0.238407		0.0133592			0.450549			0.0427885			0.414438			0.0843826			0.368724			0.132742			
0.248407		0.0150933			0.467183			0.0481773			0.426755			0.0944969			0.376186			0.147555			
0.258407		0.0169689			0.483552			0.0539711			0.43853			0.105266			0.382922			0.163104			
0.268407		0.018991			0.499647			0.0601787			0.449758			0.116687			0.388951			0.179352			
0.278407		0.0211646			0.515462			0.0668083			0.460434			0.128755			0.394293			0.196254			
0.288407		0.0234947			0.530988			0.0738673			0.470556			0.141462			0.398973			0.213761			
0.298407		0.025986			0.546218			0.0813621			0.480122			0.154797			0.403021			0.23182			
0.308407		0.0286433			0.561146			0.0892983			0.489133			0.168749			0.406469			0.250375			
0.318407		0.0314712			0.575766			0.0976809			0.497591			0.1833			0.409352			0.269363			
0.328407		0.0344744			0.590071			0.106514			0.505499			0.198433			0.41171			0.288722			
0.338407		0.0376573			0.604056			0.1158			0.512864			0.214127			0.413585			0.308383			
0.348407		0.0410244			0.617715			0.125542			0.519691			0.23036			0.41502			0.328279			
0.358407		0.0445799			0.631044			0.13574			0.52599			0.247105			0.416065			0.348338			
0.368407		0.048328			0.644037			0.146396			0.531771			0.264336			0.416767			0.368488			
0.378407		0.0522728			0.656691			0.157508			0.537046			0.282023			0.417178			0.388657			
0.388407		0.0564184			0.669002			0.169076			0.541827			0.300134			0.417352			0.40877			
0.398407		0.0607686			0.680967			0.181097			0.54613			0.318637			0.417343			0.428756			
0.408407		0.0653273			0.692581			0.193568			0.54997			0.337496			0.417207			0.448541			
0.418407		0.0700981			0.703844			0.206485			0.553366			0.356675			0.417001			0.468056			
0.428407		0.0750847			0.714751			0.219843			0.556335			0.376136			0.416781			0.48723			
0.438407		0.0802905			0.725303			0.233636			0.558899			0.395839			0.416604			0.505997			
0.448407		0.0857188			0.735496			0.247858			0.561079			0.415746			0.416529			0.524294			
0.458407		0.091373			0.745331			0.262502			0.562897			0.435813			0.416611			0.542058			
0.468407		0.0972562			0.754805			0.277558			0.564376			0.456			0.416906			0.559234			
0.478407		0.103371			0.763921			0.293017			0.565543			0.476264			0.41747			0.575767			
0.488407		0.109721			0.772676			0.308871			0.566422			0.496561			0.418355			0.59161			
0.498407		0.116309			0.781073			0.325108			0.567041			0.516849			0.419615			0.606718			
0.508407		0.123137			0.789111			0.341716			0.567426			0.537085			0.421298			0.621053			
0.518407		0.130207			0.796793			0.358683			0.567606			0.557225			0.423452			0.634582			
0.528407		0.137523			0.804121			0.375996			0.567611			0.577226			0.426123			0.647277			
0.538407		0.145087			0.811095			0.393642			0.567468			0.597047			0.429353			0.659116			
0.548407		0.1529			0.817721			0.411606			0.56721			0.616644			0.433182			0.670084			
0.558407		0.160964			0.823999			0.429873			0.566865			0.635978			0.437645			0.680171			
0.568407		0.169282			0.829935			0.448428			0.566466			0.655007			0.442776			0.689375			
0.578407		0.177856			0.835531			0.467253			0.566042			0.673695			0.448604			0.697698			
0.588407		0.186686			0.840792			0.486333			0.565626			0.692002			0.455154			0.70515			
0.598407		0.195774			0.845722			0.505649			0.565249			0.709892			0.462448			0.711747			
0.608407		0.205123			0.850328			0.525184			0.564941			0.727332			0.470503			0.717511			
0.618407		0.214732			0.854614			0.54492			0.564734			0.744289			0.479333			0.722469			
0.628407		0.224603			0.858586			0.564837			0.564659			0.760731			0.488946			0.726655			
0.638407		0.234737			0.86225			0.584916			0.564747			0.776631			0.499347			0.730109			
0.648407		0.245134			0.865613			0.605138			0.565028			0.79196			0.510538			0.732876			
0.658407		0.255796			0.868682			0.625482			0.565532			0.806696			0.522512			0.735005			
0.668407		0.266723			0.871464			0.645929			0.566287			0.820817			0.535263			0.73655			
0.678407		0.277914			0.873967			0.666458			0.567324			0.834302			0.548777			0.737572			
0.688407		0.289372			0.876199			0.687047			0.56867			0.847135			0.563038			0.738132			
0.698407		0.301094			0.878169			0.707677			0.570351			0.859301			0.578024			0.738298			
0.708407		0.313082			0.879884			0.728325			0.572394			0.87079			0.593709			0.738138			
0.718407		0.325335			0.881354			0.74897			0.574824			0.881592			0.610065			0.737725			
0.728407		0.337853			0.882589			0.769592			0.577666			0.891701			0.627059			0.737132			
0.738407		0.350635			0.883598			0.790169			0.580943			0.901115			0.644653			0.736436			
0.748407		0.363681			0.884391			0.810679			0.584675			0.909832			0.662807			0.735713			
0.758407		0.376989			0.884978			0.831101			0.588885			0.917857			0.681478			0.735041			
0.768407		0.390559			0.88537			0.851414			0.593591			0.925194			0.700619			0.734496			
0.778407		0.40439			0.885577			0.871597			0.598812			0.931852			0.720181			0.734155			
0.788407		0.418481			0.885611			0.891629			0.604563			0.937842			0.740111			0.734094			
0.798407		0.43283			0.885482			0.911489			0.610859			0.943178			0.760357			0.734385			
0.808407		0.447435			0.885203			0.931156			0.617715			0.947877			0.780861			0.735102			
0.818407		0.462295			0.884784			0.950611			0.625142			0.951959			0.801565			0.736311			
0.828407		0.477408			0.884239			0.969834			0.633149			0.955445			0.822411			0.73808			
0.838407		0.492773			0.883578			0.988804			0.641747			0.958362			0.843339			0.74047			
0.848407		0.508386			0.882815			1.0075			0.65094			0.960735			0.864287			0.743537			
0.858407		0.524247			0.881962			1.02591			0.660736			0.962595			0.885193			0.747337			
0.868407		0.540351			0.881031			1.04402			0.671136			0.963974			0.905998			0.751915			
0.878407		0.556698			0.880036			1.06179			0.682143			0.964905			0.926639			0.757316			
0.888407		0.573283			0.878988			1.07923			0.693756			0.965425			0.947056			0.763576			
0.898407		0.590105			0.877902			1.0963			0.705973			0.965571			0.96719			0.770727			
0.908407		0.607161			0.87679			1.113			0.718791			0.965384			0.986982			0.778792			
0.918407		0.624446			0.875666			1.12931			0.732204			0.964904			1.00638			0.787791			
0.928407		0.641959			0.874542			1.14522			0.746204			0.964175			1.02532			0.797735			
0.938407		0.659695			0.873433			1.1607			0.760784			0.963239			1.04375			0.80863			
0.948407		0.677651			0.872352			1.17575			0.775931			0.962143			1.06163			0.820473			
0.958407		0.695824			0.871312			1.19036			0.791633			0.960932			1.07891			0.833257			
0.968407		0.714209			0.870326			1.20452			0.807876			0.959652			1.09554			0.846965			
0.978407		0.732803			0.869409			1.21821			0.824644			0.958351			1.11149			0.861577			
0.988407		0.751601			0.868573			1.23142			0.84192			0.957077			1.12671			0.877064			
0.998407		0.7706			0.867833			1.24414			0.859683			0.955876			1.14117			0.89339			
1.00841		0.789796			0.867201			1.25638			0.877914			0.954796			1.15485			0.910516			
1.01841		0.809182			0.866691			1.26811			0.896591			0.953886			1.16772			0.928392			
1.02841		0.828756			0.866317			1.27933			0.915689			0.95319			1.17975			0.946968			
1.03841		0.848512			0.866091			1.29005			0.935185			0.952757			1.19094			0.966185			
1.04841		0.868446			0.866027			1.30024			0.95505			0.95263			1.20127			0.985981			
1.05841		0.888553			0.866137			1.30992			0.975259			0.952856			1.21073			1.00629			
1.06841		0.908827			0.866436			1.31908			0.995781			0.953476			1.21932			1.02703			
1.07841		0.929263			0.866934			1.32771			1.01659			0.954533			1.22705			1.04814			
1.08841		0.949856			0.867646			1.33581			1.03765			0.956067			1.23392			1.06954			
1.09841		0.970601			0.868584			1.3434			1.05893			0.958116			1.23994			1.09114			
1.10841		0.991492			0.869759			1.35046			1.0804			0.960717			1.24514			1.11287			
1.11841		1.01252			0.871184			1.357			1.10203			0.963905			1.24953			1.13463			
1.12841		1.03369			0.872871			1.36303			1.12378			0.967712			1.25314			1.15636			
1.13841		1.05498			0.874832			1.36854			1.14562			0.972168			1.256			1.17795			
1.14841		1.0764			0.877077			1.37356			1.16751			0.977301			1.25815			1.19932			
1.15841		1.09793			0.879618			1.37807			1.18941			0.983135			1.25962			1.2204			
1.16841		1.11958			0.882467			1.38209			1.2113			0.989692			1.26046			1.2411			
1.17841		1.14133			0.885633			1.38563			1.23313			0.996992			1.26072			1.26134			
1.18841		1.16317			0.889127			1.3887			1.25487			1.00505			1.26045			1.28104			
1.19841		1.18511			0.892959			1.39131			1.27649			1.01388			1.25969			1.30013			
1.20841		1.20714			0.897139			1.39347			1.29794			1.0235			1.25852			1.31855			
1.21841		1.22924			0.901676			1.39519			1.3192			1.0339			1.25698			1.33621			
1.22841		1.25141			0.906579			1.39649			1.34022			1.0451			1.25515			1.35307			
1.23841		1.27365			0.911857			1.39738			1.36097			1.05709			1.25308			1.36907			
1.24841		1.29594			0.917519			1.39787			1.38142			1.06987			1.25084			1.38416			
1.25841		1.31829			0.923571			1.39799			1.40153			1.08344			1.2485			1.3983			
1.26841		1.34068			0.930023			1.39775			1.42128			1.09778			1.24613			1.41144			
1.27841		1.3631			0.93688			1.39717			1.44062			1.11289			1.24379			1.42356			
1.28841		1.38556			0.944151			1.39626			1.45954			1.12874			1.24156			1.43464			
1.29841		1.40803			0.95184			1.39505			1.47799			1.14532			1.23951			1.44466			
1.30841		1.43053			0.959955			1.39356			1.49594			1.16261			1.2377			1.45361			
1.31841		1.45302			0.968501			1.3918			1.51338			1.18058			1.2362			1.4615			
1.32841		1.47552			0.977482			1.3898			1.53028			1.1992			1.23509			1.46832			
1.33841		1.49801			0.986904			1.38758			1.5466			1.21845			1.23442			1.4741			
1.34841		1.52049			0.996771			1.38517			1.56233			1.23828			1.23426			1.47885			
1.35841		1.54294			1.00709			1.38258			1.57745			1.25866			1.23466			1.48261			
1.36841		1.56536			1.01785			1.37984			1.59193			1.27955			1.2357			1.48541			
1.37841		1.58775			1.02907			1.37698			1.60575			1.30091			1.23742			1.4873			
1.38841		1.61008			1.04075			1.37402			1.6189			1.3227			1.23988			1.48832			
1.39841		1.63237			1.05289			1.37098			1.63137			1.34486			1.24312			1.48854			
1.40841		1.65459			1.06548			1.3679			1.64313			1.36736			1.24719			1.48802			
1.41841		1.67674			1.07854			1.36479			1.65419			1.39013			1.25214			1.48683			
1.42841		1.69882			1.09205			1.36168			1.66452			1.41314			1.25798			1.48505			
1.43841		1.7208			1.10603			1.35861			1.67412			1.43633			1.26477			1.48275			
1.44841		1.7427			1.12047			1.35558			1.683			1.45963			1.27251			1.48001			
1.45841		1.76449			1.13536			1.35264			1.69113			1.48301			1.28124			1.47694			
1.46841		1.78618			1.15071			1.34981			1.69853			1.50639			1.29098			1.47361			
1.47841		1.80774			1.16652			1.34712			1.70519			1.52974			1.30172			1.47013			
1.48841		1.82918			1.18278			1.34459			1.71113			1.55298			1.31348			1.46658			
1.49841		1.85049			1.19948			1.34224			1.71633			1.57606			1.32625			1.46307			
1.50841		1.87165			1.21663			1.34012			1.72081			1.59893			1.34003			1.45969			
1.51841		1.89267			1.23422			1.33823			1.72459			1.62153			1.35481			1.45655			
1.52841		1.91353			1.25224			1.33662			1.72767			1.6438			1.37057			1.45373			
1.53841		1.93422			1.2707			1.33529			1.73006			1.66569			1.38729			1.45134			
1.54841		1.95474			1.28957			1.33429			1.73179			1.68714			1.40493			1.44947			
1.55841		1.97507			1.30886			1.33363			1.73287			1.70811			1.42347			1.44821			
1.56841		1.99522			1.32857			1.33334			1.73332			1.72854			1.44286			1.44764			
1.57841		2.01516			1.34867			1.33345			1.73316			1.74838			1.46307			1.44786			
1.58841		2.0349			1.36917			1.33398			1.73243			1.76758			1.48404			1.44893			
1.59841		2.05443			1.39005			1.33494			1.73114			1.7861			1.50571			1.45094			
1.60841		2.07374			1.41131			1.33637			1.72932			1.8039			1.52803			1.45394			
1.61841		2.09281			1.43293			1.33829			1.72701			1.82094			1.55095			1.45801			
1.62841		2.11165			1.45491			1.34071			1.72423			1.83717			1.57438			1.46319			
1.63841		2.13024			1.47724			1.34366			1.72102			1.85257			1.59826			1.46953			
1.64841		2.14858			1.4999			1.34716			1.71742			1.86709			1.62252			1.47708			
1.65841		2.16666			1.52288			1.35123			1.71346			1.88072			1.64707			1.48585			
1.66841		2.18446			1.54618			1.35588			1.70918			1.89343			1.67185			1.49588			
1.67841		2.202			1.56977			1.36113			1.70461			1.90519			1.69678			1.50717			
1.68841		2.21924			1.59364			1.367			1.69981			1.91599			1.72176			1.51974			
1.69841		2.2362			1.61779			1.37351			1.69481			1.92582			1.74671			1.53357			
1.70841		2.25285			1.6422			1.38066			1.68966			1.93466			1.77156			1.54866			
1.71841		2.2692			1.66684			1.38848			1.68439			1.9425			1.79621			1.56498			
1.72841		2.28524			1.69172			1.39696			1.67906			1.94935			1.82059			1.5825			
1.73841		2.30095			1.7168			1.40614			1.6737			1.95521			1.8446			1.60118			
1.74841		2.31634			1.74209			1.416			1.66837			1.96008			1.86816			1.62097			
1.75841		2.33138			1.76755			1.42657			1.66311			1.96397			1.8912			1.64181			
1.76841		2.34609			1.79318			1.43785			1.65798			1.96689			1.91363			1.66364			
1.77841		2.36045			1.81896			1.44984			1.653			1.96887			1.93537			1.68639			
1.78841		2.37444			1.84487			1.46256			1.64824			1.96993			1.95636			1.70996			
1.79841		2.38808			1.87089			1.476			1.64374			1.97009			1.97651			1.73429			
1.80841		2.40134			1.897			1.49016			1.63955			1.96938			1.99576			1.75926			
1.81841		2.41423			1.92319			1.50506			1.63571			1.96784			2.01406			1.78479			
1.82841		2.42673			1.94944			1.52068			1.63227			1.9655			2.03133			1.81075			
1.83841		2.43884			1.97573			1.53702			1.62928			1.96241			2.04752			1.83706			
1.84841		2.45056			2.00204			1.55409			1.62678			1.95861			2.06259			1.86359			
1.85841		2.46187			2.02834			1.57187			1.62481			1.95416			2.07649			1.89022			
1.86841		2.47277			2.05463			1.59037			1.62343			1.94909			2.08919			1.91683			
1.87841		2.48326			2.08088			1.60956			1.62266			1.94348			2.10065			1.94331			
1.88841		2.49332			2.10707			1.62946			1.62255			1.93737			2.11085			1.96954			
1.89841		2.50296			2.13318			1.65003			1.62315			1.93083			2.11976			1.99539			
1.90841		2.51217			2.1592			1.67128			1.62449			1.92393			2.12738			2.02074			
1.91841		2.52093			2.18508			1.69319			1.6266			1.91672			2.13371			2.04548			
1.92841		2.52926			2.21083			1.71575			1.62953			1.90928			2.13874			2.06948			
1.93841		2.53713			2.23642			1.73893			1.6333			1.90168			2.14248			2.09264			
1.94841		2.54455			2.26182			1.76273			1.63794			1.89399			2.14495			2.11485			
1.95841		2.5515			2.28701			1.78711			1.64349			1.88628			2.14618			2.13601			
1.96841		2.558			2.31198			1.81207			1.64997			1.87863			2.14619			2.15602			
1.97841		2.56402			2.3367			1.83759			1.65741			1.87111			2.14503			2.17478			
1.98841		2.56957			2.36114			1.86363			1.66583			1.8638			2.14273			2.19223			
1.99841		2.57463			2.3853			1.89017			1.67524			1.85678			2.13935			2.20827			
2.00841		2.57922			2.40914			1.91719			1.68567			1.85012			2.13496			2.22286			
2.01841		2.58332			2.43265			1.94467			1.69713			1.8439			2.1296			2.23593			
2.02841		2.58692			2.4558			1.97256			1.70964			1.83819			2.12336			2.24743			
2.03841		2.59003			2.47858			2.00086			1.72319			1.83307			2.11631			2.25733			
2.04841		2.59263			2.50095			2.02951			1.7378			1.82862			2.10854			2.2656			
2.05841		2.59474			2.5229			2.0585			1.75348			1.8249			2.10013			2.27223			
2.06841		2.59633			2.54441			2.08779			1.77022			1.82198			2.09118			2.27722			
2.07841		2.59741			2.56545			2.11735			1.78801			1.81994			2.08178			2.28058			
2.08841		2.59798			2.58601			2.14713			1.80686			1.81884			2.07204			2.28231			
2.09841		2.59803			2.60606			2.17711			1.82676			1.81874			2.06206			2.28247			
2.10841		2.59756			2.62558			2.20725			1.84769			1.8197			2.05196			2.28109			
2.11841		2.59657			2.64455			2.23751			1.86964			1.82178			2.04183			2.27822			
2.12841		2.59505			2.66296			2.26785			1.89259			1.82504			2.0318			2.27394			
2.13841		2.593			2.68077			2.29824			1.91652			1.82952			2.02198			2.26832			
2.14841		2.59042			2.69798			2.32862			1.94141			1.83527			2.01249			2.26145			
2.15841		2.58731			2.71455			2.35897			1.96723			1.84233			2.00344			2.25343			
2.16841		2.58366			2.73047			2.38923			1.99394			1.85073			1.99495			2.24436			
2.17841		2.57948			2.74573			2.41937			2.02152			1.86052			1.98713			2.23438			
2.18841		2.57475			2.76029			2.44935			2.04992			1.87171			1.9801			2.2236			
2.19841		2.56948			2.77415			2.47911			2.07911			1.88433			1.97397			2.21217			
2.20841		2.56368			2.78728			2.50862			2.10905			1.8984			1.96884			2.20021			
2.21841		2.55732			2.79967			2.53783			2.13969			1.91393			1.96483			2.18789			
2.22841		2.55043			2.81129			2.5667			2.17098			1.93092			1.96203			2.17536			
2.23841		2.54299			2.82213			2.59518			2.20287			1.94938			1.96055			2.16278			
2.24841		2.535			2.83218			2.62322			2.23531			1.96929			1.96047			2.1503			
2.25841		2.52647			2.84141			2.65079			2.26824			1.99065			1.96187			2.1381			
2.26841		2.51738			2.84982			2.67783			2.3016			2.01344			1.96485			2.12635			
2.27841		2.50776			2.85737			2.7043			2.33532			2.03764			1.96948			2.1152			
2.28841		2.49758			2.86407			2.73015			2.36935			2.06321			1.97581			2.10484			
2.29841		2.48686			2.86988			2.75534			2.40363			2.09013			1.98392			2.09542			
2.30841		2.47559			2.87481			2.77982			2.43807			2.11834			1.99384			2.0871			
2.31841		2.46378			2.87883			2.80354			2.47261			2.14781			2.00562			2.08005			
2.32841		2.45142			2.88193			2.82647			2.50718			2.17847			2.0193			2.07442			
2.33841		2.43851			2.8841			2.84856			2.54171			2.21027			2.0349			2.07035			
2.34841		2.42506			2.88533			2.86975			2.57612			2.24315			2.05242			2.06799			
2.35841		2.41107			2.88559			2.89002			2.61032			2.27702			2.07188			2.06746			
2.36841		2.39654			2.88489			2.90931			2.64426			2.31182			2.09327			2.06889			
2.37841		2.38147			2.88322			2.92758			2.67783			2.34745			2.11657			2.07238			
2.38841		2.36586			2.88055			2.94479			2.71097			2.38385			2.14176			2.07804			
2.39841		2.34971			2.87688			2.9609			2.74359			2.4209			2.16879			2.08596			
2.40841		2.33303			2.8722			2.97587			2.77562			2.45851			2.19761			2.0962			
2.41841		2.31582			2.86651			2.98966			2.80696			2.49658			2.22818			2.10883			
2.42841		2.29808			2.85979			3.00222			2.83753			2.535			2.26041			2.12388			
2.43841		2.27981			2.85204			3.01352			2.86726			2.57367			2.29422			2.1414			
2.44841		2.26102			2.84326			3.02353			2.89606			2.61245			2.32953			2.16138			
2.45841		2.24171			2.83342			3.0322			2.92384			2.65125			2.36623			2.18384			
2.46841		2.22188			2.82254			3.0395			2.95052			2.68993			2.40421			2.20874			
2.47841		2.20154			2.8106			3.04541			2.97602			2.72836			2.44335			2.23605			
2.48841		2.18068			2.7976			3.04987			3.00027			2.76643			2.48351			2.26571			
2.49841		2.15932			2.78354			3.05287			3.02317			2.80399			2.52456			2.29764			
2.50841		2.13745			2.76841			3.05438			3.04464			2.84092			2.56634			2.33177			
2.51841		2.11508			2.75222			3.05435			3.06462			2.87709			2.60871			2.36797			
2.52841		2.09222			2.73495			3.05278			3.08302			2.91235			2.65148			2.40612			
2.53841		2.06887			2.71662			3.04963			3.09976			2.94657			2.69449			2.44608			
2.54841		2.04502			2.69722			3.04487			3.11478			2.97961			2.73755			2.48769			
2.55841		2.0207			2.67674			3.03849			3.12799			3.01134			2.78049			2.53077			
2.56841		1.9959			2.6552			3.03046			3.13934			3.04162			2.82311			2.57512			
2.57841		1.97062			2.63259			3.02077			3.14874			3.07031			2.86521			2.62055			
2.58841		1.94488			2.60892			3.00939			3.15614			3.09728			2.9066			2.66682			
2.59841		1.91867			2.58419			2.99631			3.16148			3.1224			2.94706			2.7137			
2.60841		1.89201			2.5584			2.98151			3.16468			3.14552			2.98639			2.76095			
2.61841		1.8649			2.53156			2.96499			3.1657			3.16653			3.02439			2.8083			
2.62841		1.83733			2.50368			2.94672			3.16448			3.18529			3.06084			2.85548			
2.63841		1.80933			2.47475			2.92671			3.16097			3.20169			3.09553			2.90222			
2.64841		1.7809			2.44479			2.90494			3.15511			3.2156			3.12825			2.94823			
2.65841		1.75203			2.41381			2.88141			3.14686			3.2269			3.15879			2.99322			
2.66841		1.72275			2.3818			2.85611			3.13619			3.23549			3.18695			3.03687			
2.67841		1.69305			2.34879			2.82905			3.12305			3.24125			3.21252			3.0789			
2.68841		1.66293			2.31478			2.80022			3.10741			3.24408			3.23531			3.119			
2.69841		1.63242			2.27978			2.76962			3.08923			3.24389			3.25511			3.15686			
2.70841		1.60151			2.2438			2.73726			3.06849			3.24058			3.27175			3.19218			
2.71841		1.57021			2.20686			2.70315			3.04517			3.23407			3.28502			3.22465			
2.72841		1.53853			2.16896			2.66728			3.01925			3.22427			3.29476			3.25397			
2.73841		1.50648			2.13012			2.62968			2.9907			3.21112			3.3008			3.27986			
2.74841		1.47406			2.09035			2.59035			2.95953			3.19454			3.30298			3.30201			
2.75841		1.44128			2.04967			2.5493			2.92572			3.17448			3.30114			3.32015			
2.76841		1.40815			2.00808			2.50656			2.88927			3.15089			3.29515			3.33402			
2.77841		1.37467			1.96562			2.46214			2.85018			3.12371			3.28488			3.34336			
2.78841		1.34085			1.92228			2.41605			2.80846			3.09292			3.27019			3.34791			
2.79841		1.30671			1.87809			2.36832			2.76411			3.05849			3.25099			3.34745			
2.80841		1.27225			1.83307			2.31897			2.71716			3.02038			3.22718			3.34176			
2.81841		1.23747			1.78723			2.26802			2.66761			2.97859			3.19868			3.33065			
2.82841		1.20239			1.74059			2.21551			2.6155			2.93312			3.16541			3.31393			
2.83841		1.16701			1.69317			2.16146			2.56085			2.88396			3.12732			3.29143			
2.84841		1.13135			1.64498			2.10589			2.5037			2.83114			3.08436			3.26303			
2.85841		1.0954			1.59606			2.04885			2.44406			2.77466			3.03652			3.22858			
2.86841		1.05919			1.54642			1.99036			2.382			2.71455			2.98377			3.18801			
2.87841		1.02271			1.49607			1.93047			2.31754			2.65087			2.92611			3.14122			
2.88841		0.985984			1.44505			1.86919			2.25075			2.58364			2.86357			3.08817			
2.89841		0.949011			1.39337			1.80659			2.18166			2.51292			2.79617			3.02882			
2.90841		0.911803			1.34106			1.74268			2.11034			2.43878			2.72395			2.96317			
2.91841		0.874369			1.28813			1.67752			2.03685			2.36128			2.64698			2.89124			
2.92841		0.836717			1.23461			1.61115			1.96125			2.2805			2.56534			2.81307			
