x		n=2			n=3			n=4			n=5			n=6			n=7			n=8			
-2.50159		-2.15241			-2.77884			-3.05351			-3.03017			-2.81583			-2.5378			-2.30828			
-2.49159		-2.17393			-2.79324			-3.05099			-3.00771			-2.77845			-2.4965			-2.27564			
-2.48159		-2.19495			-2.80657			-3.04699			-2.98389			-2.74053			-2.45604			-2.24524			
-2.47159		-2.21546			-2.81885			-3.04154			-2.95878			-2.7022			-2.41656			-2.21718			
-2.46159		-2.23545			-2.83007			-3.03468			-2.93246			-2.66359			-2.3782			-2.19151			
-2.45159		-2.25493			-2.84024			-3.02644			-2.90502			-2.62482			-2.34108			-2.16827			
-2.44159		-2.27389			-2.84936			-3.01685			-2.87654			-2.58601			-2.30531			-2.1475			
-2.43159		-2.29232			-2.85744			-3.00596			-2.8471			-2.5473			-2.27101			-2.12919			
-2.42159		-2.31023			-2.86448			-2.99379			-2.81678			-2.50879			-2.23827			-2.11336			
-2.41159		-2.32761			-2.8705			-2.98039			-2.78568			-2.47059			-2.20716			-2.09996			
-2.40159		-2.34446			-2.8755			-2.9658			-2.75386			-2.43282			-2.17778			-2.08896			
-2.39159		-2.36077			-2.87949			-2.95005			-2.72142			-2.39558			-2.15017			-2.08032			
-2.38159		-2.37655			-2.88247			-2.93318			-2.68844			-2.35897			-2.12439			-2.07395			
-2.37159		-2.3918			-2.88447			-2.91524			-2.65499			-2.32308			-2.10049			-2.06977			
-2.36159		-2.4065			-2.88548			-2.89627			-2.62117			-2.28801			-2.07849			-2.0677			
-2.35159		-2.42066			-2.88552			-2.87631			-2.58704			-2.25383			-2.05841			-2.06761			
-2.34159		-2.43429			-2.88459			-2.85541			-2.55269			-2.22063			-2.04027			-2.06941			
-2.33159		-2.44736			-2.88272			-2.8336			-2.51819			-2.18848			-2.02406			-2.07295			
-2.32159		-2.4599			-2.87992			-2.81094			-2.48362			-2.15745			-2.00977			-2.0781			
-2.31159		-2.47189			-2.87619			-2.78746			-2.44906			-2.1276			-1.99739			-2.08471			
-2.30159		-2.48333			-2.87155			-2.76321			-2.41458			-2.09898			-1.98688			-2.09264			
-2.29159		-2.49423			-2.86601			-2.73824			-2.38025			-2.07164			-1.9782			-2.10173			
-2.28159		-2.50457			-2.8596			-2.7126			-2.34613			-2.04564			-1.97131			-2.11181			
-2.27159		-2.51438			-2.85231			-2.68632			-2.3123			-2.021			-1.96615			-2.12272			
-2.26159		-2.52363			-2.84418			-2.65946			-2.27882			-1.99776			-1.96265			-2.1343			
-2.25159		-2.53234			-2.83521			-2.63206			-2.24575			-1.97594			-1.96075			-2.14638			
-2.24159		-2.5405			-2.82542			-2.60416			-2.21315			-1.95556			-1.96036			-2.15878			
-2.23159		-2.54812			-2.81483			-2.57582			-2.18108			-1.93664			-1.96141			-2.17135			
-2.22159		-2.55519			-2.80345			-2.54707			-2.14959			-1.91918			-1.9638			-2.18392			
-2.21159		-2.56171			-2.79131			-2.51796			-2.11874			-1.90319			-1.96744			-2.19632			
