x		n=2			n=3			n=4			n=5			n=6
-5.54478		0.623584			0.689077			0.697026			0.682261			0.677688
-5.53478		0.633908			0.699846			0.706136			0.690953			0.687301
-5.52478		0.644208			0.710486			0.715093			0.699589			0.696895
-5.51478		0.65448			0.720993			0.723901			0.708174			0.706466
-5.50478		0.664723			0.731363			0.732561			0.716713			0.716008
-5.49478		0.674932			0.741594			0.741078			0.725209			0.725513
-5.48478		0.685104			0.751681			0.749453			0.733666			0.734976
-5.47478		0.695238			0.761622			0.757691			0.742086			0.744389
-5.46478		0.705329			0.771416			0.765794			0.750471			0.753745
-5.45478		0.715375			0.781058			0.773766			0.758824			0.763035
-5.44478		0.725373			0.790546			0.781612			0.767145			0.772252
-5.43478		0.735319			0.79988			0.789333			0.775435			0.781386
-5.42478		0.745211			0.809055			0.796936			0.783694			0.790431
-5.41478		0.755046			0.818071			0.804422			0.791922			0.799377
-5.40478		0.764821			0.826927			0.811797			0.800119			0.808217
-5.39478		0.774532			0.835619			0.819063			0.808282			0.816942
-5.38478		0.784177			0.844148			0.826226			0.81641			0.825546
-5.37478		0.793754			0.852512			0.833288			0.8245			0.83402
-5.36478		0.803258			0.86071			0.840253			0.83255			0.842359
-5.35478		0.812688			0.868741			0.847125			0.840555			0.850557
-5.34478		0.82204			0.876606			0.853908			0.848514			0.858606
-5.33478		0.831312			0.884302			0.860604			0.856421			0.866504
-5.32478		0.8405			0.89183			0.867218			0.864271			0.874244
-5.31478		0.849602			0.89919			0.873752			0.872061			0.881825
-5.30478		0.858615			0.906381			0.880209			0.879785			0.889241
-5.29478		0.867537			0.913405			0.886593			0.887438			0.896492
-5.28478		0.876364			0.920261			0.892905			0.895014			0.903576
-5.27478		0.885094			0.926949			0.899148			0.902508			0.910492
-5.26478		0.893724			0.933471			0.905325			0.909913			0.91724
-5.25478		0.902252			0.939826			0.911436			0.917225			0.92382
-5.24478		0.910674			0.946017			0.917485			0.924436			0.930235
-5.23478		0.918989			0.952043			0.923472			0.931541			0.936486
-5.22478		0.927194			0.957906			0.929399			0.938535			0.942575
-5.21478		0.935286			0.963607			0.935267			0.94541			0.948506
-5.20478		0.943262			0.969147			0.941075			0.952162			0.954283
-5.19478		0.951121			0.974528			0.946826			0.958785			0.959909
-5.18478		0.958859			0.979752			0.952519			0.965274			0.96539
-5.17478		0.966475			0.984819			0.958153			0.971623			0.97073
-5.16478		0.973966			0.989732			0.963729			0.977827			0.975934
-5.15478		0.981329			0.994493			0.969247			0.983882			0.981008
-5.14478		0.988563			0.999103			0.974704			0.989784			0.985957
-5.13478		0.995665			1.00356			0.980101			0.995528			0.990787
-5.12478		1.00263			1.00788			0.985435			1.00111			0.995504
-5.11478		1.00946			1.01205			0.990705			1.00653			1.00011
-5.10478		1.01616			1.01607			0.995909			1.01178			1.00462
-5.09478		1.02271			1.01996			1.00105			1.01686			1.00903
-5.08478		1.02912			1.02371			1.00611			1.02178			1.01334
-5.07478		1.03539			1.02732			1.01111			1.02651			1.01757
-5.06478		1.0415			1.0308			1.01602			1.03108			1.02171
-5.05478		1.04747			1.03415			1.02087			1.03547			1.02577
-5.04478		1.05329			1.03737			1.02562			1.03969			1.02975
-5.03478		1.05896			1.04046			1.0303			1.04373			1.03366
-5.02478		1.06448			1.04343			1.03489			1.04759			1.03749
-5.01478		1.06983			1.04627			1.03938			1.05129			1.04126
-5.00478		1.07503			1.049			1.04378			1.05481			1.04495
-4.99478		1.08008			1.0516			1.04808			1.05817			1.04857
-4.98478		1.08496			1.0541			1.05228			1.06135			1.05212
-4.97478		1.08967			1.05648			1.05638			1.06438			1.0556
-4.96478		1.09423			1.05875			1.06036			1.06724			1.05901
-4.95478		1.09862			1.06091			1.06423			1.06994			1.06233
-4.94478		1.10284			1.06296			1.06798			1.07249			1.06558
-4.93478		1.1069			1.06491			1.07161			1.07489			1.06875
-4.92478		1.11079			1.06676			1.07511			1.07714			1.07184
-4.91478		1.1145			1.06851			1.07848			1.07925			1.07483
-4.90478		1.11805			1.07016			1.08172			1.08122			1.07773
-4.89478		1.12142			1.07172			1.08482			1.08305			1.08053
-4.88478		1.12462			1.07318			1.08778			1.08476			1.08322
-4.87478		1.12764			1.07455			1.0906			1.08634			1.0858
-4.86478		1.13049			1.07583			1.09326			1.0878			1.08827
-4.85478		1.13316			1.07702			1.09578			1.08914			1.09062
-4.84478		1.13565			1.07812			1.09814			1.09037			1.09283
-4.83478		1.13797			1.07913			1.10034			1.09149			1.09492
-4.82478		1.1401			1.08006			1.10238			1.0925			1.09687
-4.81478		1.14206			1.08091			1.10425			1.09341			1.09867
-4.80478		1.14384			1.08167			1.10596			1.09423			1.10032
-4.79478		1.14543			1.08235			1.1075			1.09496			1.10182
-4.78478		1.14685			1.08296			1.10887			1.09559			1.10316
-4.77478		1.14808			1.08348			1.11007			1.09613			1.10433
-4.76478		1.14913			1.08392			1.11109			1.09659			1.10534
-4.75478		1.15			1.08429			1.11194			1.09697			1.10618
-4.74478		1.15068			1.08457			1.11261			1.09726			1.10684
-4.73478		1.15118			1.08478			1.1131			1.09748			1.10733
-4.72478		1.1515			1.08492			1.11341			1.09762			1.10764
-4.71478		1.15164			1.08497			1.11354			1.09767			1.10777
-4.70478		1.15159			1.08495			1.1135			1.09765			1.10772
-4.69478		1.15136			1.08486			1.11327			1.09755			1.1075
-4.68478		1.15094			1.08468			1.11286			1.09738			1.1071
-4.67478		1.15035			1.08443			1.11228			1.09712			1.10652
-4.66478		1.14957			1.08411			1.11152			1.09678			1.10576
-4.65478		1.1486			1.0837			1.11058			1.09636			1.10483
-4.64478		1.14746			1.08321			1.10947			1.09586			1.10374
-4.63478		1.14613			1.08265			1.10818			1.09527			1.10248
-4.62478		1.14462			1.08201			1.10672			1.09459			1.10106
-4.61478		1.14293			1.08128			1.10509			1.09382			1.09948
-4.60478		1.14106			1.08048			1.1033			1.09295			1.09775
-4.59478		1.13901			1.07959			1.10133			1.09198			1.09587
-4.58478		1.13678			1.07861			1.09921			1.09091			1.09385
-4.57478		1.13437			1.07755			1.09693			1.08974			1.09169
-4.56478		1.13179			1.07641			1.09448			1.08845			1.08941
-4.55478		1.12902			1.07517			1.09189			1.08705			1.087
-4.54478		1.12608			1.07385			1.08915			1.08553			1.08447
-4.53478		1.12297			1.07243			1.08626			1.08388			1.08183
-4.52478		1.11968			1.07092			1.08322			1.08211			1.07908
-4.51478		1.11622			1.06931			1.08005			1.08021			1.07623
-4.50478		1.11258			1.06761			1.07674			1.07817			1.07328
-4.49478		1.10878			1.06581			1.0733			1.07598			1.07024
-4.48478		1.1048			1.06391			1.06973			1.07366			1.06711
-4.47478		1.10066			1.0619			1.06604			1.07118			1.0639
-4.46478		1.09635			1.05979			1.06222			1.06855			1.06061
-4.45478		1.09187			1.05758			1.05829			1.06577			1.05724
-4.44478		1.08723			1.05525			1.05425			1.06282			1.05379
-4.43478		1.08243			1.05281			1.0501			1.05971			1.05028
-4.42478		1.07746			1.05026			1.04585			1.05644			1.04669
-4.41478		1.07234			1.04759			1.0415			1.05299			1.04303
-4.40478		1.06705			1.0448			1.03705			1.04938			1.0393
-4.39478		1.06162			1.04189			1.0325			1.0456			1.0355
-4.38478		1.05602			1.03886			1.02787			1.04164			1.03163
-4.37478		1.05027			1.0357			1.02315			1.03751			1.02768
-4.36478		1.04437			1.03242			1.01835			1.0332			1.02366
-4.35478		1.03833			1.029			1.01347			1.02872			1.01956
-4.34478		1.03213			1.02545			1.00851			1.02406			1.01537
-4.33478		1.02579			1.02177			1.00348			1.01923			1.0111
-4.32478		1.01931			1.01795			0.998372			1.01423			1.00674
-4.31478		1.01268			1.01399			0.9932			1.00906			1.00228
-4.30478		1.00591			1.00989			0.987961			1.00372			0.997719
-4.29478		0.999011			1.00564			0.982657			0.998216			0.993055
-4.28478		0.991973			1.00125			0.97729			0.992548			0.98828
-4.27478		0.984802			0.996714			0.971862			0.986721			0.983388
-4.26478		0.9775			0.992026			0.966373			0.980739			0.978374
-4.25478		0.97007			0.987186			0.960825			0.974605			0.973233
-4.24478		0.962514			0.982193			0.955218			0.968325			0.967959
-4.23478		0.954834			0.977044			0.949553			0.961903			0.962546
-4.22478		0.947032			0.971738			0.94383			0.955343			0.95699
-4.21478		0.939111			0.966274			0.938049			0.948652			0.951285
-4.20478		0.931074			0.96065			0.93221			0.941835			0.945428
-4.19478		0.922923			0.954865			0.926312			0.934897			0.939415
-4.18478		0.914661			0.948916			0.920353			0.927845			0.933242
-4.17478		0.906289			0.942805			0.914334			0.920683			0.926906
-4.16478		0.897812			0.936528			0.908253			0.913419			0.920405
-4.15478		0.88923			0.930086			0.902107			0.906058			0.913737
-4.14478		0.880547			0.923477			0.895896			0.898605			0.906901
-4.13478		0.871766			0.916702			0.889617			0.891068			0.899898
-4.12478		0.86289			0.909758			0.883268			0.883451			0.892727
-4.11478		0.85392			0.902647			0.876847			0.87576			0.885389
-4.10478		0.84486			0.895367			0.87035			0.868001			0.877886
-4.09478		0.835712			0.88792			0.863774			0.860179			0.870222
-4.08478		0.82648			0.880304			0.857118			0.852298			0.862399
-4.07478		0.817166			0.87252			0.850377			0.844364			0.854422
-4.06478		0.807773			0.864568			0.843548			0.83638			0.846294
-4.05478		0.798304			0.85645			0.836628			0.828351			0.838022
-4.04478		0.788762			0.848165			0.829612			0.82028			0.829611
-4.03478		0.779149			0.839715			0.822498			0.81217			0.821068
-4.02478		0.769469			0.8311			0.815282			0.804023			0.8124
-4.01478		0.759724			0.822322			0.80796			0.795843			0.803614
-4.00478		0.749918			0.813383			0.800527			0.787629			0.794718
-3.99478		0.740052			0.804283			0.79298			0.779385			0.78572
-3.98478		0.730132			0.795025			0.785316			0.771109			0.776627
-3.97478		0.720158			0.785611			0.77753			0.762803			0.767449
-3.96478		0.710135			0.776042			0.769619			0.754466			0.758193
-3.95478		0.700065			0.76632			0.761579			0.746096			0.748867
-3.94478		0.689951			0.756449			0.753406			0.737693			0.739481
-3.93478		0.679797			0.746431			0.745097			0.729255			0.73004
-3.92478		0.669605			0.736269			0.736648			0.720778			0.720554
-3.91478		0.659378			0.725965			0.728057			0.71226			0.711029
-3.90478		0.64912			0.715523			0.71932			0.703697			0.701472
-3.89478		0.638832			0.704946			0.710434			0.695086			0.691888
-3.88478		0.62852			0.694238			0.701398			0.686421			0.682283
-3.87478		0.618184			0.683402			0.692208			0.677699			0.672662
-3.86478		0.60783			0.672443			0.682862			0.668914			0.663028
-3.85478		0.597458			0.661363			0.673359			0.660061			0.653385
-3.84478		0.587073			0.650168			0.663697			0.651135			0.643735
-3.83478		0.576678			0.638861			0.653874			0.642128			0.634079
-3.82478		0.566275			0.627447			0.643891			0.633036			0.624417
-3.81478		0.555867			0.615931			0.633746			0.623851			0.61475
-3.80478		0.545459			0.604317			0.62344			0.614568			0.605075
-3.79478		0.535051			0.59261			0.612972			0.60518			0.59539
-3.78478		0.524648			0.580816			0.602343			0.595681			0.585692
-3.77478		0.514253			0.56894			0.591554			0.586065			0.575976
-3.76478		0.503867			0.556986			0.580607			0.576326			0.566238
-3.75478		0.493496			0.544961			0.569503			0.566457			0.556471
-3.74478		0.48314			0.532869			0.558245			0.556453			0.54667
-3.73478		0.472803			0.520717			0.546835			0.546309			0.536825
-3.72478		0.462489			0.508511			0.535276			0.53602			0.526931
-3.71478		0.4522			0.496256			0.523572			0.525581			0.516977
-3.70478		0.441938			0.483958			0.511727			0.514988			0.506955
-3.69478		0.431707			0.471624			0.499746			0.504238			0.496856
-3.68478		0.421509			0.459259			0.487633			0.493327			0.486671
-3.67478		0.411348			0.44687			0.475394			0.482254			0.47639
-3.66478		0.401226			0.434463			0.463035			0.471017			0.466002
-3.65478		0.391145			0.422045			0.450561			0.459614			0.4555
-3.64478		0.381109			0.409622			0.43798			0.448045			0.444873
-3.63478		0.37112			0.397201			0.425298			0.436312			0.434113
-3.62478		0.361181			0.384787			0.412523			0.424416			0.423212
-3.61478		0.351295			0.372389			0.399663			0.412358			0.412161
-3.60478		0.341463			0.360012			0.386727			0.400142			0.400955
-3.59478		0.33169			0.347663			0.373722			0.387773			0.389586
-3.58478		0.321977			0.335348			0.360658			0.375254			0.378051
-3.57478		0.312326			0.323076			0.347545			0.362593			0.366344
-3.56478		0.302741			0.310851			0.334392			0.349795			0.354464
-3.55478		0.293224			0.298681			0.321209			0.336869			0.342409
-3.54478		0.283777			0.286573			0.308006			0.323824			0.330179
-3.53478		0.274403			0.274533			0.294795			0.310668			0.317775
-3.52478		0.265104			0.262568			0.281585			0.297412			0.305201
-3.51478		0.255882			0.250684			0.268389			0.284069			0.29246
-3.50478		0.24674			0.238888			0.255216			0.270649			0.27956
-3.49478		0.23768			0.227187			0.242079			0.257166			0.266508
-3.48478		0.228704			0.215586			0.22899			0.243634			0.253313
-3.47478		0.219814			0.204093			0.21596			0.230068			0.239986
-3.46478		0.211013			0.192713			0.203			0.216482			0.226542
-3.45478		0.202302			0.181454			0.190124			0.202892			0.212993
-3.44478		0.193684			0.17032			0.177342			0.189316			0.199356
-3.43478		0.18516			0.159318			0.164667			0.17577			0.18565
-3.42478		0.176733			0.148454			0.15211			0.162272			0.171892
-3.41478		0.168405			0.137734			0.139685			0.148839			0.158104
-3.40478		0.160177			0.127164			0.127401			0.13549			0.144307
-3.39478		0.152051			0.116748			0.115272			0.122243			0.130524
-3.38478		0.144029			0.106493			0.103309			0.109118			0.11678
-3.37478		0.136113			0.0964045			0.0915232			0.0961334			0.1031
-3.36478		0.128305			0.0864865			0.079926			0.0833076			0.0895091
-3.35478		0.120606			0.0767446			0.0685285			0.0706599			0.0760344
-3.34478		0.113018			0.0671838			0.0573415			0.0582091			0.062703
-3.33478		0.105542			0.0578086			0.0463756			0.0459739			0.0495422
-3.32478		0.0981799			0.0486237			0.0356412			0.0339726			0.0365797
-3.31478		0.0909333			0.0396334			0.0251481			0.0222234			0.0238432
-3.30478		0.0838035			0.030842			0.014906			0.0107439			0.0113603
-3.29478		0.0767919			0.0222535			0.00492422			-0.000448674			-0.000841941
-3.28478		0.0698997			0.0138718			-0.0047885			-0.0113378			-0.0127368
-3.27478		0.0631283			0.00570043			-0.0142237			-0.0219075			-0.0242982
-3.26478		0.0564789			-0.00225707			-0.0233733			-0.0321425			-0.035501
-3.25478		0.0499527			-0.00999744			-0.0322298			-0.0420283			-0.046321
-3.24478		0.0435507			-0.0175176			-0.040786			-0.0515512			-0.0567353
-3.23478		0.0372741			-0.0248148			-0.0490355			-0.0606984			-0.0667221
-3.22478		0.0311238			-0.0318862			-0.0569722			-0.0694582			-0.0762613
-3.21478		0.0251009			-0.0387295			-0.0645904			-0.0778197			-0.0853342
-3.20478		0.0192062			-0.0453425			-0.0718851			-0.0857731			-0.0939239
-3.19478		0.0134407			-0.051723			-0.078852			-0.0933098			-0.102016
-3.18478		0.00780504			-0.0578694			-0.0854871			-0.100422			-0.109596
-3.17478		0.00230007			-0.0637801			-0.0917871			-0.107104			-0.116654
-3.16478		-0.00307352			-0.0694537			-0.0977491			-0.11335			-0.123181
-3.15478		-0.00831509			-0.0748891			-0.103371			-0.119156			-0.129169
-3.14478		-0.013424			-0.0800853			-0.108651			-0.124519			-0.134615
-3.13478		-0.0183998			-0.0850417			-0.113589			-0.129439			-0.139516
-3.12478		-0.0232419			-0.0897579			-0.118184			-0.133914			-0.143872
-3.11478		-0.0279499			-0.0942335			-0.122436			-0.137945			-0.147685
-3.10478		-0.0325235			-0.0984686			-0.126346			-0.141535			-0.15096
-3.09478		-0.0369622			-0.102463			-0.129915			-0.144688			-0.153702
-3.08478		-0.0412659			-0.106218			-0.133146			-0.147407			-0.155921
-3.07478		-0.0454342			-0.109734			-0.13604			-0.149699			-0.157628
-3.06478		-0.0494671			-0.113012			-0.138602			-0.151571			-0.158835
-3.05478		-0.0533644			-0.116052			-0.140834			-0.15303			-0.159558
-3.04478		-0.057126			-0.118856			-0.142741			-0.154086			-0.159812
-3.03478		-0.0607519			-0.121426			-0.144327			-0.154749			-0.159616
-3.02478		-0.0642422			-0.123763			-0.145599			-0.155031			-0.158989
-3.01478		-0.067597			-0.125869			-0.146561			-0.154943			-0.157953
-3.00478		-0.0708164			-0.127747			-0.14722			-0.154498			-0.156531
-2.99478		-0.0739006			-0.129398			-0.147583			-0.15371			-0.154745
-2.98478		-0.0768499			-0.130826			-0.147656			-0.152593			-0.15262
-2.97478		-0.0796645			-0.132033			-0.147448			-0.151164			-0.150182
-2.96478		-0.0823449			-0.133021			-0.146967			-0.149437			-0.147457
-2.95478		-0.0848913			-0.133795			-0.14622			-0.14743			-0.14447
-2.94478		-0.0873044			-0.134357			-0.145217			-0.145158			-0.141249
-2.93478		-0.0895846			-0.134711			-0.143967			-0.14264			-0.13782
-2.92478		-0.0917324			-0.13486			-0.142479			-0.139892			-0.13421
-2.91478		-0.0937484			-0.134809			-0.140762			-0.136932			-0.130445
-2.90478		-0.0956334			-0.134561			-0.138828			-0.133779			-0.126551
-2.89478		-0.097388			-0.13412			-0.136685			-0.13045			-0.122554
-2.88478		-0.0990129			-0.133491			-0.134345			-0.126963			-0.118478
-2.87478		-0.100509			-0.132678			-0.131818			-0.123336			-0.114346
-2.86478		-0.101877			-0.131685			-0.129114			-0.119588			-0.110183
-2.85478		-0.103118			-0.130518			-0.126245			-0.115735			-0.106009
-2.84478		-0.104233			-0.12918			-0.123222			-0.111794			-0.101844
-2.83478		-0.105223			-0.127678			-0.120054			-0.107783			-0.097709
-2.82478		-0.106089			-0.126015			-0.116754			-0.103718			-0.0936202
-2.81478		-0.106831			-0.124198			-0.113333			-0.0996143			-0.089594
-2.80478		-0.107452			-0.122231			-0.109801			-0.095488			-0.0856452
-2.79478		-0.107952			-0.12012			-0.106169			-0.0913538			-0.0817866
-2.78478		-0.108333			-0.117869			-0.102449			-0.0872255			-0.0780295
-2.77478		-0.108595			-0.115485			-0.0986504			-0.0831165			-0.0743838
-2.76478		-0.10874			-0.112973			-0.0947846			-0.0790396			-0.0708572
-2.75478		-0.10877			-0.110339			-0.0908618			-0.0750064			-0.0674562
-2.74478		-0.108686			-0.107588			-0.0868924			-0.071028			-0.0641854
-2.73478		-0.108488			-0.104726			-0.0828863			-0.0671144			-0.0610478
-2.72478		-0.108179			-0.101759			-0.0788536			-0.063275			-0.058045
-2.71478		-0.107761			-0.0986915			-0.0748036			-0.0595181			-0.055177
-2.70478		-0.107234			-0.0955307			-0.0707459			-0.0558512			-0.0524423
-2.69478		-0.1066			-0.0922818			-0.0666893			-0.0522806			-0.049838
-2.68478		-0.105861			-0.0889507			-0.0626425			-0.0488121			-0.0473602
-2.67478		-0.105019			-0.0855431			-0.058614			-0.0454503			-0.0450036
-2.66478		-0.104075			-0.0820649			-0.0546117			-0.042199			-0.0427619
-2.65478		-0.103031			-0.0785217			-0.0506434			-0.039061			-0.0406279
-2.64478		-0.101888			-0.0749195			-0.0467162			-0.0360382			-0.0385935
-2.63478		-0.100649			-0.0712637			-0.0428371			-0.0331318			-0.03665
-2.62478		-0.0993148			-0.0675603			-0.0390125			-0.030342			-0.0347879
-2.61478		-0.0978879			-0.0638146			-0.0352485			-0.0276683			-0.0329974
-2.60478		-0.0963699			-0.0600325			-0.0315508			-0.0251093			-0.0312685
-2.59478		-0.0947628			-0.0562193			-0.0279246			-0.022663			-0.0295907
-2.58478		-0.0930684			-0.0523805			-0.0243746			-0.0203266			-0.0279536
-2.57478		-0.0912888			-0.0485216			-0.0209053			-0.0180968			-0.0263468
-2.56478		-0.0894258			-0.0446477			-0.0175204			-0.0159694			-0.02476
-2.55478		-0.0874816			-0.0407643			-0.0142235			-0.0139399			-0.0231833
-2.54478		-0.0854581			-0.0368763			-0.0110176			-0.0120032			-0.0216071
-2.53478		-0.0833574			-0.0329888			-0.00790535			-0.0101538			-0.0200221
-2.52478		-0.0811816			-0.0291068			-0.00488878			-0.00838571			-0.01842
-2.51478		-0.0789328			-0.025235			-0.00196964			-0.00669271			-0.0167926
-2.50478		-0.076613			-0.0213782			0.000850765			-0.00506822			-0.0151328
-2.49478		-0.0742245			-0.0175411			0.00357158			-0.00350547			-0.0134342
-2.48478		-0.0717694			-0.013728			0.00619235			-0.0019975			-0.0116912
-2.47478		-0.0692498			-0.00994331			0.00871301			-0.000537244			-0.00989899
-2.46478		-0.066668			-0.00619125			0.0111339			0.00088241			-0.00805388
-2.45478		-0.0640261			-0.0024759			0.0134557			0.00226858			-0.00615297
-2.44478		-0.0613264			0.0011988			0.0156796			0.00362833			-0.00419433
-2.43478		-0.0585711			0.00482906			0.0178069			0.00496861			-0.002177
-2.42478		-0.0557625			0.00841124			0.0198394			0.00629621			-0.00010095
-2.41478		-0.0529028			0.0119418			0.0217792			0.00761774			0.00203294
-2.40478		-0.0499943			0.0154175			0.0236286			0.00893952			0.00422288
-2.39478		-0.0470392			0.018835			0.0253904			0.0102676			0.00646625
-2.38478		-0.0440399			0.0221915			0.0270675			0.0116077			0.0087596
-2.37478		-0.0409987			0.0254839			0.028663			0.0129651			0.0110987
-2.36478		-0.0379178			0.0287095			0.0301803			0.0143447			0.0134788
-2.35478		-0.0347996			0.031866			0.0316231			0.0157512			0.0158942
-2.34478		-0.0316464			0.0349508			0.0329952			0.0171883			0.018339
-2.33478		-0.0284604			0.0379618			0.0343005			0.0186599			0.0208066
-2.32478		-0.0252441			0.0408969			0.035543			0.0201687			0.0232902
-2.31478		-0.0219996			0.0437543			0.0367272			0.0217175			0.0257824
-2.30478		-0.0187294			0.0465322			0.0378571			0.0233081			0.0282758
-2.29478		-0.0154358			0.0492292			0.0389373			0.024942			0.030763
-2.28478		-0.0121211			0.0518439			0.0399723			0.0266202			0.0332362
-2.27478		-0.00878751			0.054375			0.0409664			0.028343			0.0356879
-2.26478		-0.00543746			0.0568216			0.0419242			0.0301102			0.0381107
-2.25478		-0.00207321			0.0591828			0.0428503			0.0319212			0.0404974
-2.24478		0.00130293			0.0614578			0.043749			0.0337748			0.0428409
-2.23478		0.00468868			0.0636463			0.0446248			0.0356693			0.0451347
-2.22478		0.00808174			0.0657477			0.0454821			0.0376025			0.0473727
-2.21478		0.0114798			0.067762			0.0463251			0.0395719			0.0495492
-2.20478		0.0148807			0.0696889			0.047158			0.0415743			0.0516591
-2.19478		0.0182821			0.0715287			0.0479848			0.0436064			0.0536979
-2.18478		0.0216818			0.0732816			0.0488095			0.0456643			0.0556617
-2.17478		0.0250775			0.074948			0.0496357			0.047744			0.0575473
-2.16478		0.0284671			0.0765285			0.0504671			0.0498408			0.0593522
-2.15478		0.0318483			0.0780237			0.051307			0.0519502			0.0610746
-2.14478		0.0352189			0.0794345			0.0521586			0.0540672			0.0627134
-2.13478		0.0385768			0.0807618			0.0530249			0.0561867			0.0642683
-2.12478		0.0419199			0.0820067			0.0539087			0.0583035			0.0657398
-2.11478		0.0452459			0.0831705			0.0548125			0.0604121			0.0671288
-2.10478		0.0485528			0.0842545			0.0557385			0.0625072			0.0684371
-2.09478		0.0518385			0.0852602			0.0566889			0.0645832			0.0696672
-2.08478		0.0551009			0.0861892			0.0576653			0.0666349			0.0708221
-2.07478		0.058338			0.087043			0.0586693			0.0686567			0.0719053
-2.06478		0.0615477			0.0878236			0.0597021			0.0706435			0.072921
-2.05478		0.0647281			0.0885328			0.0607648			0.0725902			0.0738738
-2.04478		0.0678771			0.0891726			0.0618579			0.0744917			0.0747687
-2.03478		0.0709928			0.089745			0.062982			0.0763433			0.0756109
-2.02478		0.0740733			0.0902522			0.0641372			0.0781406			0.076406
-2.01478		0.0771167			0.0906964			0.0653234			0.0798793			0.07716
-2.00478		0.0801212			0.0910799			0.0665402			0.0815555			0.0778786
-1.99478		0.0830848			0.091405			0.067787			0.0831656			0.0785678
-1.98478		0.0860058			0.0916743			0.0690629			0.0847064			0.0792337
-1.97478		0.0888824			0.09189			0.0703666			0.086175			0.0798821
-1.96478		0.0917128			0.0920548			0.0716969			0.0875691			0.0805188
-1.95478		0.0944954			0.0921712			0.073052			0.0888864			0.0811492
-1.94478		0.0972284			0.0922417			0.0744301			0.0901255			0.0817786
-1.93478		0.0999102			0.092269			0.075829			0.091285			0.0824119
-1.92478		0.102539			0.0922558			0.0772466			0.0923642			0.0830536
-1.91478		0.105114			0.0922046			0.0786802			0.0933629			0.0837077
-1.90478		0.107633			0.0921181			0.0801272			0.094281			0.0843778
-1.89478		0.110094			0.091999			0.0815848			0.0951191			0.0850667
-1.88478		0.112496			0.0918499			0.0830498			0.0958781			0.0857771
-1.87478		0.114838			0.0916736			0.0845193			0.0965595			0.0865107
-1.86478		0.117118			0.0914725			0.0859898			0.0971649			0.0872688
-1.85478		0.119336			0.0912494			0.087458			0.0976965			0.0880519
-1.84478		0.121488			0.0910069			0.0889203			0.0981568			0.0888601
-1.83478		0.123575			0.0907474			0.0903733			0.0985486			0.0896927
-1.82478		0.125596			0.0904735			0.0918132			0.0988751			0.0905485
-1.81478		0.127548			0.0901878			0.0932364			0.0991396			0.0914255
-1.80478		0.129431			0.0898925			0.0946392			0.099346			0.0923214
-1.79478		0.131243			0.0895902			0.0960177			0.099498			0.0932332
-1.78478		0.132984			0.089283			0.0973683			0.0995999			0.0941574
-1.77478		0.134653			0.0889733			0.0986873			0.0996559			0.0950901
-1.76478		0.136248			0.0886633			0.099971			0.0996704			0.0960269
-1.75478		0.137769			0.0883551			0.101216			0.0996478			0.0969631
-1.74478		0.139215			0.0880506			0.102418			0.0995928			0.0978937
-1.73478		0.140584			0.0877519			0.103574			0.09951			0.0988134
-1.72478		0.141877			0.0874608			0.104681			0.0994038			0.0997167
-1.71478		0.143092			0.0871792			0.105736			0.0992788			0.100598
-1.70478		0.144228			0.0869086			0.106735			0.0991394			0.101452
-1.69478		0.145286			0.0866507			0.107675			0.09899			0.102272
-1.68478		0.146264			0.086407			0.108553			0.0988346			0.103054
-1.67478		0.147162			0.0861788			0.109368			0.0986772			0.103792
-1.66478		0.147979			0.0859675			0.110116			0.0985215			0.10448
-1.65478		0.148715			0.0857742			0.110794			0.0983711			0.105115
-1.64478		0.149369			0.0855999			0.111402			0.0982293			0.10569
-1.63478		0.149941			0.0854456			0.111937			0.0980988			0.106202
-1.62478		0.150431			0.0853122			0.112398			0.0979823			0.106647
-1.61478		0.150838			0.0852003			0.112783			0.0978821			0.107022
-1.60478		0.151162			0.0851106			0.11309			0.0978001			0.107324
-1.59478		0.151404			0.0850435			0.11332			0.0977379			0.10755
-1.58478		0.151562			0.0849993			0.11347			0.0976965			0.107699
-1.57478		0.151637			0.0849784			0.113542			0.0976767			0.10777
-1.56478		0.151628			0.0849808			0.113534			0.097679			0.107762
-1.55478		0.151536			0.0850065			0.113446			0.0977032			0.107675
-1.54478		0.151361			0.0850553			0.113279			0.0977489			0.10751
-1.53478		0.151103			0.0851271			0.113034			0.0978153			0.107268
-1.52478		0.150762			0.0852213			0.112711			0.0979011			0.106951
-1.51478		0.150338			0.0853377			0.11231			0.0980048			0.106562
-1.50478		0.149831			0.0854754			0.111834			0.0981243			0.106103
-1.49478		0.149242			0.0856338			0.111284			0.0982573			0.105578
-1.48478		0.148571			0.085812			0.110662			0.0984012			0.10499
-1.47478		0.147819			0.0860091			0.109969			0.0985529			0.104345
-1.46478		0.146985			0.086224			0.109207			0.0987092			0.103646
-1.45478		0.146071			0.0864554			0.108379			0.0988665			0.102899
-1.44478		0.145077			0.0867021			0.107488			0.099021			0.102108
-1.43478		0.144003			0.0869627			0.106536			0.0991688			0.10128
-1.42478		0.142851			0.0872357			0.105526			0.0993056			0.100421
-1.41478		0.14162			0.0875194			0.10446			0.0994271			0.0995343
-1.40478		0.140311			0.0878122			0.103343			0.0995289			0.0986272
-1.39478		0.138926			0.0881122			0.102177			0.0996065			0.0977049
-1.38478		0.137465			0.0884176			0.100966			0.0996552			0.0967727
