x		n=2			n=3			n=4			n=5			n=6
-8.59478		-0.0209607			0.0446478			0.0370928			0.0222195			0.0265769
-8.58478		-0.0176828			0.0474002			0.0382064			0.0238238			0.0290691
-8.57478		-0.0143822			0.0500711			0.0392717			0.0254717			0.0315527
-8.56478		-0.0110612			0.0526592			0.0402931			0.0271641			0.0340199
-8.55478		-0.0077221			0.0551635			0.0412752			0.0289011			0.0364632
-8.54478		-0.00436727			0.057583			0.0422225			0.0306824			0.0388752
-8.53478		-0.000998987			0.0599168			0.0431393			0.0325071			0.0412488
-8.52478		0.00238046			0.0621644			0.0440303			0.0343739			0.0435772
-8.51478		0.00576879			0.0643251			0.0448997			0.036281			0.0458539
-8.50478		0.0091637			0.0663988			0.045752			0.038226			0.0480729
-8.49478		0.0125629			0.0683852			0.0465913			0.0402063			0.0502288
-8.48478		0.0159642			0.0702844			0.0474219			0.0422186			0.0523165
-8.47478		0.0193653			0.0720965			0.0482476			0.0442593			0.0543318
-8.46478		0.022764			0.0738218			0.0490723			0.0463246			0.056271
-8.45478		0.026158			0.0754608			0.0498998			0.0484102			0.0581311
-8.44478		0.0295451			0.077014			0.0507335			0.0505116			0.0599098
-8.43478		0.0329232			0.0784822			0.0515768			0.052624			0.0616057
-8.42478		0.03629			0.0798662			0.0524328			0.0547423			0.0632178
-8.41478		0.0396434			0.0811672			0.0533044			0.0568615			0.0647461
-8.40478		0.0429813			0.0823862			0.0541943			0.0589763			0.0661911
-8.39478		0.0463014			0.0835244			0.0551049			0.0610812			0.0675542
-8.38478		0.0496018			0.0845833			0.0560385			0.0631708			0.0688373
-8.37478		0.0528803			0.0855644			0.056997			0.0652397			0.0700431
-8.36478		0.0561349			0.0864692			0.057982			0.0672824			0.0711747
-8.35478		0.0593635			0.0872995			0.0589951			0.0692936			0.072236
-8.34478		0.062564			0.0880572			0.0600373			0.0712682			0.0732311
-8.33478		0.0657346			0.088744			0.0611096			0.073201			0.0741649
-8.32478		0.0688732			0.0893621			0.0622126			0.0750871			0.0750424
-8.31478		0.071978			0.0899135			0.0633466			0.0769219			0.075869
-8.30478		0.0750469			0.0904004			0.0645117			0.0787009			0.0766504
-8.29478		0.0780781			0.090825			0.0657077			0.0804201			0.0773924
-8.28478		0.0810697			0.0911897			0.0669342			0.0820757			0.078101
-8.27478		0.0840199			0.0914968			0.0681903			0.083664			0.0787822
-8.26478		0.086927			0.0917487			0.0694752			0.0851822			0.0794419
-8.25478		0.089789			0.0919479			0.0707876			0.0866273			0.0800859
-8.24478		0.0926044			0.092097			0.0721259			0.0879971			0.08072
-8.23478		0.0953714			0.0921985			0.0734885			0.0892897			0.0813496
-8.22478		0.0980882			0.092255			0.0748735			0.0905035			0.0819797
-8.21478		0.100753			0.0922691			0.0762787			0.0916375			0.0826152
-8.20478		0.103365			0.0922435			0.0777016			0.0926911			0.0832604
-8.19478		0.105922			0.0921807			0.0791398			0.093664			0.0839193
-8.18478		0.108423			0.0920836			0.0805905			0.0945566			0.084595
-8.17478		0.110865			0.0919546			0.0820508			0.0953694			0.0852906
-8.16478		0.113249			0.0917966			0.0835176			0.0961035			0.0860082
-8.15478		0.115571			0.0916121			0.0849877			0.0967605			0.0867495
-8.14478		0.117832			0.0914037			0.0864579			0.0973421			0.0875155
-8.13478		0.120028			0.0911742			0.0879246			0.0978507			0.0883067
-8.12478		0.12216			0.0909259			0.0893843			0.0982889			0.0891227
-8.11478		0.124226			0.0906616			0.0908336			0.0986595			0.0899629
-8.10478		0.126225			0.0903837			0.0922686			0.0989659			0.0908256
-8.09478		0.128155			0.0900946			0.0936856			0.0992115			0.091709
-8.08478		0.130016			0.0897969			0.0950811			0.0994001			0.0926103
-8.07478		0.131806			0.0894927			0.0964511			0.0995357			0.0935264
-8.06478		0.133524			0.0891845			0.0977921			0.0996225			0.0944538
-8.05478		0.135169			0.0888745			0.0991002			0.0996648			0.0953883
-8.04478		0.136741			0.0885648			0.100372			0.099667			0.0963254
-8.03478		0.138238			0.0882576			0.101604			0.0996336			0.0972604
-8.02478		0.139659			0.0879547			0.102792			0.0995693			0.0981881
-8.01478		0.141004			0.0876583			0.103933			0.0994785			0.0991031
-8.00478		0.142272			0.08737			0.105023			0.0993658			0.1
-7.99478		0.143462			0.0870917			0.10606			0.0992358			0.100873
-7.98478		0.144574			0.086825			0.107041			0.0990927			0.101717
-7.97478		0.145606			0.0865715			0.107961			0.0989409			0.102526
-7.96478		0.146559			0.0863326			0.10882			0.0987844			0.103294
-7.95478		0.147431			0.0861096			0.109613			0.0986272			0.104017
-7.94478		0.148222			0.0859039			0.110339			0.0984729			0.104689
-7.93478		0.148932			0.0857165			0.110996			0.0983249			0.105304
-7.92478		0.14956			0.0855485			0.111581			0.0981863			0.10586
-7.91478		0.150106			0.0854008			0.112092			0.09806			0.106351
-7.90478		0.150569			0.0852742			0.112529			0.0979485			0.106774
-7.89478		0.15095			0.0851693			0.112889			0.0978539			0.107126
-7.88478		0.151248			0.0850867			0.113172			0.0977781			0.107404
-7.87478		0.151463			0.0850269			0.113376			0.0977224			0.107606
-7.86478		0.151595			0.0849901			0.113502			0.0976878			0.10773
-7.85478		0.151643			0.0849766			0.113548			0.097675			0.107776
-7.84478		0.151608			0.0849864			0.113514			0.0976843			0.107743
-7.83478		0.15149			0.0850195			0.113401			0.0977154			0.107631
-7.82478		0.151288			0.0850757			0.11321			0.0977678			0.107441
-7.81478		0.151003			0.0851547			0.112939			0.0978406			0.107175
-7.80478		0.150636			0.085256			0.112591			0.0979323			0.106835
-7.79478		0.150185			0.0853792			0.112167			0.0980412			0.106423
-7.78478		0.149652			0.0855236			0.111667			0.0981653			0.105943
-7.77478		0.149037			0.0856885			0.111094			0.0983021			0.105397
-7.76478		0.14834			0.0858728			0.110449			0.0984488			0.104791
-7.75478		0.147562			0.0860757			0.109734			0.0986024			0.104127
-7.74478		0.146703			0.086296			0.108951			0.0987594			0.103413
-7.73478		0.145763			0.0865324			0.108102			0.0989162			0.102651
-7.72478		0.144744			0.0867837			0.107191			0.099069			0.101848
-7.71478		0.143645			0.0870484			0.10622			0.0992137			0.10101
-7.70478		0.142467			0.087325			0.105192			0.0993462			0.100141
-7.69478		0.141211			0.0876118			0.10411			0.0994619			0.0992474
-7.68478		0.139878			0.0879071			0.102977			0.0995565			0.0983348
-7.67478		0.138469			0.088209			0.101796			0.0996253			0.0974088
-7.66478		0.136984			0.0885157			0.100571			0.0996639			0.0964746
-7.65478		0.135424			0.0888251			0.0993053			0.0996677			0.0955375
-7.64478		0.133791			0.0891352			0.0980027			0.0996321			0.0946023
-7.63478		0.132084			0.0894439			0.0966667			0.0995527			0.0936735
-7.62478		0.130306			0.0897488			0.0953011			0.0994252			0.0927553
-7.61478		0.128456			0.0900477			0.0939094			0.0992452			0.0918514
-7.60478		0.126537			0.0903383			0.0924955			0.099009			0.090965
-7.59478		0.124549			0.0906182			0.0910632			0.0987125			0.0900988
-7.58478		0.122494			0.0908848			0.089616			0.0983523			0.089255
-7.57478		0.120372			0.0911358			0.0881576			0.0979251			0.088435
-7.56478		0.118186			0.0913685			0.0866918			0.0974279			0.0876398
-7.55478		0.115935			0.0915804			0.085222			0.0968581			0.0868698
-7.54478		0.113623			0.0917689			0.0837516			0.0962133			0.0861246
-7.53478		0.111249			0.0919313			0.082284			0.0954915			0.0854034
-7.52478		0.108816			0.0920651			0.0808225			0.0946913			0.0847044
-7.51478		0.106324			0.0921675			0.0793701			0.0938116			0.0840257
-7.50478		0.103776			0.0922359			0.0779297			0.0928514			0.0833644
-7.49478		0.101173			0.0922676			0.0765042			0.0918107			0.0827172
-7.48478		0.0985162			0.09226			0.075096			0.0906895			0.0820804
-7.47478		0.0958075			0.0922104			0.0737077			0.0894883			0.0814497
-7.46478		0.0930484			0.0921163			0.0723414			0.0882082			0.0808204
-7.45478		0.0902406			0.091975			0.070999			0.0868505			0.0801874
-7.44478		0.0873858			0.0917839			0.0696824			0.0854173			0.0795453
-7.43478		0.0844859			0.0915405			0.0683931			0.0839106			0.0788885
-7.42478		0.0815424			0.0912424			0.0671323			0.0823332			0.0782112
-7.41478		0.0785572			0.0908871			0.065901			0.0806882			0.0775073
-7.40478		0.0755322			0.0904721			0.0647001			0.0789789			0.076771
-7.39478		0.0724692			0.0899953			0.0635301			0.0772091			0.0759963
-7.38478		0.06937			0.0894543			0.0623911			0.0753829			0.0751773
-7.37478		0.0662367			0.088847			0.0612832			0.0735046			0.0743083
-7.36478		0.0630711			0.0881712			0.0602061			0.0715789			0.0733838
-7.35478		0.0598751			0.087425			0.0591591			0.0696107			0.0723988
-7.34478		0.0566509			0.0866064			0.0581415			0.067605			0.0713483
-7.33478		0.0534003			0.0857135			0.057152			0.0655669			0.0702282
-7.32478		0.0501255			0.0847447			0.0561894			0.0635018			0.0690344
-7.31478		0.0468284			0.0836983			0.055252			0.0614151			0.0677638
-7.30478		0.0435113			0.0825728			0.0543379			0.0593123			0.0664136
-7.29478		0.0401761			0.0813668			0.0534449			0.0571988			0.0649818
-7.28478		0.036825			0.080079			0.0525705			0.0550799			0.0634668
-7.27478		0.0334602			0.0787082			0.0517122			0.0529611			0.0618681
-7.26478		0.0300838			0.0772535			0.0508671			0.0508474			0.0601855
-7.25478		0.026698			0.0757139			0.0500321			0.048744			0.0584199
-7.24478		0.0233049			0.0740886			0.0492038			0.0466555			0.0565726
-7.23478		0.0199068			0.0723771			0.0483789			0.0445867			0.0546458
-7.22478		0.016506			0.0705788			0.0475536			0.0425418			0.0526424
-7.21478		0.0131046			0.0686935			0.0467241			0.0405247			0.0505659
-7.20478		0.00970485			0.066721			0.0458864			0.0385391			0.0484207
-7.19478		0.0063091			0.0646612			0.0450365			0.0365883			0.0462114
-7.18478		0.00291957			0.0625143			0.0441701			0.034675			0.0439435
-7.17478		-0.000461446			0.0602806			0.0432828			0.0328016			0.0416229
-7.16478		-0.00383166			0.0579605			0.0423704			0.0309701			0.039256
-7.15478		-0.00718879			0.0555546			0.0414283			0.0291818			0.0368496
-7.14478		-0.0105305			0.0530637			0.0404521			0.0274378			0.0344108
-7.13478		-0.0138545			0.0504888			0.0394372			0.0257383			0.0319469
-7.12478		-0.0171585			0.047831			0.0383792			0.0240833			0.0294655
-7.11478		-0.0204402			0.0450916			0.0372735			0.0224721			0.0269741
-7.10478		-0.0236972			0.042272			0.0361158			0.0209036			0.0244803
-7.09478		-0.0269273			0.0393738			0.0349017			0.019376			0.0219917
-7.08478		-0.0301281			0.0363988			0.0336269			0.0178869			0.0195156
-7.07478		-0.0332972			0.033349			0.0322873			0.0164338			0.0170591
-7.06478		-0.0364325			0.0302265			0.0308788			0.0150131			0.0146288
-7.05478		-0.0395315			0.0270336			0.0293975			0.0136212			0.0122311
-7.04478		-0.042592			0.0237727			0.0278398			0.0122538			0.0098718
-7.03478		-0.0456116			0.0204465			0.0262021			0.010906			0.00755601
-7.02478		-0.048588			0.0170578			0.0244812			0.00957292			0.00528828
-7.01478		-0.0515191			0.0136095			0.022674			0.00824887			0.00307243
-7.00478		-0.0544024			0.0101048			0.0207776			0.006928			0.000911488
-6.99478		-0.0572357			0.00654683			0.0187897			0.0056041			-0.00119237
-6.98478		-0.0600167			0.0029391			0.016708			0.00427072			-0.00323781
-6.97478		-0.0627433			-0.000714837			0.0145304			0.00292113			-0.00522442
-6.96478		-0.065413			-0.00441125			0.0122556			0.00154846			-0.00715273
-6.95478		-0.0680238			-0.00814626			0.00988212			0.000145688			-0.00902421
-6.94478		-0.0705734			-0.0119159			0.00740919			-0.00129428			-0.0108413
-6.93478		-0.0730596			-0.0157159			0.00483627			-0.00277857			-0.0126072
-6.92478		-0.0754802			-0.0195421			0.00216322			-0.00431427			-0.0143264
-6.91478		-0.0778331			-0.0233901			-0.000609684			-0.0059084			-0.016004
-6.90478		-0.0801161			-0.0272553			-0.00348178			-0.00756783			-0.017646
-6.89478		-0.0823271			-0.031133			-0.00645199			-0.00929923			-0.0192593
