x		Using-Bernoulli			Actual
0.552802		0.600576		0.616968
0.562802		0.614172		0.63086
0.572802		0.627944		0.644929
0.582802		0.641899		0.659181
0.592802		0.656044		0.673622
0.602802		0.670384		0.688259
0.612802		0.684927		0.703098
0.622802		0.69968		0.718148
0.632802		0.714651		0.733416
0.642802		0.729847		0.748909
0.652802		0.745278		0.764636
0.662802		0.76095		0.780605
0.672802		0.776874		0.796826
0.682802		0.793059		0.813307
0.692802		0.809514		0.830058
0.702802		0.826249		0.84709
0.712802		0.843275		0.864413
0.722802		0.860603		0.882038
0.732802		0.878245		0.899977
0.742802		0.896213		0.918242
0.752802		0.91452		0.936845
0.762802		0.933178		0.9558
0.772802		0.952202		0.975121
0.782802		0.971607		0.994822
0.792802		0.991407		1.01492
0.802802		1.01162		1.03543
0.812802		1.03226		1.05637
0.822802		1.05335		1.07775
0.832802		1.07491		1.0996
0.842802		1.09695		1.12194
0.852802		1.11949		1.14479
0.862802		1.14257		1.16816
0.872802		1.1662		1.19209
0.882802		1.19041		1.21659
0.892802		1.21522		1.2417
0.902802		1.24066		1.26744
0.912802		1.26676		1.29384
0.922802		1.29356		1.32093
0.932802		1.32108		1.34874
0.942802		1.34936		1.37732
0.952802		1.37844		1.4067
0.962802		1.40835		1.43691
0.972802		1.43915		1.46801
0.982802		1.47088		1.50003
0.992802		1.50358		1.53303
1.0028		1.53731		1.56705
1.0128		1.57212		1.60216
1.0228		1.60807		1.63841
1.0328		1.64523		1.67587
1.0428		1.68367		1.7146
