beta		beta		tan(beta)
-23.4259		-23.4259		-7.30655
-23.4159		-23.4159		-6.79971
-23.4059		-23.4059		-6.35741
-23.3959		-23.3959		-5.96799
-23.3859		-23.3859		-5.62243
-23.3759		-23.3759		-5.31366
-23.3659		-23.3659		-5.03606
-23.3559		-23.3559		-4.78507
-23.3459		-23.3459		-4.557
-23.3359		-23.3359		-4.34882
-23.3259		-23.3259		-4.15799
-23.3159		-23.3159		-3.9824
-23.3059		-23.3059		-3.82026
-23.2959		-23.2959		-3.67004
-23.2859		-23.2859		-3.53047
-23.2759		-23.2759		-3.40042
-23.2659		-23.2659		-3.27891
-23.2559		-23.2559		-3.16513
-23.2459		-23.2459		-3.05833
-23.2359		-23.2359		-2.95786
-23.2259		-23.2259		-2.86317
-23.2159		-23.2159		-2.77375
-23.2059		-23.2059		-2.68916
-23.1959		-23.1959		-2.60899
-23.1859		-23.1859		-2.53291
-23.1759		-23.1759		-2.46058
-23.1659		-23.1659		-2.39173
-23.1559		-23.1559		-2.32609
-23.1459		-23.1459		-2.26344
-23.1359		-23.1359		-2.20356
-23.1259		-23.1259		-2.14627
-23.1159		-23.1159		-2.09138
-23.1059		-23.1059		-2.03874
-23.0959		-23.0959		-1.9882
-23.0859		-23.0859		-1.93964
-23.0759		-23.0759		-1.89292
-23.0659		-23.0659		-1.84794
-23.0559		-23.0559		-1.80459
-23.0459		-23.0459		-1.76278
-23.0359		-23.0359		-1.72241
-23.0259		-23.0259		-1.68342
-23.0159		-23.0159		-1.64571
-23.0059		-23.0059		-1.60923
-22.9959		-22.9959		-1.5739
-22.9859		-22.9859		-1.53966
-22.9759		-22.9759		-1.50647
-22.9659		-22.9659		-1.47426
-22.9559		-22.9559		-1.44298
-22.9459		-22.9459		-1.4126
-22.9359		-22.9359		-1.38306
-22.9259		-22.9259		-1.35433
-22.9159		-22.9159		-1.32636
-22.9059		-22.9059		-1.29913
-22.8959		-22.8959		-1.2726
-22.8859		-22.8859		-1.24673
-22.8759		-22.8759		-1.2215
-22.8659		-22.8659		-1.19688
-22.8559		-22.8559		-1.17284
-22.8459		-22.8459		-1.14936
-22.8359		-22.8359		-1.12641
-22.8259		-22.8259		-1.10398
-22.8159		-22.8159		-1.08203
-22.8059		-22.8059		-1.06056
-22.7959		-22.7959		-1.03953
-22.7859		-22.7859		-1.01894
-22.7759		-22.7759		-0.99876
-22.7659		-22.7659		-0.978982
-22.7559		-22.7559		-0.959587
-22.7459		-22.7459		-0.940561
-22.7359		-22.7359		-0.921889
-22.7259		-22.7259		-0.903559
-22.7159		-22.7159		-0.885557
-22.7059		-22.7059		-0.867871
-22.6959		-22.6959		-0.850489
-22.6859		-22.6859		-0.833401
-22.6759		-22.6759		-0.816595
-22.6659		-22.6659		-0.800061
-22.6559		-22.6559		-0.783789
-22.6459		-22.6459		-0.767771
-22.6359		-22.6359		-0.751997
-22.6259		-22.6259		-0.736458
-22.6159		-22.6159		-0.721147
-22.6059		-22.6059		-0.706055
-22.5959		-22.5959		-0.691174
-22.5859		-22.5859		-0.676498
-22.5759		-22.5759		-0.662019
-22.5659		-22.5659		-0.64773
-22.5559		-22.5559		-0.633626
-22.5459		-22.5459		-0.619699
-22.5359		-22.5359		-0.605943
-22.5259		-22.5259		-0.592353
-22.5159		-22.5159		-0.578924
-22.5059		-22.5059		-0.565648
-22.4959		-22.4959		-0.552523
-22.4859		-22.4859		-0.539541
-22.4759		-22.4759		-0.526699
-22.4659		-22.4659		-0.513991
-22.4559		-22.4559		-0.501414
-22.4459		-22.4459		-0.488962
-22.4359		-22.4359		-0.476631
-22.4259		-22.4259		-0.464417
-22.4159		-22.4159		-0.452316
-22.4059		-22.4059		-0.440324
-22.3959		-22.3959		-0.428437
-22.3859		-22.3859		-0.416651
-22.3759		-22.3759		-0.404964
-22.3659		-22.3659		-0.39337
-22.3559		-22.3559		-0.381868
-22.3459		-22.3459		-0.370453
-22.3359		-22.3359		-0.359122
-22.3259		-22.3259		-0.347872
-22.3159		-22.3159		-0.336701
-22.3059		-22.3059		-0.325604
-22.2959		-22.2959		-0.314579
-22.2859		-22.2859		-0.303624
-22.2759		-22.2759		-0.292735
-22.2659		-22.2659		-0.281909
-22.2559		-22.2559		-0.271144
-22.2459		-22.2459		-0.260438
-22.2359		-22.2359		-0.249787
-22.2259		-22.2259		-0.239189
-22.2159		-22.2159		-0.228642
-22.2059		-22.2059		-0.218143
-22.1959		-22.1959		-0.207689
-22.1859		-22.1859		-0.197279
-22.1759		-22.1759		-0.18691
-22.1659		-22.1659		-0.17658
-22.1559		-22.1559		-0.166286
-22.1459		-22.1459		-0.156026
-22.1359		-22.1359		-0.145798
-22.1259		-22.1259		-0.1356
-22.1159		-22.1159		-0.12543
-22.1059		-22.1059		-0.115285
-22.0959		-22.0959		-0.105163
-22.0859		-22.0859		-0.0950628
-22.0759		-22.0759		-0.0849817
-22.0659		-22.0659		-0.0749177
-22.0559		-22.0559		-0.0648687
-22.0459		-22.0459		-0.0548328
-22.0359		-22.0359		-0.0448079
-22.0259		-22.0259		-0.034792
-22.0159		-22.0159		-0.024783
-22.0059		-22.0059		-0.014779
-21.9959		-21.9959		-0.004778
-21.9859		-21.9859		0.00522209
-21.9759		-21.9759		0.0152232
-21.9659		-21.9659		0.0252274
-21.9559		-21.9559		0.0352366
-21.9459		-21.9459		0.0452529
-21.9359		-21.9359		0.0552782
-21.9259		-21.9259		0.0653147
-21.9159		-21.9159		0.0753642
-21.9059		-21.9059		0.085429
-21.8959		-21.8959		0.0955109
-21.8859		-21.8859		0.105612
-21.8759		-21.8759		0.115735
-21.8659		-21.8659		0.125881
-21.8559		-21.8559		0.136052
-21.8459		-21.8459		0.146252
-21.8359		-21.8359		0.156481
-21.8259		-21.8259		0.166742
-21.8159		-21.8159		0.177038
-21.8059		-21.8059		0.18737
-21.7959		-21.7959		0.197741
-21.7859		-21.7859		0.208152
-21.7759		-21.7759		0.218608
-21.7659		-21.7659		0.229109
-21.7559		-21.7559		0.239658
-21.7459		-21.7459		0.250259
-21.7359		-21.7359		0.260912
-21.7259		-21.7259		0.271621
-21.7159		-21.7159		0.282388
-21.7059		-21.7059		0.293217
-21.6959		-21.6959		0.304109
-21.6859		-21.6859		0.315067
-21.6759		-21.6759		0.326095
-21.6659		-21.6659		0.337195
-21.6559		-21.6559		0.34837
-21.6459		-21.6459		0.359623
-21.6359		-21.6359		0.370958
-21.6259		-21.6259		0.382377
-21.6159		-21.6159		0.393883
-21.6059		-21.6059		0.405481
-21.5959		-21.5959		0.417172
-21.5859		-21.5859		0.428962
-21.5759		-21.5759		0.440854
-21.5659		-21.5659		0.452851
-21.5559		-21.5559		0.464957
-21.5459		-21.5459		0.477176
-21.5359		-21.5359		0.489512
-21.5259		-21.5259		0.50197
-21.5159		-21.5159		0.514553
-21.5059		-21.5059		0.527266
-21.4959		-21.4959		0.540115
-21.4859		-21.4859		0.553102
-21.4759		-21.4759		0.566235
-21.4659		-21.4659		0.579517
-21.4559		-21.4559		0.592953
-21.4459		-21.4459		0.60655
-21.4359		-21.4359		0.620313
-21.4259		-21.4259		0.634248
-21.4159		-21.4159		0.648361
-21.4059		-21.4059		0.662658
-21.3959		-21.3959		0.677145
-21.3859		-21.3859		0.691831
-21.3759		-21.3759		0.70672
-21.3659		-21.3659		0.721822
-21.3559		-21.3559		0.737143
-21.3459		-21.3459		0.752692
-21.3359		-21.3359		0.768477
-21.3259		-21.3259		0.784507
-21.3159		-21.3159		0.800789
-21.3059		-21.3059		0.817335
-21.2959		-21.2959		0.834153
-21.2859		-21.2859		0.851255
-21.2759		-21.2759		0.86865
-21.2659		-21.2659		0.88635
-21.2559		-21.2559		0.904366
-21.2459		-21.2459		0.922711
-21.2359		-21.2359		0.941398
-21.2259		-21.2259		0.960441
-21.2159		-21.2159		0.979852
-21.2059		-21.2059		0.999648
-21.1959		-21.1959		1.01984
-21.1859		-21.1859		1.04046
-21.1759		-21.1759		1.0615
-21.1659		-21.1659		1.083
-21.1559		-21.1559		1.10496
-21.1459		-21.1459		1.12742
-21.1359		-21.1359		1.15039
-21.1259		-21.1259		1.1739
-21.1159		-21.1159		1.19796
-21.1059		-21.1059		1.22261
-21.0959		-21.0959		1.24787
-21.0859		-21.0859		1.27376
-21.0759		-21.0759		1.30033
-21.0659		-21.0659		1.32759
-21.0559		-21.0559		1.35559
-21.0459		-21.0459		1.38436
-21.0359		-21.0359		1.41393
-21.0259		-21.0259		1.44435
-21.0159		-21.0159		1.47567
-21.0059		-21.0059		1.50792
-20.9959		-20.9959		1.54116
-20.9859		-20.9859		1.57544
-20.9759		-20.9759		1.61082
-20.9659		-20.9659		1.64736
-20.9559		-20.9559		1.68512
-20.9459		-20.9459		1.72418
-20.9359		-20.9359		1.7646
-20.9259		-20.9259		1.80648
-20.9159		-20.9159		1.8499
-20.9059		-20.9059		1.89496
-20.8959		-20.8959		1.94175
-20.8859		-20.8859		1.9904
-20.8759		-20.8759		2.04103
-20.8659		-20.8659		2.09377
-20.8559		-20.8559		2.14876
-20.8459		-20.8459		2.20617
-20.8359		-20.8359		2.26616
-20.8259		-20.8259		2.32894
-20.8159		-20.8159		2.39472
-20.8059		-20.8059		2.46372
-20.7959		-20.7959		2.5362
-20.7859		-20.7859		2.61246
-20.7759		-20.7759		2.69282
-20.7659		-20.7659		2.77761
-20.7559		-20.7559		2.86726
-20.7459		-20.7459		2.9622
-20.7359		-20.7359		3.06293
-20.7259		-20.7259		3.17003
-20.7159		-20.7159		3.28414
-20.7059		-20.7059		3.406
-20.6959		-20.6959		3.53646
-20.6859		-20.6859		3.67648
-20.6759		-20.6759		3.82719
-20.6659		-20.6659		3.9899
-20.6559		-20.6559		4.16613
-20.6459		-20.6459		4.35768
-20.6359		-20.6359		4.56669
-20.6259		-20.6259		4.7957
-20.6159		-20.6159		5.04779
-20.6059		-20.6059		5.32668
-20.5959		-20.5959		5.63695
-20.5859		-20.5859		5.98429
-20.5759		-20.5759		6.37586
-20.5659		-20.5659		6.82075
-20.5559		-20.5559		7.33078
-20.5459		-20.5459		7.92151
-20.5359		-20.5359		8.61388
-20.5259		-20.5259		9.43679
-20.5159		-20.5159		10.4312
-20.5059		-20.5059		11.6572
-20.4959		-20.4959		13.2068
-20.4859		-20.4859		15.228
-20.4759		-20.4759		17.9754
-20.4659		-20.4659		21.927
-20.4559		-20.4559		28.0983
-20.4459		-20.4459		39.0932
-20.4359		-20.4359		64.2032
-20.4259		-20.4259		179.393
-20.4159		-20.4159		-225.951
-20.4059		-20.4059		-69.3159
-20.3959		-20.3959		-40.9323
-20.3859		-20.3859		-29.0366
-20.3759		-20.3759		-22.4947
-20.3659		-20.3659		-18.3555
-20.3559		-20.3559		-15.5003
-20.3459		-20.3459		-13.4114
-20.3359		-20.3359		-11.8166
-20.3259		-20.3259		-10.5588
-20.3159		-20.3159		-9.54135
-20.3059		-20.3059		-8.70112
-20.2959		-20.2959		-7.99541
-20.2859		-20.2859		-7.39419
-20.2759		-20.2759		-6.87577
-20.2659		-20.2659		-6.42405
-20.2559		-20.2559		-6.02687
-20.2459		-20.2459		-5.67484
-20.2359		-20.2359		-5.36062
-20.2259		-20.2259		-5.07838
-20.2159		-20.2159		-4.82342
-20.2059		-20.2059		-4.59192
-20.1959		-20.1959		-4.38076
-20.1859		-20.1859		-4.18731
-20.1759		-20.1759		-4.00942
-20.1659		-20.1659		-3.84524
-20.1559		-20.1559		-3.69322
-20.1459		-20.1459		-3.55204
-20.1359		-20.1359		-3.42053
-20.1259		-20.1259		-3.29773
-20.1159		-20.1159		-3.18277
-20.1059		-20.1059		-3.0749
-20.0959		-20.0959		-2.97346
-20.0859		-20.0859		-2.87789
-20.0759		-20.0759		-2.78766
-20.0659		-20.0659		-2.70232
-20.0559		-20.0559		-2.62148
-20.0459		-20.0459		-2.54477
-20.0359		-20.0359		-2.47186
-20.0259		-20.0259		-2.40247
-20.0159		-20.0159		-2.33634
-20.0059		-20.0059		-2.27323
-19.9959		-19.9959		-2.21292
-19.9859		-19.9859		-2.15523
-19.9759		-19.9759		-2.09996
-19.9659		-19.9659		-2.04698
-19.9559		-19.9559		-1.99612
-19.9459		-19.9459		-1.94724
-19.9359		-19.9359		-1.90024
-19.9259		-19.9259		-1.85499
-19.9159		-19.9159		-1.81139
-19.9059		-19.9059		-1.76934
-19.8959		-19.8959		-1.72875
-19.8859		-19.8859		-1.68954
-19.8759		-19.8759		-1.65163
-19.8659		-19.8659		-1.61496
-19.8559		-19.8559		-1.57945
-19.8459		-19.8459		-1.54505
-19.8359		-19.8359		-1.51169
-19.8259		-19.8259		-1.47932
-19.8159		-19.8159		-1.4479
-19.8059		-19.8059		-1.41738
-19.7959		-19.7959		-1.38771
-19.7859		-19.7859		-1.35885
-19.7759		-19.7759		-1.33077
-19.7659		-19.7659		-1.30342
-19.7559		-19.7559		-1.27678
-19.7459		-19.7459		-1.25081
-19.7359		-19.7359		-1.22548
-19.7259		-19.7259		-1.20076
-19.7159		-19.7159		-1.17663
-19.7059		-19.7059		-1.15307
-19.6959		-19.6959		-1.13003
-19.6859		-19.6859		-1.10752
-19.6759		-19.6759		-1.0855
-19.6659		-19.6659		-1.06395
-19.6559		-19.6559		-1.04285
-19.6459		-19.6459		-1.02219
-19.6359		-19.6359		-1.00195
-19.6259		-19.6259		-0.982106
-19.6159		-19.6159		-0.962651
-19.6059		-19.6059		-0.943567
-19.5959		-19.5959		-0.92484
-19.5859		-19.5859		-0.906456
-19.5759		-19.5759		-0.888403
-19.5659		-19.5659		-0.870667
-19.5559		-19.5559		-0.853238
-19.5459		-19.5459		-0.836103
-19.5359		-19.5359		-0.819253
-19.5259		-19.5259		-0.802676
-19.5159		-19.5159		-0.786364
-19.5059		-19.5059		-0.770306
-19.4959		-19.4959		-0.754493
-19.4859		-19.4859		-0.738918
-19.4759		-19.4759		-0.723571
-19.4659		-19.4659		-0.708444
-19.4559		-19.4559		-0.69353
-19.4459		-19.4459		-0.678822
-19.4359		-19.4359		-0.664312
-19.4259		-19.4259		-0.649993
-19.4159		-19.4159		-0.63586
-19.4059		-19.4059		-0.621905
-19.3959		-19.3959		-0.608123
-19.3859		-19.3859		-0.594507
-19.3759		-19.3759		-0.581052
-19.3659		-19.3659		-0.567753
-19.3559		-19.3559		-0.554603
-19.3459		-19.3459		-0.541599
-19.3359		-19.3359		-0.528735
-19.3259		-19.3259		-0.516006
-19.3159		-19.3159		-0.503408
-19.3059		-19.3059		-0.490937
-19.2959		-19.2959		-0.478587
-19.2859		-19.2859		-0.466354
-19.2759		-19.2759		-0.454236
-19.2659		-19.2659		-0.442226
-19.2559		-19.2559		-0.430323
-19.2459		-19.2459		-0.418522
-19.2359		-19.2359		-0.406819
-19.2259		-19.2259		-0.39521
-19.2159		-19.2159		-0.383694
-19.2059		-19.2059		-0.372265
-19.1959		-19.1959		-0.360921
-19.1859		-19.1859		-0.349659
-19.1759		-19.1759		-0.338475
-19.1659		-19.1659		-0.327366
-19.1559		-19.1559		-0.31633
-19.1459		-19.1459		-0.305364
-19.1359		-19.1359		-0.294464
-19.1259		-19.1259		-0.283629
-19.1159		-19.1159		-0.272855
-19.1059		-19.1059		-0.262139
-19.0959		-19.0959		-0.251479
-19.0859		-19.0859		-0.240873
-19.0759		-19.0759		-0.230318
-19.0659		-19.0659		-0.219812
-19.0559		-19.0559		-0.209351
-19.0459		-19.0459		-0.198934
-19.0359		-19.0359		-0.188559
-19.0259		-19.0259		-0.178222
-19.0159		-19.0159		-0.167923
-19.0059		-19.0059		-0.157658
-18.9959		-18.9959		-0.147425
-18.9859		-18.9859		-0.137222
-18.9759		-18.9759		-0.127048
-18.9659		-18.9659		-0.116899
-18.9559		-18.9559		-0.106774
-18.9459		-18.9459		-0.0966701
-18.9359		-18.9359		-0.086586
-18.9259		-18.9259		-0.0765194
-18.9159		-18.9159		-0.0664682
-18.9059		-18.9059		-0.0564304
-18.8959		-18.8959		-0.0464039
-18.8859		-18.8859		-0.0363867
-18.8759		-18.8759		-0.0263767
-18.8659		-18.8659		-0.0163721
-18.8559		-18.8559		-0.0063707
-18.8459		-18.8459		0.0036294
-18.8359		-18.8359		0.0136302
-18.8259		-18.8259		0.0236338
-18.8159		-18.8159		0.0336421
-18.8059		-18.8059		0.0436571
-18.7959		-18.7959		0.0536809
-18.7859		-18.7859		0.0637154
-18.7759		-18.7759		0.0737627
-18.7659		-18.7659		0.0838249
-18.7559		-18.7559		0.0939039
-18.7459		-18.7459		0.104002
-18.7359		-18.7359		0.114121
-18.7259		-18.7259		0.124263
-18.7159		-18.7159		0.134431
-18.7059		-18.7059		0.144625
-18.6959		-18.6959		0.15485
-18.6859		-18.6859		0.165106
-18.6759		-18.6759		0.175395
-18.6659		-18.6659		0.185722
-18.6559		-18.6559		0.196086
-18.6459		-18.6459		0.206491
-18.6359		-18.6359		0.21694
-18.6259		-18.6259		0.227433
-18.6159		-18.6159		0.237975
-18.6059		-18.6059		0.248567
-18.5959		-18.5959		0.259212
-18.5859		-18.5859		0.269912
-18.5759		-18.5759		0.280669
-18.5659		-18.5659		0.291488
-18.5559		-18.5559		0.30237
-18.5459		-18.5459		0.313317
-18.5359		-18.5359		0.324334
-18.5259		-18.5259		0.335422
-18.5159		-18.5159		0.346585
-18.5059		-18.5059		0.357826
-18.4959		-18.4959		0.369147
-18.4859		-18.4859		0.380552
-18.4759		-18.4759		0.392044
-18.4659		-18.4659		0.403627
-18.4559		-18.4559		0.415304
-18.4459		-18.4459		0.427078
-18.4359		-18.4359		0.438953
-18.4259		-18.4259		0.450933
-18.4159		-18.4159		0.463021
-18.4059		-18.4059		0.475222
-18.3959		-18.3959		0.487539
-18.3859		-18.3859		0.499977
-18.3759		-18.3759		0.51254
-18.3659		-18.3659		0.525233
-18.3559		-18.3559		0.538059
-18.3459		-18.3459		0.551024
-18.3359		-18.3359		0.564133
-18.3259		-18.3259		0.577391
-18.3159		-18.3159		0.590803
-18.3059		-18.3059		0.604374
-18.2959		-18.2959		0.61811
-18.2859		-18.2859		0.632017
-18.2759		-18.2759		0.646101
-18.2659		-18.2659		0.660368
-18.2559		-18.2559		0.674825
-18.2459		-18.2459		0.689478
-18.2359		-18.2359		0.704335
-18.2259		-18.2259		0.719402
-18.2159		-18.2159		0.734688
-18.2059		-18.2059		0.7502
-18.1959		-18.1959		0.765947
-18.1859		-18.1859		0.781937
-18.1759		-18.1759		0.798179
-18.1659		-18.1659		0.814682
-18.1559		-18.1559		0.831456
-18.1459		-18.1459		0.848512
-18.1359		-18.1359		0.865859
-18.1259		-18.1259		0.88351
-18.1159		-18.1159		0.901475
-18.1059		-18.1059		0.919767
-18.0959		-18.0959		0.938399
-18.0859		-18.0859		0.957383
-18.0759		-18.0759		0.976735
-18.0659		-18.0659		0.996469
-18.0559		-18.0559		1.0166
-18.0459		-18.0459		1.03714
-18.0359		-18.0359		1.05812
-18.0259		-18.0259		1.07954
-18.0159		-18.0159		1.10143
-18.0059		-18.0059		1.12381
-17.9959		-17.9959		1.1467
-17.9859		-17.9859		1.17012
-17.9759		-17.9759		1.19409
-17.9659		-17.9659		1.21864
-17.9559		-17.9559		1.2438
-17.9459		-17.9459		1.26959
-17.9359		-17.9359		1.29605
-17.9259		-17.9259		1.3232
-17.9159		-17.9159		1.35108
-17.9059		-17.9059		1.37972
-17.8959		-17.8959		1.40916
-17.8859		-17.8859		1.43945
-17.8759		-17.8759		1.47062
-17.8659		-17.8659		1.50272
-17.8559		-17.8559		1.5358
-17.8459		-17.8459		1.56991
-17.8359		-17.8359		1.60511
-17.8259		-17.8259		1.64146
-17.8159		-17.8159		1.67902
-17.8059		-17.8059		1.71787
-17.7959		-17.7959		1.75807
-17.7859		-17.7859		1.79971
-17.7759		-17.7759		1.84288
-17.7659		-17.7659		1.88767
-17.7559		-17.7559		1.93418
-17.7459		-17.7459		1.98253
-17.7359		-17.7359		2.03283
-17.7259		-17.7259		2.08522
-17.7159		-17.7159		2.13984
-17.7059		-17.7059		2.19685
-17.6959		-17.6959		2.25643
-17.6859		-17.6859		2.31875
-17.6759		-17.6759		2.38403
-17.6659		-17.6659		2.4525
-17.6559		-17.6559		2.52441
-17.6459		-17.6459		2.60005
-17.6359		-17.6359		2.67973
-17.6259		-17.6259		2.7638
-17.6159		-17.6159		2.85264
-17.6059		-17.6059		2.9467
-17.5959		-17.5959		3.04648
-17.5859		-17.5859		3.15252
-17.5759		-17.5759		3.26547
-17.5659		-17.5659		3.38604
-17.5559		-17.5559		3.51507
-17.5459		-17.5459		3.6535
-17.5359		-17.5359		3.80242
-17.5259		-17.5259		3.96312
-17.5159		-17.5159		4.13709
-17.5059		-17.5059		4.32606
-17.4959		-17.4959		4.53213
-17.4859		-17.4859		4.75777
-17.4759		-17.4759		5.00595
-17.4659		-17.4659		5.28029
-17.4559		-17.4559		5.58521
-17.4459		-17.4459		5.92622
-17.4359		-17.4359		6.31019
-17.4259		-17.4259		6.74588
-17.4159		-17.4159		7.24461
-17.4059		-17.4059		7.82124
-17.3959		-17.3959		8.49574
-17.3859		-17.3859		9.29549
-17.3759		-17.3759		10.2592
-17.3659		-17.3659		11.4432
-17.3559		-17.3559		12.9332
-17.3459		-17.3459		14.8659
-17.3359		-17.3359		17.4736
-17.3259		-17.3259		21.1856
-17.3159		-17.3159		26.8932
-17.3059		-17.3059		36.8004
-17.2959		-17.2959		58.2458
-17.2859		-17.2859		139.527
-17.2759		-17.2759		-352.974
-17.2659		-17.2659		-77.9195
-17.2559		-17.2559		-43.7885
-17.2459		-17.2459		-30.4462
-17.2359		-17.2359		-23.3322
-17.2259		-17.2259		-18.9099
-17.2159		-17.2159		-15.8942
-17.2059		-17.2059		-13.7057
-17.1959		-17.1959		-12.0449
-17.1859		-17.1859		-10.7411
-17.1759		-17.1759		-9.6902
-17.1659		-17.1659		-8.82501
-17.1559		-17.1559		-8.10015
-17.1459		-17.1459		-7.48392
-17.1359		-17.1359		-6.9535
-17.1259		-17.1259		-6.49206
-17.1159		-17.1159		-6.08689
-17.1059		-17.1059		-5.7282
-17.0959		-17.0959		-5.40839
-17.0859		-17.0859		-5.1214
-17.0759		-17.0759		-4.86237
-17.0659		-17.0659		-4.62736
-17.0559		-17.0559		-4.41314
-17.0459		-17.0459		-4.21703
-17.0359		-17.0359		-4.03679
-17.0259		-17.0259		-3.87054
-17.0159		-17.0159		-3.71668
-17.0059		-17.0059		-3.57385
-16.9959		-16.9959		-3.44087
-16.9859		-16.9859		-3.31674
-16.9759		-16.9759		-3.20058
-16.9659		-16.9659		-3.09163
-16.9559		-16.9559		-2.98921
-16.9459		-16.9459		-2.89274
-16.9359		-16.9359		-2.80169
-16.9259		-16.9259		-2.7156
-16.9159		-16.9159		-2.63407
-16.9059		-16.9059		-2.55672
-16.8959		-16.8959		-2.48323
-16.8859		-16.8859		-2.4133
-16.8759		-16.8759		-2.34666
-16.8659		-16.8659		-2.28309
-16.8559		-16.8559		-2.22235
-16.8459		-16.8459		-2.16425
-16.8359		-16.8359		-2.10861
-16.8259		-16.8259		-2.05527
-16.8159		-16.8159		-2.00408
-16.8059		-16.8059		-1.9549
-16.7959		-16.7959		-1.90761
-16.7859		-16.7859		-1.86208
-16.7759		-16.7759		-1.81823
-16.7659		-16.7659		-1.77593
-16.7559		-16.7559		-1.73512
-16.7459		-16.7459		-1.69569
-16.7359		-16.7359		-1.65759
-16.7259		-16.7259		-1.62072
-16.7159		-16.7159		-1.58503
-16.7059		-16.7059		-1.55045
-16.6959		-16.6959		-1.51693
-16.6859		-16.6859		-1.48441
-16.6759		-16.6759		-1.45285
-16.6659		-16.6659		-1.42218
-16.6559		-16.6559		-1.39238
-16.6459		-16.6459		-1.3634
-16.6359		-16.6359		-1.33519
-16.6259		-16.6259		-1.30773
-16.6159		-16.6159		-1.28098
-16.6059		-16.6059		-1.2549
-16.5959		-16.5959		-1.22947
-16.5859		-16.5859		-1.20466
-16.5759		-16.5759		-1.18044
-16.5659		-16.5659		-1.15678
-16.5559		-16.5559		-1.13367
-16.5459		-16.5459		-1.11107
-16.5359		-16.5359		-1.08897
-16.5259		-16.5259		-1.06735
-16.5159		-16.5159		-1.04618
-16.5059		-16.5059		-1.02545
-16.4959		-16.4959		-1.00514
-16.4859		-16.4859		-0.98524
-16.4759		-16.4759		-0.965724
-16.4659		-16.4659		-0.946582
-16.4559		-16.4559		-0.927799
-16.4459		-16.4459		-0.909362
-16.4359		-16.4359		-0.891256
-16.4259		-16.4259		-0.873471
-16.4159		-16.4159		-0.855993
-16.4059		-16.4059		-0.838813
-16.3959		-16.3959		-0.821918
-16.3859		-16.3859		-0.805298
-16.3759		-16.3759		-0.788944
-16.3659		-16.3659		-0.772847
-16.3559		-16.3559		-0.756996
-16.3459		-16.3459		-0.741383
-16.3359		-16.3359		-0.726
-16.3259		-16.3259		-0.710839
-16.3159		-16.3159		-0.695892
-16.3059		-16.3059		-0.681151
-16.2959		-16.2959		-0.66661
-16.2859		-16.2859		-0.652261
-16.2759		-16.2759		-0.638099
-16.2659		-16.2659		-0.624116
-16.2559		-16.2559		-0.610306
-16.2459		-16.2459		-0.596664
-16.2359		-16.2359		-0.583184
-16.2259		-16.2259		-0.569861
-16.2159		-16.2159		-0.556688
-16.2059		-16.2059		-0.543661
-16.1959		-16.1959		-0.530775
-16.1859		-16.1859		-0.518025
-16.1759		-16.1759		-0.505406
-16.1659		-16.1659		-0.492915
-16.1559		-16.1559		-0.480546
-16.1459		-16.1459		-0.468295
-16.1359		-16.1359		-0.456158
-16.1259		-16.1259		-0.444132
-16.1159		-16.1159		-0.432212
-16.1059		-16.1059		-0.420394
-16.0959		-16.0959		-0.408676
-16.0859		-16.0859		-0.397053
-16.0759		-16.0759		-0.385522
-16.0659		-16.0659		-0.374079
-16.0559		-16.0559		-0.362722
-16.0459		-16.0459		-0.351447
-16.0359		-16.0359		-0.340251
-16.0259		-16.0259		-0.329131
-16.0159		-16.0159		-0.318083
-16.0059		-16.0059		-0.307106
-15.9959		-15.9959		-0.296196
-15.9859		-15.9859		-0.28535
-15.9759		-15.9759		-0.274567
-15.9659		-15.9659		-0.263842
-15.9559		-15.9559		-0.253174
-15.9459		-15.9459		-0.242559
-15.9359		-15.9359		-0.231996
-15.9259		-15.9259		-0.221482
-15.9159		-15.9159		-0.211014
-15.9059		-15.9059		-0.20059
-15.8959		-15.8959		-0.190209
-15.8859		-15.8859		-0.179866
-15.8759		-15.8759		-0.169561
-15.8659		-15.8659		-0.15929
-15.8559		-15.8559		-0.149053
-15.8459		-15.8459		-0.138845
-15.8359		-15.8359		-0.128666
-15.8259		-15.8259		-0.118513
-15.8159		-15.8159		-0.108385
-15.8059		-15.8059		-0.0982779
-15.7959		-15.7959		-0.0881908
-15.7859		-15.7859		-0.0781216
-15.7759		-15.7759		-0.0680681
-15.7659		-15.7659		-0.0580283
-15.7559		-15.7559		-0.0480001
-15.7459		-15.7459		-0.0379815
-15.7359		-15.7359		-0.0279706
-15.7259		-15.7259		-0.0179652
-15.7159		-15.7159		-0.00796344
-15.7059		-15.7059		0.00203673
-15.6959		-15.6959		0.0120373
-15.6859		-15.6859		0.0220403
-15.6759		-15.6759		0.0320477
-15.6659		-15.6659		0.0420615
-15.6559		-15.6559		0.0520838
-15.6459		-15.6459		0.0621164
-15.6359		-15.6359		0.0721616
-15.6259		-15.6259		0.0822213
-15.6159		-15.6159		0.0922975
-15.6059		-15.6059		0.102392
-15.5959		-15.5959		0.112508
-15.5859		-15.5859		0.122646
-15.5759		-15.5759		0.132809
-15.5659		-15.5659		0.143
-15.5559		-15.5559		0.153219
-15.5459		-15.5459		0.16347
-15.5359		-15.5359		0.173754
-15.5259		-15.5259		0.184074
-15.5159		-15.5159		0.194433
-15.5059		-15.5059		0.204831
