Time		Angular_Position		Angular_Velocity
1.83		-0.159528		0.858588
1.84		-0.150786		0.874222
1.85		-0.141896		0.888999
1.86		-0.132867		0.902905
1.87		-0.123708		0.915926
1.88		-0.114427		0.928049
1.89		-0.105035		0.939263
1.9		-0.0955392		0.949556
1.91		-0.08595		0.958919
1.92		-0.0762766		0.967342
1.93		-0.0665284		0.974818
1.94		-0.0567151		0.981337
1.95		-0.0468461		0.986895
1.96		-0.0369313		0.991486
1.97		-0.0269802		0.995106
1.98		-0.0170027		0.99775
1.99		-0.00700854		0.999416
2		0.00299248		1.0001
2.01		0.0129906		0.999809
2.02		0.0229759		0.998536
2.03		0.0329388		0.996285
2.04		0.0428694		0.993057
2.05		0.0527579		0.988856
2.06		0.0625948		0.983685
2.07		0.0723703		0.977551
2.08		0.0820749		0.970459
2.09		0.091699		0.962415
2.1		0.101233		0.953429
2.11		0.110668		0.943508
2.12		0.119995		0.932663
2.13		0.129204		0.920903
2.14		0.138286		0.908241
2.15		0.147233		0.894689
2.16		0.156036		0.88026
2.17		0.164686		0.864969
2.18		0.173174		0.848829
2.19		0.181493		0.831858
2.2		0.189633		0.814072
2.21		0.197588		0.795488
2.22		0.205349		0.776124
2.23		0.212909		0.756
2.24		0.220261		0.735135
2.25		0.227396		0.713549
2.26		0.234309		0.691265
2.27		0.240992		0.668302
2.28		0.247439		0.644685
2.29		0.253643		0.620436
2.3		0.259599		0.595579
2.31		0.2653		0.570138
2.32		0.270742		0.544139
2.33		0.275918		0.517606
2.34		0.280823		0.490566
2.35		0.285454		0.463046
2.36		0.289805		0.435071
2.37		0.293871		0.40667
2.38		0.29765		0.377871
2.39		0.301137		0.348701
2.4		0.304329		0.31919
2.41		0.307223		0.289366
2.42		0.309815		0.259258
2.43		0.312104		0.228896
2.44		0.314087		0.19831
2.45		0.315762		0.167529
2.46		0.317128		0.136585
2.47		0.318183		0.105506
2.48		0.318927		0.074324
2.49		0.319357		0.0430692
2.5		0.319475		0.0117722
2.51		0.31928		-0.0195364
2.52		0.318771		-0.0508258
2.53		0.317951		-0.0820654
2.54		0.316818		-0.113225
2.55		0.315376		-0.144273
2.56		0.313624		-0.17518
2.57		0.311565		-0.205915
2.58		0.3092		-0.236448
2.59		0.306533		-0.26675
2.6		0.303565		-0.29679
2.61		0.3003		-0.326539
2.62		0.29674		-0.355969
2.63		0.292889		-0.385049
2.64		0.288752		-0.413752
2.65		0.284331		-0.44205
2.66		0.279632		-0.469914
2.67		0.274659		-0.497318
2.68		0.269417		-0.524235
2.69		0.26391		-0.550638
2.7		0.258145		-0.576501
2.71		0.252127		-0.601799
2.72		0.245862		-0.626508
2.73		0.239356		-0.650602
2.74		0.232616		-0.674059
2.75		0.225647		-0.696856
2.76		0.218457		-0.718969
2.77		0.211054		-0.740378
2.78		0.203443		-0.761061
2.79		0.195633		-0.780998
2.8		0.187631		-0.80017
2.81		0.179446		-0.818558
2.82		0.171084		-0.836144
2.83		0.162555		-0.85291
2.84		0.153867		-0.868841
2.85		0.145028		-0.88392
2.86		0.136046		-0.898132
2.87		0.126932		-0.911465
2.88		0.117693		-0.923904
2.89		0.108338		-0.935438
2.9		0.0988776		-0.946055
2.91		0.0893202		-0.955745
2.92		0.0796752		-0.964498
2.93		0.0699521		-0.972307
2.94		0.0601605		-0.979162
2.95		0.0503099		-0.985058
2.96		0.04041		-0.989988
2.97		0.0304705		-0.993948
2.98		0.0205012		-0.996934
2.99		0.0105118		-0.998943
3		0.000512025		-0.999974
3.01		-0.00948821		-1.00002
3.02		-0.0194792		-0.999094
3.03		-0.029451		-0.997185
3.04		-0.039394		-0.994299
3.05		-0.0492984		-0.990438
3.06		-0.0591544		-0.985607
3.07		-0.0689525		-0.97981
3.08		-0.0786831		-0.973052
3.09		-0.0883365		-0.965342
3.1		-0.0979033		-0.956685
3.11		-0.107374		-0.94709
3.12		-0.11674		-0.936567
3.13		-0.125991		-0.925127
3.14		-0.135119		-0.91278
3.15		-0.144114		-0.899538
3.16		-0.152968		-0.885415
3.17		-0.161673		-0.870424
3.18		-0.170219		-0.85458
3.19		-0.178598		-0.837899
3.2		-0.186801		-0.820396
3.21		-0.194822		-0.802089
3.22		-0.202652		-0.782997
3.23		-0.210284		-0.763137
3.24		-0.217709		-0.742529
3.25		-0.224921		-0.721194
3.26		-0.231912		-0.699151
3.27		-0.238677		-0.676424
3.28		-0.245207		-0.653034
3.29		-0.251497		-0.629003
3.3		-0.257541		-0.604357
3.31		-0.263332		-0.579118
3.32		-0.268865		-0.553311
3.33		-0.274135		-0.526962
3.34		-0.279136		-0.500097
3.35		-0.283863		-0.472742
3.36		-0.288312		-0.444923
3.37		-0.292479		-0.416669
3.38		-0.296359		-0.388006
3.39		-0.299949		-0.358963
3.4		-0.303244		-0.329568
3.41		-0.306243		-0.29985
3.42		-0.308941		-0.269838
3.43		-0.311337		-0.239562
3.44		-0.313427		-0.209051
3.45		-0.315211		-0.178335
3.46		-0.316685		-0.147444
3.47		-0.317849		-0.116409
3.48		-0.318702		-0.0852599
3.49		-0.319242		-0.0540272
3.5		-0.319469		-0.0227415
3.51		-0.319384		0.00856654
3.52		-0.318985		0.0398661
3.53		-0.318274		0.0711267
3.54		-0.317251		0.102318
3.55		-0.315917		0.133408
3.56		-0.314273		0.164368
3.57		-0.312321		0.195167
3.58		-0.310063		0.225774
3.59		-0.307502		0.25616
3.6		-0.304639		0.286296
3.61		-0.301477		0.31615
3.62		-0.29802		0.345695
3.63		-0.294271		0.374901
3.64		-0.290234		0.40374
3.65		-0.285912		0.432182
3.66		-0.28131		0.460202
3.67		-0.276433		0.48777
3.68		-0.271284		0.514861
3.69		-0.265869		0.541446
3.7		-0.260194		0.567502
3.71		-0.254264		0.593001
3.72		-0.248085		0.617919
3.73		-0.241663		0.642231
3.74		-0.235004		0.665914
3.75		-0.228114		0.688944
3.76		-0.221001		0.7113
3.77		-0.213672		0.732958
3.78		-0.206133		0.753897
3.79		-0.198392		0.774098
3.8		-0.190456		0.793541
3.81		-0.182334		0.812206
3.82		-0.174034		0.830074
3.83		-0.165562		0.84713
3.84		-0.156929		0.863355
3.85		-0.148141		0.878734
3.86		-0.139209		0.893252
3.87		-0.13014		0.906894
3.88		-0.120943		0.919648
3.89		-0.111628		0.9315
3.9		-0.102204		0.94244
3.91		-0.0926795		0.952456
3.92		-0.0830641		0.961538
3.93		-0.0733673		0.969679
3.94		-0.0635986		0.976869
3.95		-0.0537676		0.983101
3.96		-0.0438839		0.988371
3.97		-0.0339572		0.992671
3.98		-0.0239972		0.995999
3.99		-0.0140137		0.998351
4		-0.00401647		0.999724
4.01		0.0059847		1.00012
4.02		0.01598		0.999531
4.03		0.0259597		0.997965
4.04		0.0359139		0.995421
4.05		0.0458329		0.991902
4.06		0.055707		0.98741
4.07		0.0655265		0.981951
4.08		0.0752818		0.975529
4.09		0.0849633		0.968152
4.1		0.0945616		0.959825
4.11		0.104067		0.950558
4.12		0.113471		0.940359
4.13		0.122763		0.929239
4.14		0.131935		0.917209
4.15		0.140978		0.904279
4.16		0.149883		0.890463
4.17		0.15864		0.875775
4.18		0.167243		0.860228
4.19		0.175681		0.843838
4.2		0.183947		0.826621
4.21		0.192033		0.808594
4.22		0.199931		0.789775
4.23		0.207633		0.770182
4.24		0.215131		0.749834
4.25		0.222419		0.728751
4.26		0.229488		0.706954
4.27		0.236333		0.684464
4.28		0.242946		0.661304
4.29		0.249321		0.637495
4.3		0.255451		0.613062
4.31		0.261332		0.588027
4.32		0.266956		0.562417
4.33		0.272318		0.536255
4.34		0.277414		0.509568
4.35		0.282238		0.482381
4.36		0.286785		0.454722
4.37		0.291051		0.426617
4.38		0.295032		0.398094
4.39		0.298724		0.369181
4.4		0.302123		0.339906
4.41		0.305226		0.310298
4.42		0.30803		0.280386
4.43		0.310532		0.250199
4.44		0.31273		0.219767
4.45		0.314621		0.189119
4.46		0.316204		0.158286
4.47		0.317477		0.127298
4.48		0.318438		0.0961856
4.49		0.319088		0.0649787
4.5		0.319425		0.033708
4.51		0.319449		0.00240434
4.52		0.31916		-0.0289017
4.53		0.318559		-0.0601794
4.54		0.317645		-0.0913982
4.55		0.316419		-0.122527
4.56		0.314884		-0.153536
4.57		0.31304		-0.184395
4.58		0.310889		-0.215073
4.59		0.308434		-0.24554
4.6		0.305676		-0.275767
4.61		0.302619		-0.305723
4.62		0.299265		-0.33538
4.63		0.295618		-0.364708
4.64		0.291681		-0.393678
4.65		0.287459		-0.422263
4.66		0.282954		-0.450434
4.67		0.278173		-0.478163
4.68		0.273118		-0.505424
4.69		0.267797		-0.53219
4.7		0.262212		-0.558434
4.71		0.256371		-0.584131
4.72		0.250278		-0.609255
4.73		0.243941		-0.633782
4.74		0.237364		-0.657689
4.75		0.230554		-0.68095
4.76		0.223519		-0.703545
4.77		0.216264		-0.725449
4.78		0.208798		-0.746643
4.79		0.201127		-0.767105
4.8		0.193259		-0.786816
4.81		0.185201		-0.805755
4.82		0.176962		-0.823905
4.83		0.16855		-0.841247
4.84		0.159972		-0.857765
4.85		0.151237		-0.873442
4.86		0.142355		-0.888264
4.87		0.133333		-0.902214
4.88		0.12418		-0.915281
4.89		0.114905		-0.927451
4.9		0.105518		-0.938711
4.91		0.0960277		-0.949052
4.92		0.0864431		-0.958463
4.93		0.0767737		-0.966934
4.94		0.0670292		-0.974458
4.95		0.0572189		-0.981027
4.96		0.0473525		-0.986634
4.97		0.0374398		-0.991275
4.98		0.0274904		-0.994944
4.99		0.017514		-0.997638
