Time		Euler_Method		Actual_Solution
1.99		0.991019		0.990832
2		0.991196		0.99101
2.01		0.991368		0.991185
2.02		0.991538		0.991356
2.03		0.991704		0.991524
2.04		0.991867		0.991689
2.05		0.992027		0.991851
2.06		0.992184		0.99201
2.07		0.992338		0.992165
2.08		0.992489		0.992318
2.09		0.992636		0.992468
2.1		0.992781		0.992615
2.11		0.992924		0.992759
2.12		0.993063		0.9929
2.13		0.9932		0.993039
2.14		0.993334		0.993174
2.15		0.993465		0.993308
2.16		0.993594		0.993439
2.17		0.993721		0.993567
2.18		0.993845		0.993692
2.19		0.993966		0.993816
2.2		0.994085		0.993937
2.21		0.994202		0.994055
2.22		0.994317		0.994172
2.23		0.994429		0.994286
2.24		0.994539		0.994398
2.25		0.994647		0.994507
2.26		0.994753		0.994615
2.27		0.994857		0.99472
2.28		0.994959		0.994824
2.29		0.995058		0.994925
2.3		0.995156		0.995025
2.31		0.995252		0.995122
2.32		0.995346		0.995218
2.33		0.995438		0.995312
2.34		0.995529		0.995404
2.35		0.995617		0.995494
2.36		0.995704		0.995582
2.37		0.995789		0.995669
2.38		0.995873		0.995754
2.39		0.995955		0.995837
2.4		0.996035		0.995919
2.41		0.996114		0.995999
2.42		0.996191		0.996078
2.43		0.996266		0.996155
2.44		0.99634		0.99623
2.45		0.996413		0.996304
2.46		0.996484		0.996377
2.47		0.996554		0.996448
2.48		0.996622		0.996518
2.49		0.99669		0.996587
2.5		0.996755		0.996654
2.51		0.99682		0.99672
2.52		0.996883		0.996784
2.53		0.996945		0.996847
2.54		0.997006		0.996909
2.55		0.997065		0.99697
2.56		0.997123		0.99703
2.57		0.997181		0.997088
2.58		0.997237		0.997146
2.59		0.997292		0.997202
2.6		0.997346		0.997257
2.61		0.997398		0.997311
2.62		0.99745		0.997364
2.63		0.997501		0.997416
2.64		0.997551		0.997467
2.65		0.997599		0.997517
2.66		0.997647		0.997566
2.67		0.997694		0.997614
2.68		0.99774		0.997661
2.69		0.997785		0.997707
2.7		0.997829		0.997752
2.71		0.997872		0.997796
2.72		0.997914		0.99784
2.73		0.997956		0.997882
2.74		0.997997		0.997924
2.75		0.998037		0.997965
2.76		0.998076		0.998005
2.77		0.998114		0.998044
2.78		0.998152		0.998083
2.79		0.998188		0.998121
2.8		0.998225		0.998158
2.81		0.99826		0.998194
2.82		0.998295		0.99823
2.83		0.998329		0.998265
2.84		0.998362		0.998299
2.85		0.998395		0.998333
2.86		0.998427		0.998366
2.87		0.998458		0.998398
2.88		0.998489		0.998429
2.89		0.998519		0.99846
2.9		0.998548		0.998491
2.91		0.998577		0.998521
2.92		0.998606		0.99855
2.93		0.998633		0.998578
2.94		0.998661		0.998607
2.95		0.998687		0.998634
2.96		0.998714		0.998661
2.97		0.998739		0.998687
2.98		0.998764		0.998713
2.99		0.998789		0.998739
3		0.998813		0.998764
3.01		0.998837		0.998788
3.02		0.99886		0.998812
3.03		0.998883		0.998836
3.04		0.998905		0.998859
3.05		0.998927		0.998881
3.06		0.998948		0.998903
3.07		0.998969		0.998925
3.08		0.99899		0.998946
3.09		0.99901		0.998967
3.1		0.99903		0.998987
3.11		0.999049		0.999007
3.12		0.999068		0.999027
3.13		0.999087		0.999046
3.14		0.999105		0.999065
3.15		0.999123		0.999084
3.16		0.99914		0.999102
3.17		0.999158		0.999119
3.18		0.999174		0.999137
3.19		0.999191		0.999154
3.2		0.999207		0.999171
3.21		0.999223		0.999187
3.22		0.999238		0.999203
3.23		0.999254		0.999219
3.24		0.999268		0.999234
3.25		0.999283		0.999249
3.26		0.999297		0.999264
3.27		0.999311		0.999279
3.28		0.999325		0.999293
3.29		0.999339		0.999307
3.3		0.999352		0.999321
3.31		0.999365		0.999334
3.32		0.999377		0.999347
3.33		0.99939		0.99936
3.34		0.999402		0.999373
3.35		0.999414		0.999385
3.36		0.999426		0.999397
3.37		0.999437		0.999409
3.38		0.999448		0.999421
3.39		0.999459		0.999433
3.4		0.99947		0.999444
3.41		0.999481		0.999455
3.42		0.999491		0.999466
3.43		0.999501		0.999476
3.44		0.999511		0.999486
3.45		0.999521		0.999497
3.46		0.999531		0.999507
3.47		0.99954		0.999516
3.48		0.999549		0.999526
3.49		0.999558		0.999535
3.5		0.999567		0.999544
3.51		0.999576		0.999553
3.52		0.999584		0.999562
3.53		0.999593		0.999571
3.54		0.999601		0.999579
3.55		0.999609		0.999588
3.56		0.999616		0.999596
3.57		0.999624		0.999604
3.58		0.999632		0.999612
3.59		0.999639		0.999619
3.6		0.999646		0.999627
3.61		0.999653		0.999634
3.62		0.99966		0.999642
3.63		0.999667		0.999649
3.64		0.999674		0.999656
3.65		0.99968		0.999662
3.66		0.999687		0.999669
3.67		0.999693		0.999676
3.68		0.999699		0.999682
3.69		0.999705		0.999688
3.7		0.999711		0.999695
3.71		0.999717		0.999701
3.72		0.999722		0.999707
3.73		0.999728		0.999712
3.74		0.999733		0.999718
3.75		0.999739		0.999724
3.76		0.999744		0.999729
3.77		0.999749		0.999734
3.78		0.999754		0.99974
3.79		0.999759		0.999745
3.8		0.999764		0.99975
3.81		0.999768		0.999755
3.82		0.999773		0.99976
3.83		0.999778		0.999764
3.84		0.999782		0.999769
3.85		0.999786		0.999774
3.86		0.999791		0.999778
3.87		0.999795		0.999783
3.88		0.999799		0.999787
3.89		0.999803		0.999791
3.9		0.999807		0.999795
3.91		0.999811		0.999799
3.92		0.999815		0.999803
3.93		0.999818		0.999807
3.94		0.999822		0.999811
3.95		0.999825		0.999815
3.96		0.999829		0.999818
3.97		0.999832		0.999822
3.98		0.999836		0.999825
3.99		0.999839		0.999829
4		0.999842		0.999832
4.01		0.999845		0.999836
4.02		0.999848		0.999839
4.03		0.999852		0.999842
4.04		0.999854		0.999845
4.05		0.999857		0.999848
4.06		0.99986		0.999851
4.07		0.999863		0.999854
4.08		0.999866		0.999857
4.09		0.999868		0.99986
4.1		0.999871		0.999863
4.11		0.999874		0.999865
4.12		0.999876		0.999868
4.13		0.999879		0.999871
4.14		0.999881		0.999873
4.15		0.999883		0.999876
4.16		0.999886		0.999878
4.17		0.999888		0.999881
4.18		0.99989		0.999883
4.19		0.999893		0.999885
4.2		0.999895		0.999888
4.21		0.999897		0.99989
4.22		0.999899		0.999892
4.23		0.999901		0.999894
4.24		0.999903		0.999896
4.25		0.999905		0.999898
4.26		0.999907		0.9999
4.27		0.999909		0.999902
4.28		0.99991		0.999904
4.29		0.999912		0.999906
4.3		0.999914		0.999908
4.31		0.999916		0.99991
4.32		0.999917		0.999912
4.33		0.999919		0.999913
4.34		0.999921		0.999915
4.35		0.999922		0.999917
4.36		0.999924		0.999918
4.37		0.999925		0.99992
4.38		0.999927		0.999922
4.39		0.999928		0.999923
4.4		0.99993		0.999925
4.41		0.999931		0.999926
4.42		0.999932		0.999928
4.43		0.999934		0.999929
4.44		0.999935		0.99993
4.45		0.999936		0.999932
4.46		0.999938		0.999933
4.47		0.999939		0.999934
4.48		0.99994		0.999936
4.49		0.999941		0.999937
4.5		0.999943		0.999938
4.51		0.999944		0.99994
4.52		0.999945		0.999941
4.53		0.999946		0.999942
4.54		0.999947		0.999943
4.55		0.999948		0.999944
4.56		0.999949		0.999945
4.57		0.99995		0.999946
4.58		0.999951		0.999947
4.59		0.999952		0.999948
4.6		0.999953		0.999949
4.61		0.999954		0.99995
4.62		0.999955		0.999951
4.63		0.999956		0.999952
4.64		0.999957		0.999953
4.65		0.999958		0.999954
4.66		0.999958		0.999955
4.67		0.999959		0.999956
4.68		0.99996		0.999957
4.69		0.999961		0.999958
4.7		0.999962		0.999959
4.71		0.999962		0.999959
4.72		0.999963		0.99996
4.73		0.999964		0.999961
4.74		0.999965		0.999962
4.75		0.999965		0.999963
4.76		0.999966		0.999963
4.77		0.999967		0.999964
4.78		0.999967		0.999965
4.79		0.999968		0.999965
4.8		0.999969		0.999966
4.81		0.999969		0.999967
4.82		0.99997		0.999967
4.83		0.99997		0.999968
4.84		0.999971		0.999969
4.85		0.999972		0.999969
4.86		0.999972		0.99997
4.87		0.999973		0.999971
4.88		0.999973		0.999971
4.89		0.999974		0.999972
4.9		0.999974		0.999972
4.91		0.999975		0.999973
4.92		0.999975		0.999973
4.93		0.999976		0.999974
4.94		0.999976		0.999974
4.95		0.999977		0.999975
4.96		0.999977		0.999975
4.97		0.999978		0.999976
4.98		0.999978		0.999976
4.99		0.999979		0.999977
5		0.999979		0.999977
5.01		0.999979		0.999978
5.02		0.99998		0.999978
5.03		0.99998		0.999979
5.04		0.999981		0.999979
5.05		0.999981		0.999979
5.06		0.999981		0.99998
5.07		0.999982		0.99998
5.08		0.999982		0.999981
5.09		0.999983		0.999981
5.1		0.999983		0.999981
5.11		0.999983		0.999982
